rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
15,Lucas Chevalier,FRA,GK,Paris S-G,Ligue 1,0.0,2001,0,0,0,7.0,5,0.71,15,10,66.7,5,1,1,4,57.1,1,0,1,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
16,Grégoire Coudert,FRA,GK,Brest,Ligue 1,0.0,1999,0,0,0,2.4,6,2.55,15,9,66.7,1,0,1,0,0.0,1,0,0,0,3,2,212,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
17,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,0.0,1992,0,0,0,8.0,9,1.13,22,13,68.2,7,0,1,3,37.5,2,0,0,0,8,8,720,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
18,Pablo Cuñat,ESP,GK,Levante,La Liga,0.0,2002,0,0,0,2.0,5,2.5,14,10,64.3,0,0,2,0,0.0,0,0,0,0,2,2,180,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
19,Finn Dahmen,GER,GK,Augsburg,Bundesliga,0.0,1998,0,0,0,6.0,13,2.17,34,20,64.7,2,0,4,0,0.0,2,0,1,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
20,Karl Darlow,WAL,GK,Leeds United,Premier League,0.0,1990,0,0,0,4.0,6,1.5,17,12,64.7,1,1,2,0,0.0,0,0,0,0,4,4,360,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
21,Jeffrey De Lange,NED,GK,Marseille,Ligue 1,0.0,1998,0,0,0,1.0,0,0.0,1,1,100.0,1,0,0,1,100.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
22,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,0.0,2001,0,0,0,2.5,4,1.59,11,7,63.6,0,0,2,0,0.0,0,0,0,0,3,2,226,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
23,Rémy Descamps,FRA,GK,Lyon,Ligue 1,0.0,1996,0,0,0,4.0,3,0.75,12,10,75.0,3,0,1,3,75.0,0,0,0,0,4,4,360,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
24,Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997,0,0,0,6.0,5,0.83,16,11,75.0,3,3,0,3,50.0,2,0,0,1,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
25,Mory Diaw,SEN,GK,Le Havre,Ligue 1,0.0,1993,0,0,0,7.0,10,1.43,22,13,63.6,1,3,3,1,14.3,2,0,0,0,7,7,630,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
26,Yehvann Diouf,SEN,GK,Nice,Ligue 1,0.0,1999,0,0,0,7.0,12,1.71,35,23,74.3,2,2,3,1,14.3,3,0,0,0,7,7,630,3,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
27,Matías Dituro,ARG,GK,Elche,La Liga,0.0,1987,0,0,0,5.0,5,1.0,16,11,68.8,2,3,0,1,20.0,0,0,0,0,5,5,450,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
28,Marko Dmitrović,SRB,GK,Espanyol,La Liga,0.0,1992,0,0,0,8.0,11,1.37,37,26,73.0,3,3,2,2,25.0,1,0,0,0,8,8,720,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
29,Gianluigi Donnarumma,ITA,GK,Manchester City,Premier League,0.0,1999,0,0,0,4.0,2,0.5,8,6,75.0,3,1,0,2,50.0,0,0,0,0,4,4,360,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
30,Martin Dúbravka,SVK,GK,Burnley,Premier League,0.0,1989,0,0,0,7.0,15,2.14,40,28,67.5,1,1,5,1,14.3,2,0,0,0,7,7,630,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
31,Aarón Escandell,ESP,GK,Oviedo,La Liga,0.0,1995,0,0,0,8.0,14,1.75,54,39,74.1,2,0,6,1,12.5,1,0,1,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
32,Wladimiro Falcone,ITA,GK,Lecce,Serie A,0.0,1995,0,0,0,6.0,10,1.67,29,19,72.4,1,2,3,2,33.3,2,0,0,0,6,6,540,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
33,Jonathan Fischer,DEN,GK,Metz,Ligue 1,0.0,2001,0,0,0,7.0,16,2.29,41,26,65.9,0,2,5,1,14.3,2,0,0,0,7,7,630,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
34,Mark Flekken,NED,GK,Leverkusen,Bundesliga,0.0,1993,0,0,0,6.0,8,1.33,27,19,74.1,3,2,1,1,16.7,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
35,Joan García,ESP,GK,Barcelona,La Liga,0.0,2001,0,0,0,6.0,4,0.67,18,14,83.3,5,1,0,3,50.0,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
36,Paulo Gazzaniga,ARG,GK,Girona,La Liga,0.0,1992,0,0,0,6.5,11,1.7,35,24,71.4,1,3,3,1,14.3,1,0,0,0,7,7,582,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
37,David de Gea,ESP,GK,Fiorentina,Serie A,0.0,1990,0,0,0,6.0,8,1.33,28,20,75.0,0,3,3,2,33.3,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
38,Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,0.0,1999,0,0,0,6.0,10,1.67,28,18,67.9,1,2,3,0,0.0,2,0,0,1,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
39,Dominik Greif,SVK,GK,Lyon,Ligue 1,0.0,1997,0,0,0,3.0,2,0.67,8,7,75.0,2,0,1,2,66.7,0,0,0,0,3,3,270,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
40,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,0.0,1990,0,0,0,6.0,8,1.33,22,14,63.6,4,1,1,3,50.0,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
41,Dean Henderson,ENG,GK,Crystal Palace,Premier League,0.0,1997,0,0,0,7.0,5,0.71,21,16,81.0,3,3,1,3,42.9,1,0,0,0,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
42,Mads Hermansen,DEN,GK,West Ham,Premier League,0.0,2000,0,0,0,4.0,11,2.75,20,9,45.0,1,0,3,1,25.0,0,0,0,0,4,4,360,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
43,Sergio Herrera,ESP,GK,Osasuna,La Liga,0.0,1993,0,0,0,8.0,8,1.0,36,28,80.6,3,1,4,2,25.0,1,0,0,0,8,8,720,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
44,Daniel Heuer Fernandes,POR,GK,Hamburger SV,Bundesliga,0.0,1992,0,0,0,6.0,8,1.33,35,26,80.0,2,2,2,3,50.0,2,0,1,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
45,Lukáš Hrádecký,FIN,GK,Monaco,Ligue 1,0.0,1989,0,0,0,2.9,4,1.4,8,4,62.5,2,0,1,0,0.0,2,0,0,1,3,3,258,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
46,Franco Israel,URU,GK,Torino,Serie A,0.0,2000,0,0,0,6.0,13,2.17,28,15,60.7,1,2,3,2,33.3,2,0,0,0,6,6,540,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
47,Karl Jakob Hein,EST,GK,Werder Bremen,Bundesliga,0.0,2002,0,0,0,2.0,4,2.0,15,11,80.0,1,0,1,1,50.0,1,0,0,0,2,2,180,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
48,Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,0.0,1990,0,0,0,1.0,0,0.0,2,2,100.0,1,0,0,1,100.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
49,Sam Johnstone,ENG,GK,Wolves,Premier League,0.0,1993,0,0,0,3.0,3,1.0,13,10,76.9,0,2,1,0,0.0,0,0,0,0,3,3,270,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
50,Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,La Liga,0.0,2001,0,0,0,6.0,4,0.67,18,13,83.3,4,1,1,3,50.0,2,0,1,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
51,Filip Jørgensen,DEN,GK,Chelsea,Premier League,0.0,2002,0,0,0,0.9,2,2.14,3,1,33.3,0,0,0,0,0.0,0,0,0,0,1,0,84,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
52,Bingourou Kamara,SEN,GK,Lorient,Ligue 1,0.0,1996,0,0,0,3.0,8,2.67,15,7,46.7,1,0,2,1,33.3,1,0,0,1,3,3,270,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
53,Caoimhín Kelleher,IRL,GK,Brentford,Premier League,0.0,1998,0,0,0,7.0,12,1.71,29,17,62.1,2,1,4,1,14.3,2,0,1,0,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
54,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,0.0,1997,0,0,0,6.0,4,0.67,16,12,81.3,4,2,0,4,66.7,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
55,Hervé Koffi,BFA,GK,Angers,Ligue 1,0.0,1996,0,0,0,7.0,11,1.57,43,31,76.7,1,2,4,1,14.3,3,0,1,1,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
56,Philipp Köhn,SUI,GK,Monaco,Ligue 1,0.0,1998,0,0,0,4.1,8,1.94,16,9,62.5,2,1,1,0,0.0,2,0,0,0,5,4,372,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
57,Vladyslav Krapyvtsov,UKR,GK,Girona,La Liga,0.0,2005,0,0,0,1.5,6,3.97,9,3,44.4,0,0,1,0,0.0,1,0,0,0,2,1,136,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
58,Senne Lammens,BEL,GK,Manchester Utd,Premier League,0.0,2002,0,0,0,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
59,Nicola Leali,ITA,GK,Genoa,Serie A,0.0,1993,0,0,0,6.0,9,1.5,23,14,65.2,0,2,4,1,16.7,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
60,Bernd Leno,GER,GK,Fulham,Premier League,0.0,1992,0,0,0,7.0,11,1.57,29,19,69.0,2,2,3,1,14.3,3,0,0,1,7,7,630,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
61,Donovan Léon,GUF,GK,Auxerre,Ligue 1,0.0,1992,0,0,0,4.5,6,1.34,19,13,68.4,2,0,3,2,40.0,1,0,1,0,5,5,404,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
62,Anthony Lopes,POR,GK,Nantes,Ligue 1,0.0,1990,0,0,0,7.0,7,1.0,36,29,86.1,1,3,3,2,28.6,2,0,0,0,7,7,630,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
63,Pau López,ESP,GK,Betis,La Liga,0.0,1994,0,0,0,5.0,3,0.6,18,14,83.3,4,1,0,2,40.0,1,0,1,0,5,5,450,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
64,Mike Maignan,FRA,GK,Milan,Serie A,0.0,1995,0,0,0,4.6,3,0.65,15,12,86.7,3,1,1,2,40.0,1,0,0,0,5,5,415,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
65,Radosław Majecki,POL,GK,Brest,Ligue 1,0.0,1999,0,0,0,4.6,5,1.09,14,9,64.3,1,2,2,2,40.0,0,0,0,0,5,5,414,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
66,Giorgi Mamardashvili,GEO,GK,Liverpool,Premier League,0.0,2000,0,0,0,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
67,Emiliano Martínez,ARG,GK,Aston Villa,Premier League,0.0,1992,0,0,0,5.0,4,0.8,13,9,69.2,2,2,1,1,20.0,0,0,0,0,5,5,450,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
68,Josep Martinez,ESP,GK,Inter,Serie A,0.0,1998,0,0,0,2.0,1,0.5,5,4,80.0,2,0,0,1,50.0,0,0,0,0,2,2,180,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
69,Alex Meret,ITA,GK,Napoli,Serie A,0.0,1997,0,0,0,4.0,4,1.0,12,8,75.0,3,0,1,2,50.0,1,0,0,0,4,4,360,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
70,Vanja Milinković-Savić,SRB,GK,Napoli,Serie A,0.0,1997,0,0,0,2.0,2,1.0,4,2,50.0,2,0,0,0,0.0,0,0,0,0,2,2,180,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
71,Lorenzo Montipò,ITA,GK,Hellas Verona,Serie A,0.0,1996,0,0,0,6.0,9,1.5,24,14,62.5,0,3,3,1,16.7,1,0,1,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
72,Arijanet Muric,KVX,GK,Sassuolo,Serie A,0.0,1998,0,0,0,5.0,6,1.2,29,24,82.8,3,0,2,2,40.0,1,0,0,0,5,5,450,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
73,Yvon Mvogo,SUI,GK,Lorient,Ligue 1,0.0,1994,0,0,0,4.0,8,2.0,13,5,53.8,1,1,2,0,0.0,3,0,0,1,4,4,360,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
74,Manuel Neuer,GER,GK,Bayern Munich,Bundesliga,0.0,1986,0,0,0,6.0,3,0.5,13,10,76.9,6,0,0,4,66.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
75,Moritz Nicolas,GER,GK,Gladbach,Bundesliga,0.0,1997,0,0,0,6.0,12,2.0,29,17,62.1,0,3,3,2,33.3,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
76,Obed Nkambadio,FRA,GK,Paris FC,Ligue 1,0.0,2003,0,0,0,6.0,11,1.83,27,16,66.7,2,1,3,1,16.7,3,0,0,1,6,6,540,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
77,Alexander Nübel,GER,GK,Stuttgart,Bundesliga,0.0,1996,0,0,0,6.0,6,1.0,22,16,77.3,4,0,2,3,50.0,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
78,Ørjan Nyland,NOR,GK,Sevilla,La Liga,0.0,1990,0,0,0,4.0,7,1.75,16,9,62.5,1,1,2,1,25.0,1,0,0,0,4,4,360,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
79,Jan Oblak,SVN,GK,Atlético Madrid,La Liga,0.0,1993,0,0,0,8.0,10,1.25,22,12,59.1,3,4,1,1,12.5,1,0,0,0,8,8,720,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
80,Berke Özer,TUR,GK,Lille,Ligue 1,0.0,2000,0,0,0,6.0,9,1.5,23,13,60.9,3,2,1,1,16.7,1,0,1,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
81,Iñaki Peña,ESP,GK,Elche,La Liga,0.0,1999,0,0,0,3.0,4,1.33,11,7,72.7,1,1,1,1,33.3,1,0,0,0,3,3,270,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
82,Mike Penders,BEL,GK,Strasbourg,Ligue 1,0.0,2005,0,0,0,6.0,7,1.17,21,14,66.7,4,0,2,3,50.0,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
83,Lucas Perri,BRA,GK,Leeds United,Premier League,0.0,1997,0,0,0,3.0,5,1.67,8,3,50.0,1,1,1,2,66.7,1,0,0,0,3,3,270,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
84,Đorđe Petrović,SRB,GK,Bournemouth,Premier League,0.0,1999,0,0,0,7.0,8,1.14,27,19,70.4,4,2,1,3,42.9,0,0,0,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
85,Jordan Pickford,ENG,GK,Everton,Premier League,0.0,1994,0,0,0,7.0,7,1.0,24,16,75.0,3,2,2,2,28.6,2,0,1,0,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
86,Nick Pope,ENG,GK,Newcastle Utd,Premier League,0.0,1992,0,0,0,7.0,5,0.71,24,19,79.2,2,3,2,5,71.4,0,0,0,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
87,Ivan Provedel,ITA,GK,Lazio,Serie A,0.0,1994,0,0,0,6.0,7,1.17,32,25,78.1,2,1,3,2,33.3,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
88,Ionuț Radu,ROU,GK,Celta Vigo,La Liga,0.0,1997,0,0,0,8.0,10,1.25,33,23,69.7,0,6,2,0,0.0,1,0,1,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
89,Diant Ramaj,GER,GK,Heidenheim,Bundesliga,0.0,2001,0,0,0,6.0,11,1.83,35,24,71.4,1,0,5,0,0.0,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
90,David Raya,ESP,GK,Arsenal,Premier League,0.0,1995,0,0,0,7.0,3,0.43,18,15,83.3,5,1,1,4,57.1,0,0,0,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
91,Álex Remiro,ESP,GK,Real Sociedad,La Liga,0.0,1995,0,0,0,8.0,12,1.5,32,21,65.6,1,2,5,1,12.5,1,0,0,0,8,8,720,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
92,Guillaume Restes,FRA,GK,Toulouse,Ligue 1,0.0,2005,0,0,0,7.0,12,1.71,23,11,60.9,3,1,3,2,28.6,3,0,0,0,7,7,630,3,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
93,Lasse Rieß,GER,GK,Mainz 05,Bundesliga,0.0,2001,0,0,0,1.2,4,3.21,10,6,60.0,0,0,1,0,0.0,0,0,0,0,2,1,112,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
94,Robin Risser,FRA,GK,Lens,Ligue 1,0.0,2004,0,0,0,7.0,6,0.86,24,18,75.0,4,1,2,2,28.6,0,0,0,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
95,Robin Roefs,NED,GK,Sunderland,Premier League,0.0,2003,0,0,0,7.0,6,0.86,29,22,79.3,3,2,2,3,42.9,1,0,1,0,7,7,630,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
96,Leo Román,ESP,GK,Mallorca,La Liga,0.0,2000,0,0,0,8.0,13,1.62,38,24,71.1,1,2,5,1,12.5,3,0,1,0,8,8,720,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
97,Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,0.0,1992,0,0,0,6.0,5,0.83,21,16,76.2,4,0,2,2,33.3,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
98,Mathew Ryan,AUS,GK,Levante,La Liga,0.0,1992,0,0,0,6.0,9,1.5,31,22,74.2,2,2,2,2,33.3,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
99,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,0.0,1992,0,0,0,6.0,13,2.17,39,26,74.4,2,1,3,1,16.7,3,0,0,0,6,6,540,3,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
100,José Sá,POR,GK,Wolves,Premier League,0.0,1993,0,0,0,4.0,11,2.75,16,5,31.3,0,0,4,0,0.0,0,0,0,0,4,4,360,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
101,Brice Samba,FRA,GK,Rennes,Ligue 1,0.0,1994,0,0,0,7.0,10,1.43,29,18,69.0,2,4,1,2,28.6,2,0,1,0,7,7,630,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
102,Robert Sánchez,ESP,GK,Chelsea,Premier League,0.0,1997,0,0,0,6.0,7,1.16,19,12,63.2,3,2,2,2,28.6,0,0,0,0,7,7,544,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
103,Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,0.0,2003,0,0,0,3.0,11,3.67,16,5,31.3,1,0,2,0,0.0,0,0,0,0,3,3,270,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
104,Razvan Sava,ROU,GK,Udinese,Serie A,0.0,2002,0,0,0,6.0,9,1.5,21,12,57.1,2,2,2,1,16.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
105,Marvin Schwäbe,GER,GK,Köln,Bundesliga,0.0,1995,0,0,0,6.0,9,1.5,27,18,70.4,3,1,2,2,33.3,1,0,0,0,6,6,540,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
106,Matz Sels,BEL,GK,Nott'ham Forest,Premier League,0.0,1992,0,0,0,7.0,12,1.71,37,25,75.7,1,2,4,0,0.0,3,0,0,0,7,7,630,3,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
107,Adrian Šemper,CRO,GK,Pisa,Serie A,0.0,1998,0,0,0,6.0,10,1.67,29,19,65.5,0,2,4,1,16.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
108,Marco Silvestri,ITA,GK,Cremonese,Serie A,0.0,1991,0,0,0,2.0,5,2.5,15,10,66.7,0,1,1,0,0.0,0,0,0,0,2,2,180,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
109,Unai Simón,ESP,GK,Athletic Club,La Liga,0.0,1997,0,0,0,8.0,9,1.13,26,18,65.4,4,1,3,1,12.5,0,0,0,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
110,Antonio Sivera,ESP,GK,Alavés,La Liga,0.0,1996,0,0,0,8.0,8,1.0,26,18,69.2,3,2,3,1,12.5,0,0,0,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
111,Łukasz Skorupski,POL,GK,Bologna,Serie A,0.0,1991,0,0,0,6.0,5,0.83,17,12,70.6,3,1,2,2,33.3,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
112,Yann Sommer,SUI,GK,Inter,Serie A,0.0,1988,0,0,0,4.0,7,1.75,15,8,60.0,2,0,2,1,25.0,1,0,0,0,4,4,360,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
113,David Soria,ESP,GK,Getafe,La Liga,0.0,1993,0,0,0,8.0,11,1.37,28,18,60.7,3,2,3,2,25.0,0,0,0,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
114,Zion Suzuki,JPN,GK,Parma,Serie A,0.0,2002,0,0,0,6.0,7,1.17,24,17,70.8,1,2,3,1,16.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
115,Mile Svilar,SRB,GK,Roma,Serie A,0.0,1999,0,0,0,6.0,2,0.33,17,15,88.2,5,0,1,4,66.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
116,Wojciech Szczęsny,POL,GK,Barcelona,La Liga,0.0,1990,0,0,0,2.0,5,2.5,7,2,42.9,1,0,1,0,0.0,1,0,0,0,2,2,180,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
