rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
1,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000,0,0,0,8.0,14,1.75,39,25,64.1,2,2,4,2,25.0,0,0,0,0,8,8,720,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
2,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992,0,0,0,6.0,7,1.17,16,9,56.3,5,0,1,2,33.3,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
3,Alphonse Areola,FRA,GK,West Ham,Premier League,0.0,1993,0,0,0,3.0,5,1.67,14,9,71.4,0,1,2,0,0.0,1,0,0,0,3,3,270,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
4,Noah Atubolu,GER,GK,Freiburg,Bundesliga,0.0,2002,0,0,0,6.0,9,1.5,27,17,66.7,2,2,2,2,33.3,1,0,1,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
5,Emil Audero,IDN,GK,Cremonese,Serie A,0.0,1997,0,0,0,4.0,3,0.75,23,20,91.3,2,2,0,2,50.0,1,0,0,0,4,4,360,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
6,Mio Backhaus,GER,GK,Werder Bremen,Bundesliga,0.0,2004,0,0,0,4.0,10,2.5,16,7,50.0,1,1,2,1,25.0,2,0,0,0,4,4,360,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
7,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,0.0,1996,0,0,0,8.0,10,1.25,32,22,75.0,2,2,4,1,12.5,2,0,0,0,8,8,720,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
8,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,0.0,1990,0,0,0,6.0,12,2.0,29,17,65.5,2,1,3,0,0.0,2,0,0,0,6,6,540,2,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
9,Altay Bayındır,TUR,GK,Manchester Utd,Premier League,0.0,1998,0,0,0,6.0,11,1.83,24,13,54.2,2,1,3,0,0.0,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
10,Marco Bizot,NED,GK,Aston Villa,Premier League,0.0,1991,0,0,0,2.0,3,1.5,7,4,71.4,0,1,1,1,50.0,1,0,0,0,2,2,180,1,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
11,Arnaud Bodart,BEL,GK,Lille,Ligue 1,0.0,1998,0,0,0,1.0,1,1.0,2,1,50.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
12,Jean Butez,FRA,GK,Como,Serie A,0.0,1995,0,0,0,6.0,5,0.83,13,8,61.5,2,3,1,1,16.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
13,Elia Caprile,ITA,GK,Cagliari,Serie A,0.0,2001,0,0,0,6.0,6,1.0,26,20,76.9,2,2,2,1,16.7,0,0,0,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
14,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,0.0,2000,0,0,0,6.0,5,0.83,27,22,81.5,2,4,0,1,16.7,1,0,1,0,6,6,540,0,2025-2026,stats_keeper,2025-10-18 04:36:53.961269
