rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
85,Jordan Pickford,ENG,GK,Everton,Premier League,0.0,1994,7.0,7,1,0,0,0,7.6,0.25,0.6,0.09,66,169,39.1,263,23,52.9,41.2,0,0,0,84,4,4.8,18,2.57,18.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
86,Nick Pope,ENG,GK,Newcastle Utd,Premier League,0.0,1992,7.0,5,0,0,2,0,6.1,0.26,1.1,0.16,15,79,19.0,160,51,33.8,33.9,0,0,0,84,16,19.0,23,3.29,17.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
87,Ivan Provedel,ITA,GK,Lazio,Serie A,0.0,1994,6.0,7,0,1,2,0,10.5,0.35,3.5,0.58,20,74,27.0,164,21,36.0,35.2,0,0,0,73,6,8.2,3,0.5,11.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
88,Ionuț Radu,ROU,GK,Celta Vigo,La Liga,0.0,1997,8.0,10,0,0,1,1,9.2,0.26,0.2,0.03,19,55,34.5,168,45,23.8,29.2,0,0,0,84,3,3.6,7,0.88,13.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
89,Diant Ramaj,GER,GK,Heidenheim,Bundesliga,0.0,2001,6.0,11,1,0,0,0,12.8,0.36,1.8,0.31,48,143,33.6,288,27,38.9,38.8,0,0,0,90,10,11.1,8,1.33,11.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
90,David Raya,ESP,GK,Arsenal,Premier League,0.0,1995,7.0,3,0,1,1,0,3.2,0.18,0.2,0.03,37,102,36.3,238,34,36.1,33.9,0,0,0,54,6,11.1,11,1.57,18.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
91,Álex Remiro,ESP,GK,Real Sociedad,La Liga,0.0,1995,8.0,12,1,0,1,1,10.8,0.31,-0.2,-0.02,48,95,50.5,225,27,32.4,31.8,0,0,0,88,2,2.3,18,2.25,19.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
92,Guillaume Restes,FRA,GK,Toulouse,Ligue 1,0.0,2005,7.0,12,3,0,2,0,10.1,0.34,-1.9,-0.27,37,89,41.6,154,17,44.8,36.9,0,0,0,95,8,8.4,5,0.71,12.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
93,Lasse Rieß,GER,GK,Mainz 05,Bundesliga,0.0,2001,1.2,4,0,0,0,0,2.8,0.28,-1.2,-1.0,4,12,33.3,33,3,33.3,33.8,0,0,0,5,0,0.0,2,1.61,19.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
94,Robin Risser,FRA,GK,Lens,Ligue 1,0.0,2004,7.0,6,0,0,2,0,7.3,0.32,1.3,0.18,30,81,37.0,189,21,30.7,33.5,0,0,0,94,5,5.3,3,0.43,12.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
95,Robin Roefs,NED,GK,Sunderland,Premier League,0.0,2003,7.0,6,0,0,1,0,8.3,0.28,2.3,0.33,34,119,28.6,235,23,36.6,35.4,0,0,0,115,11,9.6,11,1.57,13.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
96,Leo Román,ESP,GK,Mallorca,La Liga,0.0,2000,8.0,13,2,0,2,0,14.1,0.32,1.1,0.14,49,137,35.8,219,22,47.5,39.0,0,0,0,116,7,6.0,5,0.63,11.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
97,Gerónimo Rulli,ARG,GK,Marseille,Ligue 1,0.0,1992,6.0,5,0,0,0,0,6.2,0.3,1.2,0.2,27,65,41.5,187,19,29.4,31.6,0,0,0,70,13,18.6,16,2.67,16.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
98,Mathew Ryan,AUS,GK,Levante,La Liga,0.0,1992,6.0,9,1,0,1,0,9.7,0.28,0.7,0.12,32,85,37.6,147,24,38.8,37.4,0,0,0,97,3,3.1,8,1.33,12.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
99,Frederik Rønnow,DEN,GK,Union Berlin,Bundesliga,0.0,1992,6.0,13,3,0,1,0,14.0,0.3,1.0,0.16,37,123,30.1,156,19,54.5,40.4,0,0,0,93,10,10.8,3,0.5,10.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
100,José Sá,POR,GK,Wolves,Premier League,0.0,1993,4.0,11,0,1,1,0,7.1,0.44,-3.9,-0.99,23,60,38.3,108,14,41.7,37.0,0,0,0,46,4,8.7,4,1.0,14.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
101,Brice Samba,FRA,GK,Rennes,Ligue 1,0.0,1994,7.0,10,1,0,1,0,11.9,0.36,1.9,0.27,29,94,30.9,289,33,28.0,32.0,0,0,0,112,7,6.3,5,0.71,15.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
102,Robert Sánchez,ESP,GK,Chelsea,Premier League,0.0,1997,6.0,7,0,0,1,0,5.8,0.31,-1.2,-0.2,19,92,20.7,220,30,35.0,35.2,0,0,0,69,10,14.5,5,0.83,11.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
103,Kauã Santos,BRA,GK,Eint Frankfurt,Bundesliga,0.0,2003,3.0,11,0,0,2,0,8.4,0.54,-2.6,-0.85,5,43,11.6,107,14,34.6,32.5,0,0,0,22,3,13.6,4,1.33,15.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
104,Razvan Sava,ROU,GK,Udinese,Serie A,0.0,2002,6.0,9,0,0,1,0,6.9,0.33,-2.1,-0.35,14,47,29.8,141,20,24.8,29.4,0,0,0,71,1,1.4,6,1.0,18.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
105,Marvin Schwäbe,GER,GK,Köln,Bundesliga,0.0,1995,6.0,9,1,2,2,0,9.9,0.37,0.9,0.15,50,144,34.7,225,15,42.7,37.2,0,0,0,122,2,1.6,6,1.0,15.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
106,Matz Sels,BEL,GK,Nott'ham Forest,Premier League,0.0,1992,7.0,12,3,0,1,0,13.7,0.31,1.7,0.25,20,71,28.2,150,26,41.3,35.3,0,0,0,105,4,3.8,5,0.71,13.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
107,Adrian Šemper,CRO,GK,Pisa,Serie A,0.0,1998,6.0,10,0,1,0,0,8.8,0.3,-1.2,-0.21,48,111,43.2,168,22,55.4,41.8,0,0,0,83,8,9.6,0,0.0,6.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
108,Marco Silvestri,ITA,GK,Cremonese,Serie A,0.0,1991,2.0,5,0,0,1,0,5.1,0.34,0.1,0.05,10,34,29.4,56,13,35.7,33.0,0,0,0,34,1,2.9,1,0.5,11.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
109,Unai Simón,ESP,GK,Athletic Club,La Liga,0.0,1997,8.0,9,0,0,1,1,8.6,0.33,0.6,0.07,24,99,24.2,208,36,34.6,33.4,0,0,0,81,6,7.4,18,2.25,19.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
110,Antonio Sivera,ESP,GK,Alavés,La Liga,0.0,1996,8.0,8,0,0,0,0,8.5,0.34,0.5,0.06,63,139,45.3,144,17,61.8,44.7,0,0,0,106,4,3.8,3,0.38,9.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
111,Łukasz Skorupski,POL,GK,Bologna,Serie A,0.0,1991,6.0,5,0,0,1,0,4.8,0.28,-0.2,-0.04,31,77,40.3,270,33,24.8,31.0,0,0,0,57,4,7.0,4,0.67,11.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
112,Yann Sommer,SUI,GK,Inter,Serie A,0.0,1988,4.0,7,1,0,1,0,4.4,0.27,-2.6,-0.65,8,18,44.4,104,14,14.4,25.7,0,0,0,37,1,2.7,3,0.75,18.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
113,David Soria,ESP,GK,Getafe,La Liga,0.0,1993,8.0,11,0,0,3,1,8.0,0.29,-2.0,-0.25,62,187,33.2,163,9,81.0,50.6,0,0,0,95,4,4.2,7,0.88,15.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
114,Zion Suzuki,JPN,GK,Parma,Serie A,0.0,2002,6.0,7,0,0,2,0,5.9,0.25,-1.1,-0.18,39,116,33.6,186,22,45.2,40.1,0,0,0,78,6,7.7,11,1.83,17.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
115,Mile Svilar,SRB,GK,Roma,Serie A,0.0,1999,6.0,2,0,0,0,0,3.7,0.22,1.7,0.29,29,86,33.7,199,31,29.1,33.1,0,0,0,66,3,4.5,4,0.67,14.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
116,Wojciech Szczęsny,POL,GK,Barcelona,La Liga,0.0,1990,2.0,5,1,0,0,0,4.2,0.46,-0.8,-0.42,2,12,16.7,64,7,18.8,25.3,0,0,0,18,0,0.0,5,2.5,25.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
117,Arnau Tenas,ESP,GK,Villarreal,La Liga,0.0,2001,2.0,4,1,0,0,0,3.1,0.26,-0.9,-0.47,6,32,18.8,38,2,42.1,39.0,0,0,0,29,1,3.4,1,0.5,11.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
118,Pietro Terracciano,ITA,GK,Milan,Serie A,0.0,1990,1.4,0,0,0,0,0,0.2,0.05,0.2,0.13,7,9,77.8,30,5,20.0,30.6,0,0,0,19,1,5.3,0,0.0,8.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
119,James Trafford,ENG,GK,Manchester City,Premier League,0.0,2002,3.0,4,1,0,0,0,5.9,0.34,1.9,0.62,10,36,27.8,103,11,27.2,29.6,0,0,0,26,2,7.7,14,4.67,18.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
120,Kevin Trapp,GER,GK,Paris FC,Ligue 1,0.0,1990,1.0,2,0,0,1,0,1.5,0.75,-0.5,-0.5,1,8,12.5,28,4,28.6,32.3,0,0,0,13,1,7.7,3,3.0,22.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
121,Stefano Turati,ITA,GK,Sassuolo,Serie A,0.0,2001,1.0,2,0,1,0,0,1.2,0.31,-0.8,-0.76,0,16,0.0,23,4,56.5,40.7,0,0,0,9,1,11.1,1,1.0,10.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
122,Álvaro Vallés,ESP,GK,Betis,La Liga,0.0,1997,3.0,5,0,0,2,1,2.6,0.2,-1.4,-0.46,6,22,27.3,89,13,21.3,29.3,0,0,0,36,1,2.8,5,1.67,13.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
123,Nikola Vasilj,BIH,GK,St. Pauli,Bundesliga,0.0,1995,6.0,9,0,0,0,0,10.3,0.28,1.3,0.21,15,58,25.9,239,26,23.8,28.6,0,0,0,39,4,10.3,7,1.17,14.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
124,Bart Verbruggen,NED,GK,Brighton,Premier League,0.0,2002,7.0,10,1,0,1,2,8.7,0.36,0.7,0.1,18,86,20.9,253,33,28.9,31.8,0,0,0,85,3,3.5,7,1.0,15.2,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
125,Guglielmo Vicario,ITA,GK,Tottenham,Premier League,0.0,1996,7.0,5,0,0,1,0,7.2,0.27,2.2,0.31,24,74,32.4,265,35,22.6,28.7,0,0,0,78,3,3.8,13,1.86,16.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
126,Odysseas Vlachodimos,GRE,GK,Sevilla,La Liga,0.0,1994,4.0,4,1,0,0,0,6.8,0.25,2.8,0.69,26,59,44.1,116,21,37.9,35.5,0,0,0,57,2,3.5,2,0.5,10.8,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
127,Robin Zentner,GER,GK,Mainz 05,Bundesliga,0.0,1994,4.7,6,0,0,1,0,4.5,0.28,-1.5,-0.32,27,95,28.4,140,14,51.4,42.0,0,0,0,61,7,11.5,9,1.9,15.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
128,Michael Zetterer,GER,GK,Eint Frankfurt,Bundesliga,0.0,1995,3.0,5,1,2,0,0,4.5,0.22,-0.5,-0.17,12,30,40.0,101,17,23.8,31.7,0,0,0,34,1,2.9,5,1.67,15.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
