rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
21,Jeffrey De Lange,NED,GK,Marseille,Ligue 1,0.0,1998,1.0,0,0,0,0,0,0.0,0.02,0.0,0.02,0,0,0.0,7,0,0.0,17.9,0,0,0,3,0,0.0,1,1.0,22.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
22,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,0.0,2001,2.5,4,0,0,0,0,3.0,0.28,-1.0,-0.42,16,52,30.8,73,6,56.2,42.4,0,0,0,41,3,7.3,5,1.99,16.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
23,Rémy Descamps,FRA,GK,Lyon,Ligue 1,0.0,1996,4.0,3,0,0,1,1,4.8,0.4,2.8,0.71,5,27,18.5,112,15,19.6,28.4,0,0,0,59,2,3.4,3,0.75,12.9,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
24,Michele Di Gregorio,ITA,GK,Juventus,Serie A,0.0,1997,6.0,5,1,0,1,0,4.9,0.24,-0.1,-0.02,22,55,40.0,170,25,25.3,30.8,0,0,0,89,7,7.9,2,0.33,9.6,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
25,Mory Diaw,SEN,GK,Le Havre,Ligue 1,0.0,1993,7.0,10,2,0,2,1,8.1,0.29,-0.9,-0.13,32,85,37.6,234,37,26.5,29.6,0,0,0,106,13,12.3,10,1.43,13.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
26,Yehvann Diouf,SEN,GK,Nice,Ligue 1,0.0,1999,7.0,12,3,0,0,0,11.8,0.27,-0.2,-0.03,15,57,26.3,184,34,21.7,27.0,0,0,0,92,9,9.8,8,1.14,14.7,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
27,Matías Dituro,ARG,GK,Elche,La Liga,0.0,1987,5.0,5,0,0,0,0,4.1,0.25,-0.9,-0.19,40,98,40.8,286,18,30.1,30.8,0,0,0,66,8,12.1,13,2.6,15.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
28,Marko Dmitrović,SRB,GK,Espanyol,La Liga,0.0,1992,8.0,11,1,1,1,0,10.8,0.27,-0.2,-0.03,39,125,31.2,211,36,47.4,38.8,0,0,0,117,6,5.1,7,0.88,13.5,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
29,Gianluigi Donnarumma,ITA,GK,Manchester City,Premier League,0.0,1999,4.0,2,0,0,0,0,2.2,0.28,0.2,0.06,15,43,34.9,98,12,31.6,30.3,0,0,0,53,4,7.5,1,0.25,8.3,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
30,Martin Dúbravka,SVK,GK,Burnley,Premier League,0.0,1989,7.0,15,2,0,1,3,12.8,0.28,0.8,0.12,39,157,24.8,167,33,47.9,36.8,0,0,0,144,7,4.9,1,0.14,8.1,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
31,Aarón Escandell,ESP,GK,Oviedo,La Liga,0.0,1995,8.0,14,0,0,5,0,15.6,0.3,1.6,0.2,49,120,40.8,233,27,41.2,35.3,0,0,0,117,3,2.6,18,2.25,17.4,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
32,Wladimiro Falcone,ITA,GK,Lecce,Serie A,0.0,1995,6.0,10,2,0,1,0,10.1,0.29,0.1,0.01,39,127,30.7,161,16,66.5,45.3,0,0,0,88,3,3.4,7,1.17,13.0,2025-2026,stats_keeper_adv,2025-10-18 04:36:53.392720
