rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
28,David Affengruber,AUT,DF,Elche,La Liga,0.0,2001.0,7.4,4,0.54,4,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
29,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,0.0,1998.0,0.5,2,3.91,1,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,7,1.2,7,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,2,0.25,1,1,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,12,1.77,12,0,0,0,0,2,0.3,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,6,1.12,6,0,0,0,0,1,0.19,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,4,0.9,3,0,0,0,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,2,1.0,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,1,0.25,1,0,0,0,0,1,0.25,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,19,3.11,17,0,0,1,1,2,0.33,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,1,0.37,0,0,0,0,0,0,0.0,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,10,2.43,10,0,0,0,0,2,0.49,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,1,0.33,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,1,1.2,1,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,4,1.78,4,0,0,0,0,1,0.45,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,11,2.52,7,0,1,2,1,1,0.23,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,1,0.75,1,0,0,0,0,1,0.75,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,24,3.46,15,0,0,5,4,5,0.72,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,9,2.25,8,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,2,1.57,2,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,8,5.5,4,2,0,2,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,10,2.31,7,0,2,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,21,3.5,16,3,1,0,0,2,0.33,1,2025-2026,stats_gca,2025-10-18 04:36:53.715978
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,10,2.0,4,4,0,0,2,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,7,3.82,3,0,2,1,1,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,4,0.62,3,0,0,0,1,1,0.16,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,2,0.65,0,0,0,0,2,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,22,3.86,16,6,0,0,0,3,0.53,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,5,2.98,5,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,6,3.31,5,0,0,1,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,8,4.8,8,0,0,0,0,2,1.2,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,6.0,1,0.17,1,0,0,0,0,1,0.17,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0.9,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,2.3,9,3.93,8,0,0,1,0,2,0.87,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,1.0,5,5.11,5,0,0,0,0,1,1.02,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,3.2,12,3.71,8,1,1,0,2,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,4.3,6,1.41,6,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2025-2026,stats_gca,2025-10-18 04:36:53.715978
