rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
30,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,0.0,1997.0,5.8,287,362,79.3,6443,2578,0,0.1,-0.1,2,36,5,2,26,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
31,Julen Agirrezabala,ESP,GK,Valencia,La Liga,0.0,2000.0,8.0,200,279,71.7,5137,3676,0,0.0,0.0,1,1,0,0,1,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
32,Lucien Agoume,FRA,MF,Sevilla,La Liga,0.0,2002.0,6.8,232,291,79.7,3830,1181,1,0.8,0.2,8,37,6,2,35,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
33,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,0.0,1999.0,5.4,198,248,79.8,3254,661,0,0.4,-0.4,5,8,3,2,12,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
34,Marc Aguado,ESP,MF,Elche,La Liga,0.0,2000.0,4.4,252,275,91.6,3588,1061,0,0.0,0.0,1,30,0,0,19,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
35,Nayef Aguerd,MAR,DF,West Ham,Premier League,0.0,1996.0,2.0,106,119,89.1,1731,663,0,0.0,0.0,0,12,0,0,9,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
36,Nayef Aguerd,MAR,DF,Marseille,Ligue 1,0.0,1996.0,4.0,312,337,92.6,5211,1911,0,0.0,0.0,1,28,0,0,13,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
37,Ruben Aguilar,FRA,DF,Lens,Ligue 1,0.0,1993.0,6.1,236,297,79.5,3494,1558,0,1.0,-1.0,12,18,12,6,24,0.8,2025-2026,stats_passing,2025-10-18 04:36:54.414223
38,Honest Ahanor,ITA,DF,Atalanta,Serie A,0.0,2008.0,2.7,103,121,85.1,1652,560,0,0.0,0.0,0,10,0,0,7,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
39,Lucas Ahijado,ESP,DF,Oviedo,La Liga,0.0,1995.0,4.1,146,193,75.6,2525,959,1,0.5,0.5,3,7,4,1,11,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
40,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,0.0,1996.0,3.0,125,157,79.6,2161,962,0,0.1,-0.1,2,13,2,1,11,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
41,Abdelhamid Ait Boudlal,MAR,DF,Rennes,Ligue 1,0.0,2006.0,0.8,28,33,84.8,513,207,0,0.0,0.0,0,3,1,0,3,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
42,Rayan Aït-Nouri,ALG,DF,Manchester City,Premier League,0.0,2001.0,2.2,105,121,86.8,1529,385,0,0.2,-0.2,2,6,0,0,7,0.5,2025-2026,stats_passing,2025-10-18 04:36:54.414223
43,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,0.0,1998.0,4.4,62,84,73.8,896,213,0,0.5,-0.5,6,11,2,0,9,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
44,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,0.0,2004.0,0.0,1,1,100.0,15,0,0,0.0,0.0,0,0,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
45,Kristoffer Ajer,NOR,DF,Brentford,Premier League,0.0,1998.0,1.3,43,50,86.0,728,265,1,0.7,0.3,1,4,0,0,6,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
46,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,0.0,1994.0,6.9,129,191,67.5,2097,240,3,1.0,2.0,13,7,0,0,12,0.7,2025-2026,stats_passing,2025-10-18 04:36:54.414223
47,Manuel Akanji,SUI,DF,Inter,Serie A,0.0,1995.0,4.0,271,300,90.3,5060,1346,0,0.1,-0.1,2,23,3,1,25,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
48,Nathan Aké,NED,DF,Manchester City,Premier League,0.0,1995.0,1.3,52,61,85.2,863,297,0,0.1,-0.1,1,2,3,2,6,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
49,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,0.0,2004.0,1.5,35,48,72.9,628,177,0,0.7,-0.7,5,4,3,1,6,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
50,Ebenezer Akinsanmiro,NGA,MF,Pisa,Serie A,0.0,2004.0,4.3,110,123,89.4,1829,549,0,0.2,-0.2,5,17,3,1,18,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
51,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,0.0,2002.0,6.0,228,292,78.1,3518,878,1,0.9,0.1,9,25,9,1,29,1.5,2025-2026,stats_passing,2025-10-18 04:36:54.414223
52,Clément Akpa,CIV,DF,Auxerre,Ligue 1,0.0,2001.0,5.0,235,283,83.0,4785,1790,0,0.3,-0.3,5,28,2,0,24,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
53,Jean-Daniel Akpa-Akpro,CIV,MF,Hellas Verona,Serie A,0.0,1992.0,2.2,31,45,68.9,492,187,0,0.0,0.0,0,4,0,0,2,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
54,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,0.0,1995.0,0.3,5,9,55.6,91,37,0,0.0,0.0,0,1,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
55,David Alaba,AUT,DF,Real Madrid,La Liga,0.0,1992.0,0.1,16,18,88.9,242,111,0,0.0,0.0,0,0,0,0,1,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
56,Carlos Alcaraz,ARG,"MF,FW",Everton,Premier League,0.0,2002.0,1.8,46,60,76.7,771,89,0,0.0,0.0,1,2,1,0,5,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
57,Omar Alderete,PAR,DF,Sunderland,Premier League,0.0,1996.0,6.4,288,340,84.7,5921,2448,1,0.0,1.0,1,24,2,2,29,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
58,Alexandre Alemão,BRA,FW,Rayo Vallecano,La Liga,0.0,1998.0,3.1,28,45,62.2,465,120,0,0.0,0.0,0,3,0,0,3,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
59,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,0.0,1998.0,5.7,231,288,80.2,3808,1021,3,1.0,2.0,11,25,6,5,16,1.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
60,Trent Alexander-Arnold,ENG,DF,Real Madrid,La Liga,0.0,1998.0,1.7,111,141,78.7,1681,337,0,0.0,0.0,1,10,0,0,5,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
61,Alfon,ESP,"FW,DF",Sevilla,La Liga,0.0,1999.0,1.8,31,40,77.5,449,101,0,0.1,-0.1,3,4,1,0,3,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
62,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,0.0,2004.0,1.7,31,40,77.5,414,146,2,0.8,1.2,6,2,5,1,8,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
63,Alisson,BRA,GK,Liverpool,Premier League,0.0,1992.0,6.0,211,254,83.1,5044,3281,0,0.0,0.0,0,3,0,0,4,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
64,Jim Allevinah,GAB,"FW,DF",Angers,Ligue 1,0.0,1995.0,0.9,10,13,76.9,143,34,0,0.0,0.0,0,0,0,0,1,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
65,Thiago Almada,ARG,"MF,FW",Atlético Madrid,La Liga,0.0,2001.0,2.3,107,127,84.3,1854,479,0,0.6,-0.6,4,10,3,1,15,0.4,2025-2026,stats_passing,2025-10-18 04:36:54.414223
66,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,0.0,2000.0,1.0,43,53,81.1,754,193,0,0.0,0.0,1,6,5,0,11,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
67,Pontus Almqvist,SWE,"DF,MF",Parma,Serie A,0.0,1999.0,3.2,49,67,73.1,700,189,0,1.0,-1.0,6,1,3,2,1,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
68,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,0.0,1990.0,4.3,318,361,88.1,5582,1887,0,0.4,-0.4,4,42,5,2,43,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
69,Adrià Altimira,ESP,DF,Villarreal,La Liga,0.0,2001.0,0.1,8,8,100.0,130,48,0,0.0,0.0,0,2,0,0,1,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
70,Sergi Altimira,ESP,MF,Betis,La Liga,0.0,2001.0,5.0,261,283,92.2,4274,1039,1,0.2,0.8,4,22,0,0,12,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
71,Carlos Álvarez,ESP,MF,Levante,La Liga,0.0,2003.0,5.4,147,186,79.0,2420,810,1,1.3,-0.3,8,27,10,0,34,1.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
72,Hugo Álvarez,ESP,"FW,DF",Celta Vigo,La Liga,0.0,2003.0,3.4,125,153,81.7,1765,423,0,0.2,-0.2,5,4,5,0,15,0.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
73,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,0.0,2000.0,6.9,204,262,77.9,3160,868,1,1.7,-0.7,14,12,15,0,29,1.8,2025-2026,stats_passing,2025-10-18 04:36:54.414223
74,Skelly Alvero,FRA,DF,Werder Bremen,Bundesliga,0.0,2002.0,0.4,23,24,95.8,447,103,0,0.0,0.0,0,2,0,0,2,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
75,Giuseppe Ambrosino,ITA,FW,Napoli,Serie A,0.0,2003.0,0.2,0,2,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
76,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,0.0,2003.0,0.2,24,25,96.0,488,166,0,0.0,0.0,0,2,1,0,2,0.0,2025-2026,stats_passing,2025-10-18 04:36:54.414223
77,Kelvin Amian,FRA,DF,Nantes,Ligue 1,0.0,1998.0,7.0,271,347,78.1,4265,1706,0,0.4,-0.4,2,20,2,0,30,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
78,Michael Amir Murillo,PAN,"DF,MF",Marseille,Ligue 1,0.0,1996.0,5.1,235,282,83.3,3802,963,0,0.5,-0.5,5,16,7,3,20,0.6,2025-2026,stats_passing,2025-10-18 04:36:54.414223
79,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,0.0,1996.0,5.5,285,357,79.8,5170,2181,0,0.4,-0.4,8,38,19,1,56,1.2,2025-2026,stats_passing,2025-10-18 04:36:54.414223
80,Samuel Amo-Ameyaw,ENG,"DF,FW",Strasbourg,Ligue 1,0.0,2006.0,2.3,80,98,81.6,1193,263,1,0.3,0.7,3,7,4,1,8,0.3,2025-2026,stats_passing,2025-10-18 04:36:54.414223
81,Mathis Amougou,FRA,MF,Strasbourg,Ligue 1,0.0,2006.0,1.5,38,44,86.4,447,158,0,0.2,-0.2,1,4,2,0,8,0.1,2025-2026,stats_passing,2025-10-18 04:36:54.414223
