rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,0,0,3,37.5,1.81,0.68,0.0,0.0,14.8,0,0,0,0.7,0.7,0.09,-0.7,-0.7,8,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,1,0,0,0.0,0.47,0.0,0.0,0.0,30.5,0,1,1,0.8,0.0,0.05,0.2,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,0,0,0,0.0,1.11,0.0,0.0,0.0,11.7,0,0,0,0.0,0.0,0.05,0.0,0.0,1,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,0,0,1,14.3,1.0,0.14,0.0,0.0,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,7,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,0,0,1,7.7,2.64,0.2,0.0,0.0,18.2,0,0,1,1.4,0.7,0.05,-1.4,-0.7,13,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,0,0,1,33.3,0.84,0.28,0.0,0.0,8.4,0,0,0,0.5,0.5,0.17,-0.5,-0.5,3,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,0,0,2,100.0,1.51,1.51,0.0,0.0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,0,0,1,25.0,0.93,0.23,0.0,0.0,14.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,4,0,2025-2026,stats_shooting,2025-10-18 04:36:55.035604
