rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,tackle_attempts,tackle_pct,tackles_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_plus_interceptions,clearances,errors,touches_def_third,touches_mid_third,touches_att_third,passes_attempted,aerials_lost,passes_blocks,shot_creating_actions_shot,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,4.4,13,9,0,0,0,0,50.0,0,0,0,7,2,15,8,0,6,5,2,18,9,7,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0.4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,2.1,2,2,0,0,0,0,50.0,0,0,0,3,5,7,3,0,2,0,0,4,2,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,1.1,1,0,0,0,0,0,0.0,0,0,0,0,2,3,1,0,1,0,0,0,0,0,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,2.2,2,0,0,0,0,0,50.0,0,0,0,1,4,6,0,0,2,0,0,2,1,1,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0.9,5,2,0,0,0,0,66.7,0,0,0,2,0,5,2,0,4,0,1,6,2,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,7.0,13,8,0,0,0,0,50.0,0,0,0,3,3,16,14,1,7,3,3,12,6,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,4.9,4,2,0,0,0,0,100.0,0,0,0,3,2,6,2,0,1,2,1,2,0,3,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,3.6,7,5,0,0,0,0,66.7,0,0,0,1,2,9,12,0,4,3,0,6,2,2,1,2025-2026,stats_defense,2025-10-18 04:36:53.576323
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,1.3,6,4,0,0,0,0,83.3,0,0,0,2,0,6,0,0,2,2,2,6,1,2,0,2025-2026,stats_defense,2025-10-18 04:36:53.576323
11,Abdel Abqar,MAR,DF,Getafe,La Liga,0.0,1999.0,4.3,17,10,0,0,0,0,90.0,0,0,0,4,6,23,18,0,12,5,0,10,1,6,2,2025-2026,stats_defense,2025-10-18 04:36:53.576323
