rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals,assists,goals_assists,goals_minus_pk,penalty_goals,penalty_attempts,yellow_cards,red_cards,expected_goals,non_penalty_xg,expected_assists,npxg_plus_xag,progressive_carries,progressive_passes,progressive_receives,goals_assists_minus_pk,xg_plus_xag,MP,Starts,Min,season,table_type,processed_at
1,Brenden Aaronson,USA,FW,Leeds United,Premier League,0.0,2000.0,0,0,0,4.4,0,0,0,0,0,0,1,0,0.7,0.7,0.7,1.5,7,13,21,0.0,0.33,7,4,397.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
2,Jones El-Abdellaoui,MAR,"MF,DF",Celta Vigo,La Liga,0.0,2006.0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,5,0,15,0.0,0.14,1,0,34.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
3,Himad Abdelli,ALG,MF,Angers,Ligue 1,0.0,1999.0,0,0,0,2.1,1,0,1,0,1,1,0,0,0.8,0.0,0.2,0.2,9,19,7,0.0,0.47,4,2,190.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
4,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,0.0,1993.0,0,0,0,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,3,1,4,0.0,0.0,2,2,95.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
5,Salis Abdul Samed,GHA,MF,Nice,Ligue 1,0.0,2000.0,0,0,0,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,2,1,0.0,0.0,5,3,201.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
6,Saud Abdulhamid,KSA,DF,Lens,Ligue 1,0.0,1999.0,0,0,0,0.9,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,1,7,10,1.11,0.57,5,0,81.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
7,Laurent Abergel,FRA,MF,Lorient,Ligue 1,0.0,1993.0,0,0,0,7.0,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,6,40,8,0.0,0.11,7,7,630.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
8,Matthis Abline,FRA,"MF,FW",Nantes,Ligue 1,0.0,2003.0,0,0,0,4.9,0,1,1,0,0,1,0,0,1.4,0.7,0.4,1.1,15,12,28,0.2,0.37,7,4,444.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
9,Abner,BRA,DF,Lyon,Ligue 1,0.0,2000.0,0,0,0,3.6,0,0,0,0,0,0,2,0,0.5,0.5,0.2,0.7,6,15,13,0.0,0.2,4,4,323.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
10,Zakaria Aboukhlal,MAR,"FW,MF",Torino,Serie A,0.0,2000.0,0,0,0,1.3,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,6,3,3,0.0,0.13,5,1,119.0,2025-2026,stats_standard,2025-10-18 04:36:53.322541
