Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Unnamed: 9_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 24_level_0_Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,63,51,12,2,0,0,2,10,0,0,0,0,50,0,1,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,66,54,12,1,0,0,5,11,0,0,0,0,47,0,1,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,29,21,8,0,0,0,1,8,0,0,0,0,17,0,2,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,46,45,1,1,0,0,0,0,0,0,0,0,36,0,0,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,505,461,42,20,0,0,0,3,0,0,0,0,438,2,1,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,1672,1555,107,41,23,13,44,15,10,5,2,0,1373,10,31,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,521,493,28,21,0,7,2,5,0,0,0,0,471,0,2,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,678,551,122,12,0,2,51,110,0,0,0,0,502,5,22,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,136,103,33,1,0,0,7,32,0,0,0,0,118,0,3,Matches
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,61,58,2,2,0,1,0,0,0,0,0,0,36,1,3,Matches
12,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,538,510,26,1,3,4,30,1,0,0,0,0,351,2,27,Matches
14,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,675,576,97,9,1,5,31,82,6,6,0,0,568,2,19,Matches
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,349,333,13,1,0,0,33,7,3,2,0,0,221,3,14,Matches
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,939,888,48,40,1,17,5,7,0,0,0,0,719,3,6,Matches
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
18,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,221,203,17,0,5,0,3,0,0,0,0,0,152,1,6,Matches
19,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,6,6,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,1297,1256,39,24,0,2,10,8,0,0,0,0,1200,2,5,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,124,121,3,2,0,0,0,1,0,0,0,0,104,0,2,Matches
