Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
13,Matthis Abline,fr FRA,FW,Nantes,fr Ligue 1,21,2003,30.8,351,538,65.2,5145,976,2,3.8,3.4,-1.8,27,23,15,4,48,Matches
14,Abner,br BRA,DF,Lyon,fr Ligue 1,24,2000,12.1,568,675,84.1,8355,3494,1,1.1,2.3,-0.1,11,45,11,2,66,Matches
15,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,fr Ligue 1,24,2000,21.1,221,349,63.3,2789,753,2,1.6,2.0,+0.4,12,16,10,4,22,Matches
16,Abdel Abqar,ma MAR,DF,Alavés,es La Liga,25,1999,27.4,719,939,76.6,16039,5771,1,0.3,0.4,+0.7,8,67,10,2,79,Matches
17,Tammy Abraham,eng ENG,FW,Roma,it Serie A,26,1997,0.0,1,3,33.3,44,32,0,0.0,0.0,0.0,0,1,0,0,1,Matches
18,Tammy Abraham,eng ENG,FW,Milan,it Serie A,26,1997,13.1,152,221,68.8,1956,534,4,2.2,1.3,+1.8,14,13,10,0,26,Matches
19,Federico Accornero,it ITA,MF,Genoa,it Serie A,20,2004,0.1,4,6,66.7,55,19,0,0.0,0.0,0.0,0,0,0,0,0,Matches
20,Francesco Acerbi,it ITA,DF,Inter,it Serie A,36,1988,19.0,1200,1297,92.5,22280,6158,1,0.6,1.4,+0.4,9,59,8,5,62,Matches
21,Joshua Acheampong,eng ENG,DF,Chelsea,eng Premier League,18,2006,1.9,104,124,83.9,2025,705,0,0.0,0.0,0.0,0,6,0,0,8,Matches
22,Akor Adams,ng NGA,FW,Sevilla,es La Liga,24,2000,1.5,20,27,74.1,334,48,0,0.0,0.0,0.0,0,3,1,0,5,Matches
23,Akor Adams,ng NGA,FW,Montpellier,fr Ligue 1,24,2000,11.9,112,179,62.6,1540,198,1,1.0,0.1,0.0,12,8,0,0,6,Matches
24,Che Adams,sct SCO,FW,Torino,it Serie A,28,1996,29.5,414,557,74.3,6531,1184,3,2.0,2.9,+1.0,26,32,7,0,40,Matches
25,Tyler Adams,us USA,MF,Bournemouth,eng Premier League,25,1999,21.8,902,1069,84.4,14322,3525,3,1.0,0.8,+2.0,18,67,4,1,76,Matches
26,Junior Adamu,at AUT,FW,Freiburg,de Bundesliga,23,2001,17.2,198,312,63.5,2376,316,2,2.4,1.9,-0.4,17,7,8,0,14,Matches
27,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,26,1997,15.7,1079,1184,91.1,19805,7144,1,0.2,0.2,+0.8,1,62,1,0,42,Matches
28,Martin Adeline,fr FRA,MF,Reims,fr Ligue 1,20,2003,0.3,8,10,80.0,138,11,0,0.0,0.0,0.0,0,1,0,0,0,Matches
29,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,22,2002,15.9,298,401,74.3,4376,889,6,6.0,4.1,0.0,28,10,19,2,28,Matches
30,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,22,2002,12.2,290,382,75.9,4148,820,2,2.5,2.8,-0.5,16,5,17,6,18,Matches
31,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,24,2000,8.5,267,360,74.2,3379,721,0,0.7,1.9,-0.7,11,9,15,4,24,Matches
32,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,24,2000,13.7,718,890,80.7,14050,4602,6,2.4,2.2,+3.6,23,84,16,4,103,Matches
33,Adrián,es ESP,GK,Betis,es La Liga,37,1987,19.0,474,619,76.6,12206,8309,0,0.0,0.0,0.0,0,4,0,0,0,Matches
34,Adryelson,br BRA,DF,Lyon,fr Ligue 1,26,1998,0.0,1,3,33.3,21,19,0,0.0,0.0,0.0,0,0,0,0,1,Matches
35,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,18,2006,0.5,15,20,75.0,255,52,0,0.0,0.0,0.0,0,1,1,0,1,Matches
36,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,27,1997,8.0,366,419,87.4,6537,1452,0,0.4,0.6,-0.4,8,41,5,2,33,Matches
37,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,26,1998,18.2,320,461,69.4,5556,1270,1,3.8,3.6,-2.8,21,23,14,10,32,Matches
38,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,27,1997,15.7,855,1001,85.4,17344,6203,0,0.2,0.3,-0.2,4,40,1,0,31,Matches
39,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,27,1997,14.0,810,922,87.9,16521,6962,0,0.3,0.3,-0.3,8,71,4,1,77,Matches
40,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,18,2005,0.1,2,3,66.7,32,0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
41,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,18,2005,3.3,58,80,72.5,743,182,0,0.2,0.4,-0.2,3,4,4,2,6,Matches
42,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,23,2000,13.4,281,411,68.4,7681,5777,0,0.0,0.0,0.0,0,1,0,0,0,Matches
43,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,22,2002,23.5,1007,1236,81.5,15958,5460,3,2.5,1.6,+0.5,27,126,19,3,135,Matches
44,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,24,1999,19.5,655,822,79.7,10350,3456,0,1.8,2.5,-1.8,20,36,22,12,43,Matches
45,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,28,1996,4.9,193,248,77.8,3748,1187,1,0.6,0.4,+0.4,4,31,8,3,37,Matches
46,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,21,2002,0.1,1,1,100.0,34,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
47,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,28,1996,19.6,1213,1389,87.3,23636,8366,0,0.1,0.3,-0.1,5,87,3,1,75,Matches
48,Ruben Aguilar,fr FRA,"DF,MF",Lens,fr Ligue 1,31,1993,12.5,677,843,80.3,9523,4115,2,1.9,1.4,+0.1,11,44,21,6,74,Matches
49,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,22,2002,0.6,17,22,77.3,266,33,0,0.0,0.0,0.0,0,2,0,0,1,Matches
50,Honest Ahanor,it ITA,"DF,MF",Genoa,it Serie A,16,2008,3.0,51,76,67.1,868,299,0,0.1,0.1,-0.1,2,0,0,0,3,Matches
51,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,22,2001,0.5,10,13,76.9,125,21,0,0.0,0.0,0.0,0,1,0,0,1,Matches
52,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,30,1994,21.8,644,764,84.3,10183,2687,0,1.0,0.7,-1.0,10,46,7,0,68,Matches
53,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,28,1995,6.5,337,378,89.2,7044,2518,0,0.0,0.1,0.0,0,9,2,0,14,Matches
54,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,28,1995,0.0,6,7,85.7,126,81,0,0.0,0.0,0.0,0,0,0,0,1,Matches
55,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,19,2005,1.4,17,29,58.6,234,93,0,0.0,0.0,0.0,1,2,1,0,5,Matches
56,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,27,1996,33.3,994,1352,73.5,15371,6297,1,1.4,2.2,-0.4,16,85,23,11,107,Matches
57,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,23,2001,34.5,1449,1721,84.2,19837,5926,7,5.5,4.0,+1.5,46,77,30,10,108,Matches
58,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,19,2004,0.1,4,4,100.0,74,18,0,0.0,0.0,0.0,0,0,0,0,1,Matches
59,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,26,1998,16.0,504,644,78.3,7868,2831,0,1.2,0.5,-1.2,8,44,7,4,56,Matches
60,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,30,1994,27.7,462,671,68.9,6965,969,2,3.1,1.8,-1.1,35,29,11,1,41,Matches
61,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,29,1995,22.4,1632,1744,93.6,27046,7578,0,0.4,1.3,-0.4,9,177,11,2,158,Matches
62,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,20,2003,5.6,274,348,78.7,4648,1667,0,0.1,0.1,-0.1,2,18,1,0,29,Matches
63,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,29,1995,7.5,509,542,93.9,8321,2950,0,0.0,0.2,0.0,1,42,1,0,50,Matches
64,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,20,2004,6.5,136,185,73.5,2161,534,0,1.0,1.7,-1.0,9,5,8,2,12,Matches
65,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,26,1997,28.0,929,1147,81.0,13641,4062,3,2.5,2.5,+0.5,21,42,20,12,86,Matches
66,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,22,2002,26.7,989,1216,81.3,13887,4098,10,7.3,7.8,+2.7,49,90,64,3,173,Matches
67,Paul Akouokou,ci CIV,MF,Lyon,fr Ligue 1,26,1997,0.2,10,15,66.7,218,58,0,0.0,0.0,0.0,0,0,0,0,1,Matches
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,22,2001,27.6,998,1209,82.5,19673,7381,1,0.9,0.9,+0.1,8,74,10,5,74,Matches
69,Jean-Daniel Akpa-Akpro,ci CIV,MF,Monza,it Serie A,31,1992,10.7,275,346,79.5,4054,1322,0,0.2,0.2,-0.2,3,19,2,1,19,Matches
70,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,22,2002,0.5,6,7,85.7,53,28,0,0.0,0.0,0.0,0,0,1,0,1,Matches
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,29,1995,24.7,1193,1369,87.1,21274,7664,0,0.3,0.6,-0.3,7,101,10,0,98,Matches
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,28,1995,7.1,67,99,67.7,822,138,1,0.5,0.4,+0.5,5,1,4,0,7,Matches
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,32,1992,3.5,206,228,90.4,3522,1456,0,0.1,0.1,-0.1,1,11,1,0,7,Matches
74,Ibrahim Alani,ng NGA,MF,Valladolid,es La Liga,18,2006,1.8,71,85,83.5,1385,298,0,0.0,0.0,0.0,0,7,0,0,5,Matches
75,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,34,1990,0.7,15,29,51.7,233,47,0,0.1,0.1,-0.1,2,1,0,0,3,Matches
76,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,38,1985,13.2,727,813,89.4,14582,6006,0,0.0,0.1,0.0,0,26,1,0,34,Matches
77,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,21,2002,0.1,13,13,100.0,221,66,0,0.1,0.0,-0.1,1,4,1,1,6,Matches
78,Carlos Alcaraz,ar ARG,"FW,MF",Everton,eng Premier League,21,2002,8.5,224,278,80.6,3963,1007,3,1.6,0.7,+1.4,13,20,18,3,42,Matches
79,Omar Alderete,py PAR,DF,Getafe,es La Liga,27,1996,33.0,724,1106,65.5,16992,7859,0,0.9,0.9,-0.9,11,132,15,2,112,Matches
80,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,26,1998,5.0,93,117,79.5,1504,299,0,0.1,0.1,-0.1,3,9,3,1,12,Matches
81,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,26,1998,12.1,359,472,76.1,5385,1500,2,1.3,1.3,+0.7,19,35,14,2,58,Matches
82,Ben Alexander Voll,de GER,GK,St. Pauli,de Bundesliga,23,2000,1.0,28,50,56.0,749,588,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
83,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,25,1998,26.3,1448,1971,73.5,27901,11363,6,7.3,7.4,-1.3,52,207,65,20,232,Matches
84,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,25,1999,15.2,263,377,69.8,3844,521,2,2.6,2.1,-0.6,24,8,7,1,22,Matches
85,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,20,2004,18.0,338,481,70.3,4959,1248,4,4.0,3.5,0.0,30,23,36,5,59,Matches
86,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,23,2001,0.8,16,20,80.0,198,42,0,0.0,0.0,0.0,1,0,1,1,1,Matches
87,Alisson,br BRA,GK,Liverpool,eng Premier League,31,1992,27.9,794,959,82.8,17555,11360,0,0.6,0.2,-0.6,1,12,0,0,1,Matches
88,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,25,1999,0.0,1,3,33.3,7,1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
89,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,29,1995,19.4,363,483,75.2,5265,1271,3,2.5,1.7,+0.5,15,28,13,3,48,Matches
90,Dele Alli,eng ENG,MF,Como,it Serie A,28,1996,0.1,3,3,100.0,21,4,0,0.0,0.0,0.0,0,0,0,0,0,Matches
91,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,23,2001,10.6,635,748,84.9,10034,2735,4,2.6,2.4,+1.4,22,58,20,2,97,Matches
92,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,24,2000,22.0,798,947,84.3,13067,3738,4,3.2,4.9,+0.8,43,96,24,5,142,Matches
93,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,20,2004,0.5,23,32,71.9,328,34,1,0.7,0.4,+0.3,2,0,0,0,2,Matches
94,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,30,1994,1.7,54,66,81.8,707,219,0,0.3,0.2,-0.3,3,3,1,0,6,Matches
95,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,25,1999,12.4,215,297,72.4,2758,504,1,1.3,0.9,-0.3,10,4,4,1,12,Matches
96,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,33,1990,29.4,2139,2397,89.2,38937,14018,0,1.3,2.0,-1.3,21,226,21,6,215,Matches
97,Giorgio Altare,it ITA,DF,Venezia,it Serie A,25,1998,8.4,283,389,72.8,5113,1998,0,0.1,0.2,-0.1,1,15,2,1,20,Matches
98,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,23,2001,18.1,483,615,78.5,7731,2148,0,0.5,0.7,-0.5,11,34,10,2,42,Matches
99,Sergi Altimira,es ESP,MF,Betis,es La Liga,22,2001,21.9,1123,1258,89.3,18063,4176,1,1.7,1.2,-0.7,22,91,13,0,99,Matches
100,Olabade Aluko,,DF,Leicester City,eng Premier League,,,0.0,3,5,60.0,39,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
101,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,26,1997,19.7,861,1003,85.8,14393,4200,1,0.8,0.9,+0.2,12,92,12,3,85,Matches
102,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,21,2003,17.5,799,1013,78.9,12210,3255,3,1.1,2.1,+1.9,17,35,15,3,60,Matches
103,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,24,2000,27.9,717,966,74.2,10651,2652,4,5.3,5.3,-1.3,41,45,38,5,92,Matches
104,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,29,1995,19.8,994,1182,84.1,20211,7016,0,0.2,0.4,-0.2,4,80,3,2,105,Matches
105,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,22,2002,2.6,68,91,74.7,1077,220,0,0.0,0.1,0.0,0,3,3,0,8,Matches
106,Will Alves,eng ENG,FW,Leicester City,eng Premier League,19,2005,0.0,1,1,100.0,12,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
107,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,27,1996,15.3,318,406,78.3,5560,1659,1,1.1,1.1,-0.1,13,42,11,0,57,Matches
108,Harry Amass,eng ENG,DF,Manchester Utd,eng Premier League,17,2007,3.8,149,181,82.3,1920,387,0,0.0,0.1,0.0,1,5,0,0,7,Matches
109,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,28,1996,4.2,86,112,76.8,1337,301,1,0.5,0.5,+0.5,6,4,4,2,12,Matches
110,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,30,1994,8.8,386,526,73.4,6269,2275,0,0.2,0.4,-0.2,6,28,6,1,36,Matches
111,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,21,2003,1.1,58,69,84.1,1079,398,0,0.3,0.3,-0.3,1,2,0,0,2,Matches
112,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,26,1998,24.1,738,921,80.1,11821,5145,0,0.8,1.8,-0.8,13,60,24,12,73,Matches
113,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,28,1996,27.1,1665,1902,87.5,26059,8235,3,3.3,2.9,-0.3,24,142,19,4,140,Matches
114,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,27,1996,27.5,1371,1781,77.0,25127,9676,5,6.6,9.2,-1.6,63,173,57,9,204,Matches
115,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,18,2006,0.3,8,9,88.9,107,13,0,0.1,0.1,-0.1,1,0,1,1,0,Matches
116,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,18,2006,3.6,106,123,86.2,1579,280,0,0.6,0.9,-0.6,5,4,5,0,12,Matches
117,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,18,2006,0.1,7,7,100.0,69,30,0,0.0,0.0,0.0,0,2,0,0,1,Matches
118,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,18,2006,9.5,232,301,77.1,3514,1194,0,0.4,0.3,-0.4,7,23,4,0,36,Matches
119,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,24,2000,27.4,532,757,70.3,8149,1608,9,4.0,3.7,+5.0,35,29,26,5,61,Matches
120,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,27,1996,2.0,112,133,84.2,2140,528,0,0.1,0.1,-0.1,2,10,0,0,14,Matches
121,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,28,1996,1.0,61,83,73.5,1227,526,0,0.0,0.0,0.0,0,9,1,0,4,Matches
122,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,28,1996,28.7,1654,2000,82.7,36471,14436,0,0.5,0.5,-0.5,4,196,6,3,112,Matches
123,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,21,2002,30.3,1085,1386,78.3,17458,5922,6,3.3,3.6,+2.7,37,121,19,2,143,Matches
124,André,br BRA,MF,Wolves,eng Premier League,23,2001,27.5,1247,1342,92.9,19660,5471,0,0.8,0.7,-0.8,18,111,5,0,109,Matches
125,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,33,1990,29.9,1586,1911,83.0,26597,7159,3,1.9,2.7,+1.1,21,207,18,3,209,Matches
126,Marcos André,br BRA,FW,Valladolid,es La Liga,27,1996,13.2,138,210,65.7,2358,395,2,0.8,0.3,+1.2,9,13,3,0,16,Matches
127,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,29,1994,17.8,865,978,88.4,13929,3332,2,0.3,1.0,+1.7,9,65,8,0,65,Matches
128,Angeliño,es ESP,DF,Roma,it Serie A,27,1997,35.3,1544,1969,78.4,28294,9958,1,3.7,4.0,-2.7,50,135,58,22,172,Matches
129,Lorenzo Anghelè,it ITA,FW,Juventus,it Serie A,19,2005,0.1,4,4,100.0,82,12,0,0.0,0.0,0.0,0,0,0,0,1,Matches
130,Faustino Anjorin,eng ENG,MF,Empoli,it Serie A,22,2001,12.4,355,441,80.5,6247,2157,3,1.7,1.1,+1.3,17,44,13,1,55,Matches
131,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,28,1996,21.7,1664,1841,90.4,30553,9607,2,0.8,1.8,+1.2,6,124,6,3,117,Matches
132,Leandro Antonetti,pr PUR,FW,Sevilla,es La Liga,21,2003,0.3,2,4,50.0,19,6,0,0.0,0.0,0.0,1,0,0,0,0,Matches
133,Kyllian Antonio,fr FRA,"DF,MF",Lens,fr Ligue 1,16,2008,1.5,81,97,83.5,1347,373,0,0.0,0.0,0.0,0,2,0,0,0,Matches
134,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,34,1990,9.3,114,188,60.6,2183,424,1,1.6,0.9,-0.6,9,11,6,2,18,Matches
135,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,21,2002,11.4,148,221,67.0,2071,636,1,1.1,1.1,-0.1,7,10,7,3,28,Matches
136,Antony,br BRA,"DF,MF",Manchester Utd,eng Premier League,24,2000,1.6,56,69,81.2,688,111,0,0.1,0.2,-0.1,3,1,5,2,6,Matches
137,Antony,br BRA,FW,Betis,es La Liga,24,2000,15.1,622,768,81.0,8403,2211,2,3.5,2.9,-1.5,36,34,43,7,67,Matches
138,Anuar,ma MAR,"MF,FW",Valladolid,es La Liga,29,1995,19.1,411,505,81.4,6137,1132,0,1.2,0.7,-1.2,7,19,3,2,30,Matches
139,Dennis Appiah,fr FRA,DF,Saint-Étienne,fr Ligue 1,32,1992,23.6,903,1179,76.6,14432,6487,1,2.1,2.2,-1.1,13,81,25,7,108,Matches
140,Aritz Arambarri,es ESP,DF,Leganés,es La Liga,26,1998,2.0,49,67,73.1,1025,258,0,0.0,0.0,0.0,0,1,0,0,2,Matches
141,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,28,1995,29.6,586,800,73.3,10098,2457,0,0.6,0.6,-0.6,17,74,4,1,75,Matches
142,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,22,2002,27.3,1190,1518,78.4,17685,7225,1,1.1,1.4,-0.1,15,82,11,6,97,Matches
143,Julian Araujo,mx MEX,DF,Bournemouth,eng Premier League,22,2001,5.5,178,225,79.1,3006,890,0,0.1,0.1,-0.1,1,17,3,2,14,Matches
144,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,25,1999,8.4,666,725,91.9,12408,3957,1,0.4,0.2,+0.6,4,51,3,0,49,Matches
145,Cameron Archer,eng ENG,FW,Southampton,eng Premier League,23,2001,16.0,205,251,81.7,2612,367,0,0.5,0.7,-0.5,5,7,7,0,14,Matches
146,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,28,1996,22.7,810,1020,79.4,13534,4817,1,1.4,1.4,-0.4,17,58,20,10,70,Matches
147,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,31,1993,25.1,688,989,69.6,18224,12284,0,0.0,0.0,0.0,0,11,0,0,1,Matches
148,Adu Ares,es ESP,FW,Athletic Club,es La Liga,22,2001,0.2,5,9,55.6,64,15,0,0.0,0.0,0.0,0,0,1,0,3,Matches
149,Jesús Areso,es ESP,DF,Osasuna,es La Liga,25,1999,34.2,1139,1573,72.4,19266,8143,3,3.5,3.1,-0.5,30,96,50,30,106,Matches
150,David Argüelles,es ESP,MF,Getafe,es La Liga,22,2002,0.1,3,5,60.0,25,2,0,0.0,0.0,0.0,0,0,0,0,0,Matches
151,Joe Aribo,ng NGA,"MF,DF",Southampton,eng Premier League,28,1996,22.4,929,1046,88.8,13689,2630,0,1.6,1.3,-1.6,16,51,4,1,75,Matches
152,Adam Armstrong,eng ENG,"FW,MF",Southampton,eng Premier League,27,1997,13.9,231,288,80.2,3320,446,2,1.2,0.6,+0.8,9,10,8,2,21,Matches
153,Harrison Armstrong,eng ENG,MF,Everton,eng Premier League,17,2007,0.5,7,15,46.7,149,15,0,0.1,0.0,-0.1,1,1,0,0,1,Matches
154,José Arnaiz,es ESP,"FW,MF",Osasuna,es La Liga,29,1995,1.5,52,77,67.5,720,249,0,0.1,0.4,-0.1,3,2,4,3,4,Matches
155,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,21,2003,19.5,751,946,79.4,12052,2948,3,2.8,3.2,+0.2,35,64,42,5,102,Matches
156,Marko Arnautović,at AUT,FW,Inter,it Serie A,35,1989,6.1,113,158,71.5,1462,257,2,1.2,0.9,+0.8,7,6,8,0,16,Matches
157,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,30,1994,26.2,1049,1358,77.2,21225,6991,5,3.5,4.4,+1.5,45,132,19,8,128,Matches
158,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,de Bundesliga,24,2000,7.9,102,174,58.6,2045,760,0,1.0,1.7,-1.0,11,7,12,3,21,Matches
159,Sergio Arribas,es ESP,DF,Betis,es La Liga,21,2003,1.0,37,54,68.5,533,210,0,0.0,0.0,0.0,0,1,0,0,1,Matches
160,Kepa Arrizabalaga,es ESP,GK,Bournemouth,eng Premier League,29,1994,31.0,752,1027,73.2,20531,13943,0,0.0,0.0,0.0,1,10,0,0,2,Matches
161,Arthur,br BRA,DF,Leverkusen,de Bundesliga,21,2003,8.4,306,388,78.9,4578,1255,1,0.4,1.0,+0.6,2,20,7,1,25,Matches
162,Takuma Asano,jp JPN,"FW,MF",Mallorca,es La Liga,29,1994,11.7,148,219,67.6,2071,485,1,0.7,0.6,+0.3,6,8,3,2,20,Matches
