Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,eng Premier League,24,2000,1.0,50,63,79.4,887,361,0,0.0,0.0,0.0,0,8,0,0,8,Matches
2,Max Aarons,eng ENG,"DF,MF",Valencia,es La Liga,24,2000,1.3,47,66,71.2,705,190,0,0.0,0.0,0.0,1,2,0,0,6,Matches
3,Rodrigo Abajas,es ESP,DF,Valencia,es La Liga,21,2003,0.7,17,29,58.6,268,110,0,0.0,0.0,0.0,0,0,0,0,2,Matches
4,James Abankwah,ie IRL,"DF,MF",Udinese,it Serie A,20,2004,1.0,36,46,78.3,614,206,0,0.0,0.0,0.0,0,2,0,0,4,Matches
5,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,18,2006,0.0,2,2,100.0,41,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
6,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,fr Ligue 1,36,1987,11.5,438,505,86.7,7952,2404,0,0.1,0.3,-0.1,2,28,0,0,22,Matches
7,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,24,1999,31.6,1373,1672,82.1,21646,6031,1,3.2,3.7,-2.2,39,171,38,3,207,Matches
8,Mohamed Abdelmoneim,eg EGY,DF,Nice,fr Ligue 1,25,1999,9.5,471,521,90.4,8299,2620,0,0.0,0.2,0.0,0,41,1,0,52,Matches
9,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,30,1993,15.5,502,678,74.0,7914,2701,2,1.9,1.7,+0.1,20,19,21,7,42,Matches
10,Saud Abdulhamid,sa KSA,DF,Roma,it Serie A,25,1999,2.3,118,136,86.8,1766,368,1,0.2,0.2,+0.8,2,4,4,2,9,Matches
11,Nabil Aberdin,fr FRA,MF,Getafe,es La Liga,21,2002,2.9,36,61,59.0,680,267,0,0.0,0.1,0.0,1,7,2,0,6,Matches
12,Oliver Abildgaard,dk DEN,MF,Como,it Serie A,28,1996,0.1,1,1,100.0,21,7,0,0.0,0.0,0.0,0,0,0,0,0,Matches
