table_name,column_name,definition
Advanced Goalkeeping,CK,Corner Kick Goals AgainstCorner Kick Goals Against
Advanced Goalkeeping,OG,Own Goals Scored Against GoalkeeperOwn Goals Scored Against Goalkeeper
Advanced Goalkeeping,PSxG,"Post-Shot Expected GoalsPost-Shot Expected GoalsPSxG is expected goals based on how likely the goalkeeper is to save the shotxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Advanced Goalkeeping,PSxG/SoT,"Post-Shot Expected Goals per Shot on TargetNot including penalty kicksPSxG is expected goals based on how likely the goalkeeper is to save the shotHigher numbers indicate that shots on target faced are more difficult to stop and more likely to scoreAn underline indicates there is a match that is missing data, but will be updated when available."
Advanced Goalkeeping,PSxG+/-,"PSxG-GAPost-Shot Expected Goals minus Goals AllowedPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Advanced Goalkeeping,/90,"PSxG-GA/90Post-Shot Expected Goals minus Goals Allowed per 90 minutesPositive numbers suggest better luck or an above average ability to stop shotsPSxG is expected goals based on how likely the goalkeeper is to save the shotNote: Does not include own goalsxG totals include penalty kicks, but do not include penalty shootouts (unless otherwise noted).Provided by Opta.An underline indicates there is a match that is missing data, but will be updated when available."
Advanced Goalkeeping,Cmp,Passes Completed (Launched)Passes CompletedPasses longer than 40 yards
Advanced Goalkeeping,Att,Passes Attempted (Launched)Passes AttemptedPasses longer than 40 yards
Advanced Goalkeeping,Cmp%,Pass Completion Percentage (Launched)Pass Completion PercentagePasses longer than 40 yards
Advanced Goalkeeping,Att (GK),Passes Attempted (GK)Passes Attempted (GK)Not including goal kicks
Advanced Goalkeeping,Thr,Throws AttemptedThrows Attempted
Advanced Goalkeeping,Launch%,Launch %Percentage of Passes that were LaunchedNot including goal kicksPasses longer than 40 yards
Advanced Goalkeeping,AvgLen,"Average Pass LengthAverage length of passes, in yardsNot including goal kicks"
Advanced Goalkeeping,Opp,Crosses FacedOpponent's attempted crosses into penalty area
Advanced Goalkeeping,Stp,Crosses StoppedNumber of crosses into penalty area which were successfully stopped by the goalkeeper
Advanced Goalkeeping,Stp%,Crosses Stopped %Percentage of crosses into penalty area which were successfully stopped by the goalkeeper
Advanced Goalkeeping,#OPA,Def. Actions Outside Pen. Area# of defensive actions outside of penalty area
Advanced Goalkeeping,#OPA/90,Defensive actions outside of penalty area per 90 minutes
Advanced Goalkeeping,AvgDist,Avg. Distance of Def. ActionsAverage distance from goal (in yards) of all defensive actions
Shooting,Rk,RankThis is a count of the rows from top to bottom.It is recalculated following the sorting of a column.
Shooting,Nation,"Nationality of the player.First, we check our records in international play at senior level.Then youth level.Then citizenship presented on wikipedia.Finally, we use their birthplace when available."
Shooting,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Shooting,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Shooting,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Shooting,Born,Year of birth
Shooting,90s,90s Played90s playedMinutes played divided by 90
Shooting,Gls,GoalsGoals scored or allowed
Shooting,Sh,Shots TotalShots TotalDoes not include penalty kicks
Shooting,SoT,Shots on TargetShots on TargetNote: Shots on target do not include penalty kicks
Shooting,SoT%,Shots on Target %Percentage of shots that are on targetMinimum .395 shots per squad game to qualify as a leaderNote: Shots on target do not include penalty kicks
Shooting,Sh/90,Shots Total/90Shots total per 90 minutesMinimum 30 minutes played per squad game to qualify as a leader
Shooting,SoT/90,Shots on target/90Shots on target per 90 minutesMinimum 30 minutes played per squad game to qualify as a leaderNote: Shots on target do not include penalty kicks
