table_name,column_name,definition
Miscellaneous Stats,Pos,PositionPosition most commonly played by the playerGK - GoalkeepersDF - DefendersMF - MidfieldersFW - ForwardsFB - FullbacksLB - Left BacksRB - Right BacksCB - Center BacksDM - Defensive MidfieldersCM - Central MidfieldersLM - Left MidfieldersRM - Right MidfieldersWM - Wide MidfieldersLW - Left WingersRW - Right WingersAM - Attacking Midfielders
Miscellaneous Stats,Comp,CompetitionCompetitionNumber next to competition states which level in the country's league pyramid this league occupies.
Miscellaneous Stats,Age,Current ageAge at season startGiven on August 1 for winter leaguesand February 1 for summer leagues.
Miscellaneous Stats,Born,Year of birth
Miscellaneous Stats,90s,90s Played90s playedMinutes played divided by 90
Miscellaneous Stats,CrdY,Yellow CardsYellow Cards
Miscellaneous Stats,CrdR,Red CardsRed Cards
Miscellaneous Stats,2CrdY,Second Yellow CardSecond Yellow Card
Miscellaneous Stats,Fls,Fouls CommittedFouls Committed
Miscellaneous Stats,Fld,Fouls DrawnFouls Drawn
Miscellaneous Stats,Off,OffsidesOffsides
Miscellaneous Stats,Crs,CrossesCrosses
Miscellaneous Stats,Int,InterceptionsInterceptions
Miscellaneous Stats,TklW,Tackles WonTackles in which the tackler's team won possession of the ball
Miscellaneous Stats,PKwon,Penalty Kicks WonPenalty Kicks Won
Miscellaneous Stats,PKcon,Penalty Kicks ConcededPenalty Kicks Conceded
Miscellaneous Stats,OG,Own GoalsOwn Goals
Miscellaneous Stats,Recov,Ball RecoveriesNumber of loose balls recovered
Miscellaneous Stats,Won,Aerials WonAerials Won
Miscellaneous Stats,Lost,Aerials LostAerials Lost
Miscellaneous Stats,Won%,% of Aerials WonPercentage of aerials wonMinimum .97 aerial duels per squad game to qualify as a leader
