rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,shot_creating_actions,shot_creating_actions_per_90,shot_creating_actions_live_pass,shot_creating_actions_dead_pass,shot_creating_actions_take_on,shot_creating_actions_shot,shot_creating_actions_foul_drawn,goal_creating_actions,goal_creating_actions_per_90,goal_creating_actions_def,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24.0,2000.0,1.0,2,2.09,2,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24.0,2000.0,1.3,1,0.75,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21.0,2003.0,0.7,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20.0,2004.0,1.0,1,1.02,1,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18.0,2006.0,0.0,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36.0,1987.0,11.5,6,0.55,5,1,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24.0,1999.0,31.6,94,2.98,80,2,5,1,3,5,0.16,3,2024-2025,stats_gca,2025-10-18 04:36:50.757682
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25.0,1999.0,9.5,8,0.84,8,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30.0,1993.0,15.5,45,2.91,33,3,4,4,0,3,0.19,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25.0,1999.0,2.3,6,2.65,5,0,0,0,1,1,0.44,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
11,Nabil Aberdin,FRA,MF,Getafe,La Liga,21.0,2002.0,2.9,3,1.03,3,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
12,Oliver Abildgaard,DEN,MF,Como,Serie A,28.0,1996.0,0.1,0,0.0,0,0,0,0,0,0,0.0,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
13,Matthis Abline,FRA,FW,Nantes,Ligue 1,21.0,2003.0,30.8,61,1.98,43,0,8,6,3,9,0.29,1,2024-2025,stats_gca,2025-10-18 04:36:50.757682
14,Abner,BRA,DF,Lyon,Ligue 1,24.0,2000.0,12.1,25,2.06,21,3,0,1,0,1,0.08,0,2024-2025,stats_gca,2025-10-18 04:36:50.757682
