rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,34,1990,28.0,53,2,1,7,2,52.1,0.36,1.1,0.04,178,478,37.2,923,121,41.6,36.5,0,0,0,407,18,4.4,31,1.11,14.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
12,Altay Bayındır,TUR,GK,Manchester Utd,Premier League,26,1998,4.0,10,0,0,0,1,10.1,0.59,1.1,0.27,13,62,21.0,128,12,34.4,34.1,0,0,0,56,4,7.1,7,1.75,12.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
13,Daniel Bentley,ENG,GK,Wolves,Premier League,31,1993,2.0,4,0,1,0,0,3.9,0.33,-0.1,-0.04,7,21,33.3,52,6,25.0,28.1,0,0,0,25,0,0.0,3,1.5,16.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
14,Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,26,1998,4.0,11,2,0,0,0,8.8,0.35,-2.2,-0.54,20,47,42.6,86,19,38.4,34.5,0,0,0,55,8,14.5,3,0.75,13.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
15,Marco Bizot,NED,GK,Brest,Ligue 1,33,1991,32.0,54,8,1,4,1,46.2,0.31,-6.8,-0.21,218,522,41.8,902,134,42.0,36.0,0,0,0,459,33,7.2,53,1.66,16.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
16,Jean Butez,FRA,GK,Como,Serie A,29,1995,18.5,20,2,0,1,0,20.1,0.27,0.1,0.0,90,235,38.3,709,92,30.2,32.0,0,0,0,190,22,11.6,51,2.76,18.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
17,Marcin Bułka,POL,GK,Nice,Ligue 1,24,1999,34.0,41,2,0,4,1,43.0,0.26,3.0,0.09,112,272,41.2,948,173,22.8,28.6,0,0,0,470,39,8.3,33,0.97,12.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
18,Elia Caprile,ITA,GK,Cagliari,Serie A,22,2001,18.0,22,1,0,4,0,23.5,0.35,1.5,0.08,132,332,39.8,546,93,44.1,36.8,0,0,0,266,18,6.8,23,1.28,15.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
19,Elia Caprile,ITA,GK,Napoli,Serie A,22,2001,3.6,1,0,0,0,0,2.2,0.27,1.2,0.32,11,25,44.0,82,9,25.6,31.7,0,0,0,31,3,9.7,3,0.83,13.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
20,Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,27,1997,6.0,6,0,0,0,0,5.6,0.29,-0.4,-0.06,26,106,24.5,132,21,56.8,44.3,0,0,0,79,2,2.5,1,0.17,10.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
21,Tiago Cardoso,LUX,GK,Gladbach,Bundesliga,18,2006,4.2,3,0,0,0,0,4.7,0.2,1.7,0.39,23,62,37.1,148,22,27.0,29.2,0,0,0,96,14,14.6,1,0.24,5.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
22,Patrik Carlgren,SWE,GK,Nantes,Ligue 1,32,1992,4.6,7,0,0,1,0,8.5,0.3,1.5,0.31,22,63,34.9,99,27,36.4,34.4,0,0,0,80,1,1.3,1,0.22,10.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
23,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,24,2000,34.0,34,2,0,4,2,36.1,0.28,4.1,0.12,121,374,32.4,878,177,28.2,32.3,0,0,0,319,21,6.6,45,1.32,14.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
24,Lucas Chevalier,FRA,GK,Lille,Ligue 1,22,2001,34.0,36,4,0,6,1,42.2,0.32,7.2,0.21,112,288,38.9,968,144,25.7,29.6,0,0,0,373,21,5.6,24,0.71,13.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
25,Leandro Chichizola,ARG,GK,Parma,Serie A,34,1990,1.0,3,0,0,0,0,2.5,0.43,-0.5,-0.54,3,16,18.8,41,5,31.7,33.9,0,0,0,21,2,9.5,2,2.0,16.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
26,Jasper Cillessen,NED,GK,Las Palmas,La Liga,35,1989,25.9,42,4,0,4,2,44.3,0.3,4.3,0.16,124,409,30.3,820,142,39.5,34.5,0,0,0,413,13,3.1,20,0.77,14.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
27,Giuseppe Ciocci,ITA,GK,Cagliari,Serie A,22,2002,0.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,0,0.0,6.0,0,0,0,0,0,0.0,1,10.0,21.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
28,Diego Conde,ESP,GK,Villarreal,La Liga,25,1998,21.8,33,3,1,6,1,26.3,0.26,-5.7,-0.26,61,161,37.9,532,111,22.7,28.2,0,0,0,323,18,5.6,16,0.73,11.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
29,Grégoire Coudert,FRA,GK,Brest,Ligue 1,25,1999,2.0,5,0,0,1,1,2.8,0.22,-1.2,-0.6,6,20,30.0,60,7,28.3,31.4,0,0,0,30,1,3.3,3,1.5,18.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
30,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,32,1992,30.0,29,3,0,6,1,28.7,0.27,0.7,0.02,62,214,29.0,871,173,18.5,28.2,0,0,0,350,16,4.6,14,0.47,10.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
31,Finn Dahmen,GER,GK,Augsburg,Bundesliga,26,1998,19.0,19,2,0,3,2,24.2,0.29,7.2,0.38,129,341,37.8,614,51,38.6,34.9,0,0,0,337,9,2.7,26,1.37,14.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
32,Thomas Dähne,GER,GK,Holstein Kiel,Bundesliga,30,1994,9.0,19,2,1,1,1,18.5,0.3,0.5,0.06,47,133,35.3,304,55,25.7,30.3,0,0,0,177,15,8.5,5,0.56,9.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
33,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23,2001,2.0,3,1,0,0,0,3.5,0.22,0.5,0.23,8,31,25.8,46,5,45.7,40.3,0,0,0,38,3,7.9,3,1.5,13.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
34,Rémy Descamps,FRA,GK,Lyon,Ligue 1,28,1996,1.0,2,0,0,0,0,1.4,0.23,-0.6,-0.62,1,4,25.0,28,2,14.3,27.5,0,0,0,7,0,0.0,0,0.0,7.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
35,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30,1994,18.0,38,2,1,4,0,38.7,0.4,0.7,0.04,56,151,37.1,404,72,28.5,30.9,0,0,0,277,12,4.3,7,0.39,11.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
36,Michele Di Gregorio,ITA,GK,Juventus,Serie A,27,1997,33.0,32,5,0,6,0,28.1,0.24,-3.9,-0.12,128,333,38.4,848,126,30.0,31.4,0,0,0,469,29,6.2,30,0.91,13.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
37,Stole Dimitrievski,MKD,GK,Valencia,La Liga,30,1993,4.0,6,1,0,0,0,4.5,0.29,-1.5,-0.38,15,72,20.8,113,25,49.6,40.5,0,0,0,51,3,5.9,16,4.0,25.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
38,Yehvann Diouf,SEN,GK,Reims,Ligue 1,24,1999,34.0,47,4,1,8,0,61.6,0.33,14.6,0.43,154,477,32.3,993,153,34.4,33.3,0,0,0,554,31,5.6,42,1.24,14.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
39,Marko Dmitrović,SRB,GK,Leganés,La Liga,32,1992,32.0,49,7,1,9,2,50.2,0.3,3.2,0.1,201,765,26.3,743,112,65.3,47.2,0,0,0,579,49,8.5,53,1.66,14.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
40,Álex Domínguez,ESP,GK,Toulouse,Ligue 1,26,1998,0.2,0,0,0,0,0,0.0,0.0,0.0,0.0,2,5,40.0,8,1,25.0,30.0,0,0,0,7,0,0.0,0,0.0,0.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
41,Gianluigi Donnarumma,ITA,GK,Paris S-G,Ligue 1,25,1999,23.2,25,1,1,4,0,21.7,0.29,-3.3,-0.14,35,101,34.7,543,90,13.6,25.1,0,0,0,199,10,5.0,19,0.82,14.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
42,Patrick Drewes,GER,GK,Bochum,Bundesliga,31,1993,21.0,46,3,2,4,0,42.3,0.38,-3.7,-0.18,218,484,45.0,681,65,50.1,37.6,0,0,0,285,12,4.2,33,1.57,15.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
43,Martin Dúbravka,SVK,GK,Newcastle Utd,Premier League,35,1989,10.0,12,0,0,1,0,12.9,0.32,0.9,0.09,18,80,22.5,273,54,15.8,25.2,0,0,0,127,10,7.9,11,1.1,15.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
44,Ederson,BRA,GK,Manchester City,Premier League,30,1993,25.8,26,2,0,3,1,30.0,0.37,5.0,0.19,72,165,43.6,846,108,17.4,27.9,0,0,0,224,13,5.8,49,1.9,17.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
45,Łukasz Fabiański,POL,GK,West Ham,Premier League,39,1985,12.9,21,3,1,3,0,22.6,0.29,1.6,0.12,77,226,34.1,394,55,41.9,35.5,0,0,0,220,10,4.5,12,0.93,13.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
46,Wladimiro Falcone,ITA,GK,Lecce,Serie A,29,1995,38.0,58,8,3,5,3,53.8,0.26,-1.2,-0.03,220,656,33.5,1017,120,51.9,39.1,0,0,0,590,29,4.9,19,0.5,11.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
47,Frank Feller,GER,GK,Heidenheim,Bundesliga,20,2004,1.3,0,0,0,0,0,0.3,0.16,0.3,0.24,10,34,29.4,54,7,42.6,38.0,0,0,0,25,1,4.0,1,0.74,14.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
48,Aitor Fernández,ESP,GK,Osasuna,La Liga,33,1991,1.0,0,0,0,0,0,1.2,0.23,1.2,1.15,19,35,54.3,34,4,70.6,44.4,0,0,0,14,1,7.1,1,1.0,10.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
49,Álvaro Fernández,ESP,GK,Sevilla,La Liga,26,1998,8.3,16,2,0,1,0,11.0,0.25,-5.0,-0.61,37,142,26.1,277,32,39.7,34.3,0,0,0,105,7,6.7,14,1.69,16.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
50,André Ferreira,POR,GK,Valladolid,La Liga,28,1996,6.0,20,3,0,1,0,15.3,0.35,-4.7,-0.79,30,83,36.1,138,26,37.0,33.8,0,0,0,92,4,4.3,3,0.5,10.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
51,Mark Flekken,NED,GK,Brentford,Premier League,31,1993,36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,0,0,0,581,46,7.9,34,0.93,11.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
52,Yahia Fofana,CIV,GK,Angers,Ligue 1,23,2000,33.0,51,3,0,7,0,63.5,0.34,12.5,0.38,144,435,33.1,751,180,38.6,35.8,0,0,0,531,48,9.0,20,0.61,10.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
53,Fraser Forster,ENG,GK,Tottenham,Premier League,36,1988,7.0,15,2,0,1,0,16.5,0.36,1.5,0.21,11,31,35.5,141,30,21.3,27.2,0,0,0,81,4,4.9,3,0.43,11.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
54,Fran,ESP,GK,Real Madrid,La Liga,19,2005,1.0,2,0,0,1,0,0.9,0.43,-1.1,-1.14,1,2,50.0,16,3,12.5,24.0,0,0,0,5,1,20.0,1,1.0,12.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
55,Gauthier Gallon,FRA,GK,Rennes,Ligue 1,31,1993,0.5,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0.0,15,2,13.3,23.8,0,0,0,2,0,0.0,1,2.0,28.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
56,Joan García,ESP,GK,Espanyol,La Liga,23,2001,38.0,51,4,2,6,1,57.7,0.28,7.7,0.2,194,526,36.9,1040,197,37.6,34.8,0,0,0,670,64,9.6,35,0.92,12.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
57,Paulo Gazzaniga,ARG,GK,Girona,La Liga,32,1992,35.5,51,2,1,5,1,45.4,0.29,-4.6,-0.13,93,298,31.2,1026,137,21.6,29.4,0,0,0,419,36,8.6,33,0.93,12.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
58,David de Gea,ESP,GK,Fiorentina,Serie A,33,1990,35.0,38,1,0,3,1,37.7,0.26,0.7,0.02,218,490,44.5,886,129,40.1,35.8,0,0,0,478,13,2.7,28,0.8,14.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
59,Pierluigi Gollini,ITA,GK,Genoa,Serie A,29,1995,7.0,15,3,0,1,0,12.2,0.29,-2.8,-0.39,33,75,44.0,198,21,24.7,30.4,0,0,0,92,2,2.2,2,0.29,9.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
60,Mathieu Gorgelin,FRA,GK,Le Havre,Ligue 1,33,1990,16.0,33,3,0,4,1,34.2,0.4,2.2,0.14,79,183,43.2,435,75,32.9,32.4,0,0,0,269,21,7.8,8,0.5,10.5,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
61,Kamil Grabara,POL,GK,Wolfsburg,Bundesliga,25,1999,28.7,49,2,0,9,1,49.7,0.35,1.7,0.06,186,511,36.4,979,114,41.7,36.7,0,0,0,413,15,3.6,19,0.66,12.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
62,Dominik Greif,SVK,GK,Mallorca,La Liga,27,1997,31.0,34,2,0,3,1,33.9,0.28,0.9,0.03,191,475,40.2,847,126,41.9,36.4,0,0,0,511,15,2.9,21,0.68,12.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
63,Vicente Guaita,ESP,GK,Celta Vigo,La Liga,37,1987,34.0,48,3,0,6,0,40.6,0.3,-7.4,-0.22,66,220,30.0,740,195,18.4,27.3,0,0,0,436,26,6.0,44,1.29,14.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
64,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,34,1990,29.2,39,2,1,4,0,42.6,0.3,3.6,0.12,79,209,37.8,705,140,20.3,28.6,0,0,0,434,23,5.3,34,1.16,14.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
65,Kjetil Haug,NOR,GK,Toulouse,Ligue 1,26,1998,5.5,7,0,0,2,0,6.6,0.45,-0.4,-0.06,16,60,26.7,95,13,37.9,34.1,0,0,0,72,5,6.9,3,0.54,12.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
66,Dean Henderson,ENG,GK,Crystal Palace,Premier League,27,1997,38.0,51,1,1,5,3,51.2,0.35,3.2,0.08,157,600,26.2,942,115,47.5,38.5,0,0,0,559,30,5.4,40,1.05,14.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
67,Mads Hermansen,DEN,GK,Leicester City,Premier League,24,2000,26.5,58,3,0,3,3,56.4,0.35,1.4,0.05,114,471,24.2,926,133,39.2,34.6,0,0,0,419,26,6.2,26,0.98,13.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
68,Sergio Herrera,ESP,GK,Osasuna,La Liga,31,1993,37.0,52,7,1,4,1,56.2,0.28,5.2,0.14,277,614,45.1,966,139,43.2,37.6,0,0,0,524,32,6.1,85,2.3,19.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
69,Dinko Horkaš,CRO,GK,Las Palmas,La Liga,25,1999,12.1,19,1,0,0,1,19.4,0.34,1.4,0.11,69,175,39.4,475,53,31.8,32.5,0,0,0,148,9,6.1,16,1.33,15.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
70,Timo Horn,GER,GK,Bochum,Bundesliga,31,1993,13.0,22,0,1,3,0,18.5,0.35,-3.5,-0.27,129,332,38.9,400,29,60.8,43.6,0,0,0,182,6,3.3,18,1.38,14.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
71,Lukáš Hrádecký,FIN,GK,Leverkusen,Bundesliga,34,1989,29.0,38,4,1,2,3,35.8,0.28,0.8,0.03,123,306,40.2,774,110,30.9,31.5,0,0,0,296,12,4.1,39,1.34,17.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
72,Karl Jakob Hein,EST,GK,Valladolid,La Liga,22,2002,31.0,68,4,1,4,1,58.8,0.35,-8.2,-0.27,165,452,36.5,941,136,32.6,33.9,0,0,0,474,34,7.2,34,1.1,14.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
73,Vitezslav Jaros,CZE,GK,Liverpool,Premier League,23,2001,0.1,0,0,0,0,0,0.0,0.03,0.0,0.25,5,7,71.4,7,2,85.7,50.9,0,0,0,2,0,0.0,0,0.0,11.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
74,Karl-Johan Johnsson,SWE,GK,Strasbourg,Ligue 1,34,1990,3.0,6,1,0,0,0,6.7,0.26,0.7,0.22,6,22,27.3,122,21,15.6,23.9,0,0,0,48,2,4.2,3,1.0,11.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
75,Sam Johnstone,ENG,GK,Wolves,Premier League,31,1993,7.0,17,2,0,5,1,13.0,0.29,-3.0,-0.43,52,129,40.3,252,28,45.6,36.6,0,0,0,104,8,7.7,11,1.57,13.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
76,Jesse Joronen,FIN,GK,Venezia,Serie A,31,1993,7.8,15,3,0,3,2,12.6,0.26,-0.4,-0.05,20,84,23.8,260,46,28.1,31.0,0,0,0,125,6,4.8,5,0.64,9.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
77,Luiz Lúcio Reis Júnior,BRA,GK,Villarreal,La Liga,23,2001,16.2,18,4,1,0,0,18.1,0.23,0.1,0.0,61,178,34.3,392,96,31.9,31.6,0,0,0,256,16,6.3,20,1.23,12.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
78,Filip Jørgensen,DEN,GK,Chelsea,Premier League,22,2002,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,0,0,0,53,2,3.8,2,0.33,13.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
79,Caoimhín Kelleher,IRL,GK,Liverpool,Premier League,25,1998,10.0,12,0,0,1,0,11.6,0.3,-0.4,-0.04,29,115,25.2,364,49,28.6,29.0,0,0,0,113,6,5.3,9,0.9,14.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
80,Tom King,WAL,GK,Wolves,Premier League,29,1995,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0.0,1,1,0.0,14.0,0,0,0,1,0,0.0,0,0.0,0.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
81,Antonín Kinský,CZE,GK,Tottenham,Premier League,21,2003,6.0,11,0,0,1,2,10.5,0.33,1.5,0.25,17,58,29.3,186,37,26.9,30.7,0,0,0,112,10,8.9,9,1.5,12.1,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
82,Gregor Kobel,SUI,GK,Dortmund,Bundesliga,26,1997,32.0,47,4,0,5,1,47.4,0.35,1.4,0.04,112,336,33.3,1117,126,23.7,28.6,0,0,0,420,22,5.2,47,1.47,15.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
83,Hervé Koffi,BFA,GK,Lens,Ligue 1,27,1996,5.0,8,2,0,1,0,11.1,0.38,3.1,0.61,14,42,33.3,115,22,29.6,33.2,0,0,0,53,4,7.5,2,0.4,9.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
84,Philipp Köhn,SUI,GK,Monaco,Ligue 1,26,1998,19.0,19,1,0,2,0,17.2,0.26,-1.8,-0.1,50,157,31.8,447,70,25.7,29.9,0,0,0,225,16,7.1,20,1.05,14.8,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
85,Matej Kovar,CZE,GK,Leverkusen,Bundesliga,24,2000,5.0,5,0,0,0,1,3.5,0.22,-0.5,-0.09,12,32,37.5,131,16,21.4,27.9,0,0,0,52,2,3.8,6,1.2,16.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
86,Vladyslav Krapyvtsov,UKR,GK,Girona,La Liga,19,2005,2.0,7,1,0,2,0,6.3,0.31,-0.7,-0.37,10,21,47.6,63,13,31.7,35.6,0,0,0,27,1,3.7,1,0.5,12.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
87,Nediljko Labrović,CRO,GK,Augsburg,Bundesliga,24,1999,15.0,32,3,1,2,0,25.9,0.32,-6.1,-0.4,83,220,37.7,397,72,38.8,35.2,0,0,0,217,12,5.5,18,1.2,13.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
88,Alban Lafont,CIV,GK,Nantes,Ligue 1,25,1999,12.0,19,3,0,2,2,16.8,0.3,-0.2,-0.02,40,143,28.0,309,56,34.0,34.9,0,0,0,200,16,8.0,6,0.5,10.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
89,Gautier Larsonneur,FRA,GK,Saint-Étienne,Ligue 1,27,1997,34.0,77,13,0,4,2,73.5,0.3,-1.5,-0.04,131,486,27.0,978,145,38.8,34.7,0,0,0,510,24,4.7,33,1.0,14.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
90,Nicola Leali,ITA,GK,Genoa,Serie A,31,1993,29.0,31,3,0,4,3,34.3,0.29,6.3,0.22,150,391,38.4,722,112,39.3,33.9,0,0,0,390,21,5.4,14,0.48,11.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
91,Benjamin Lecomte,FRA,GK,Montpellier,Ligue 1,33,1991,30.0,68,6,0,5,3,57.3,0.31,-5.7,-0.2,177,449,39.4,814,115,42.5,36.2,0,0,0,408,20,4.9,26,0.9,14.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
92,Bernd Leno,GER,GK,Fulham,Premier League,32,1992,38.0,54,3,0,6,2,48.9,0.29,-3.1,-0.08,141,367,38.4,1231,167,22.7,28.9,0,0,0,507,23,4.5,33,0.87,13.3,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
93,Donovan Léon,GUF,GK,Auxerre,Ligue 1,31,1992,32.0,48,5,0,7,3,55.8,0.32,10.8,0.34,213,649,32.8,935,173,53.0,42.0,0,0,0,518,28,5.4,39,1.22,14.6,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
94,Anthony Lopes,POR,GK,Nantes,Ligue 1,33,1990,17.4,26,4,0,1,1,25.6,0.32,0.6,0.03,89,257,34.6,451,56,40.4,35.8,0,0,0,308,16,5.2,8,0.46,11.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
