rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
1,Adrián,ESP,GK,Betis,La Liga,37,1987,19.0,27,1,2,5,0,26.0,0.33,-1.0,-0.05,58,178,32.6,507,91,28.0,31.2,0,0,0,257,14,5.4,16,0.84,11.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
2,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23,2000,13.4,9,1,2,1,0,10.5,0.27,1.5,0.11,57,178,32.0,341,51,37.5,33.9,0,0,0,143,20,14.0,17,1.27,14.2,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
3,Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23,2000,1.0,2,0,0,0,0,2.4,0.48,0.4,0.41,7,28,25.0,37,5,59.5,44.7,0,0,0,15,0,0.0,0,0.0,0.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
4,Alisson,BRA,GK,Liverpool,Premier League,31,1992,27.9,29,1,0,2,2,30.5,0.3,3.5,0.13,68,203,33.5,877,128,19.7,26.6,0,0,0,255,11,4.3,49,1.76,16.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
5,Alphonse Areola,FRA,GK,West Ham,Premier League,31,1993,25.1,41,0,0,5,3,35.4,0.31,-2.6,-0.1,135,384,35.2,788,119,34.4,32.1,0,0,0,394,15,3.8,30,1.19,15.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
6,Kepa Arrizabalaga,ESP,GK,Bournemouth,Premier League,29,1994,31.0,39,4,0,4,0,41.0,0.28,2.0,0.07,132,365,36.2,831,122,33.2,32.9,0,0,0,367,22,6.0,54,1.74,16.0,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
7,Noah Atubolu,GER,GK,Freiburg,Bundesliga,22,2002,25.6,37,0,1,3,0,37.0,0.3,0.0,0.0,159,414,38.4,1012,110,32.4,33.1,0,0,0,377,34,9.0,28,1.09,12.7,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
8,Emil Audero,IDN,GK,Como,Serie A,27,1997,8.0,18,4,0,2,0,12.4,0.27,-5.6,-0.7,17,55,30.9,232,30,22.0,28.6,0,0,0,95,5,5.3,8,1.0,12.9,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
9,Brandon Austin,ENG,GK,Tottenham,Premier League,25,1999,1.0,2,0,0,0,0,2.2,0.55,0.2,0.2,3,11,27.3,26,5,38.5,32.3,0,0,0,15,5,33.3,2,2.0,12.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
10,Augusto Batalla,ARG,GK,Rayo Vallecano,La Liga,28,1996,32.0,39,6,0,6,1,40.0,0.25,2.0,0.06,177,534,33.1,989,129,42.3,38.2,0,0,0,453,35,7.7,38,1.19,14.4,2024-2025,stats_keeper_adv,2025-10-18 04:36:50.322626
