rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
218,Fodé Ballo-Touré,SEN,"DF,MF",Le Havre,Ligue 1,27.0,1997.0,6.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
219,Botond Balogh,HUN,DF,Parma,Serie A,22.0,2002.0,22.8,0,0,0,0.0,0.13,0.0,0.0,0.0,5.3,0,0,0,0.4,0.4,0.14,-0.4,-0.4,3,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
220,Folarin Balogun,USA,FW,Monaco,Ligue 1,23.0,2001.0,6.8,4,0,10,32.3,4.54,1.46,0.13,0.4,13.3,0,0,0,4.8,4.8,0.15,-0.8,-0.8,31,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
221,Mario Balotelli,ITA,"FW,MF",Genoa,Serie A,33.0,1990.0,0.7,0,0,0,0.0,2.9,0.0,0.0,0.0,30.5,0,0,0,0.0,0.0,0.02,0.0,0.0,2,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
222,Abdoulaye Bamba,CIV,DF,Angers,Ligue 1,34.0,1990.0,16.8,0,0,0,0.0,0.06,0.0,0.0,0.0,7.2,0,0,0,0.1,0.1,0.09,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
223,Jonathan Bamba,CIV,"FW,MF",Celta Vigo,La Liga,28.0,1996.0,9.0,0,0,6,46.2,1.44,0.67,0.0,0.0,18.4,0,0,0,0.8,0.8,0.06,-0.8,-0.8,13,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
224,Mohamed Bamba,CIV,MF,Reims,Ligue 1,19.0,2004.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
225,Samuel Bamba,GER,"FW,MF",Bochum,Bundesliga,20.0,2004.0,0.3,0,0,1,50.0,6.67,3.33,0.0,0.0,22.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,2,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
226,Lameck Banda,ZAM,"FW,MF",Lecce,Serie A,23.0,2001.0,6.8,0,0,4,23.5,2.51,0.59,0.0,0.0,19.7,0,0,0,1.2,1.2,0.07,-1.2,-1.2,17,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
227,Daniel Bandeira,POR,MF,Hellas Verona,Serie A,24.0,2000.0,4.5,0,0,1,50.0,0.44,0.22,0.0,0.0,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
228,Mattia Bani,ITA,DF,Genoa,Serie A,30.0,1993.0,16.7,0,0,3,37.5,0.48,0.18,0.0,0.0,9.2,0,0,0,1.2,1.2,0.15,-1.2,-1.2,8,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
229,Noahkai Banks,USA,DF,Augsburg,Bundesliga,17.0,2006.0,3.1,0,0,0,0.0,0.32,0.0,0.0,0.0,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
