rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals,shots,shots_on_target,shots_on_target_pct,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,avg_distance,free_kicks,penalty_goals,penalty_attempts,expected_goals,non_penalty_xg,npxg_per_shot,goals_minus_xg,non_penalty_goals_minus_xg,shot_creating_actions_shot,passes_free_kick,season,table_type,processed_at
651,Maat Daniel Caprini,ITA,FW,Fiorentina,Serie A,18.0,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
652,Flavius Daniliuc,AUT,DF,Hellas Verona,Serie A,23.0,2001.0,11.2,0,0,1,33.3,0.27,0.09,0.0,0.0,18.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,3,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
653,Danilo,BRA,"MF,FW",Nott'ham Forest,Premier League,23.0,2001.0,3.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
654,Danilo,BRA,DF,Juventus,Serie A,33.0,1991.0,6.5,0,0,0,0.0,0.15,0.0,0.0,0.0,8.2,0,0,0,0.1,0.1,0.1,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
655,Arnaut Danjuma,NED,FW,Villarreal,La Liga,27.0,1997.0,2.2,2,0,3,50.0,2.7,1.35,0.33,0.67,13.9,0,0,0,0.8,0.8,0.14,1.2,1.2,6,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
656,Arnaut Danjuma,NED,"FW,MF",Girona,La Liga,27.0,1997.0,14.8,2,0,14,46.7,2.02,0.94,0.07,0.14,16.0,0,0,0,3.6,3.6,0.12,-1.6,-1.6,30,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
657,Jayden Danns,ENG,MF,Liverpool,Premier League,18.0,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
658,Kévin Danois,FRA,MF,Auxerre,Ligue 1,20.0,2004.0,16.2,0,0,3,17.6,1.05,0.18,0.0,0.0,17.4,0,0,0,1.5,1.5,0.09,-1.5,-1.5,17,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
659,Kevin Danso,AUT,DF,Tottenham,Premier League,25.0,1998.0,9.4,0,0,3,42.9,0.75,0.32,0.0,0.0,16.9,0,0,0,0.4,0.4,0.06,-0.4,-0.4,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
660,Kevin Danso,AUT,DF,Lens,Ligue 1,25.0,1998.0,12.0,0,0,2,20.0,0.83,0.17,0.0,0.0,13.4,0,0,0,0.5,0.5,0.05,-0.5,-0.5,10,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
661,Dante,BRA,DF,Nice,Ligue 1,40.0,1983.0,21.8,0,0,2,22.2,0.41,0.09,0.0,0.0,11.9,0,0,0,0.5,0.5,0.05,-0.5,-0.5,9,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
662,Pape Daouda Diongue,SEN,"MF,FW",Strasbourg,Ligue 1,0.0,0.0,0.9,1,0,2,40.0,5.77,2.31,0.2,0.5,11.5,0,0,0,1.0,1.0,0.2,0.0,0.0,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
663,Mohamed Daramy,DEN,FW,Reims,Ligue 1,22.0,2002.0,0.2,0,0,0,0.0,5.63,0.0,0.0,0.0,16.7,0,0,0,0.0,0.0,0.03,0.0,0.0,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
664,Bence Dárdai,HUN,MF,Wolfsburg,Bundesliga,18.0,2006.0,14.5,1,0,1,9.1,0.76,0.07,0.09,1.0,14.8,0,0,0,1.0,1.0,0.1,0.0,0.0,11,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
665,Sergi Darder,ESP,"MF,FW",Mallorca,La Liga,30.0,1993.0,30.5,2,0,9,25.0,1.18,0.3,0.06,0.22,24.2,0,0,0,2.1,2.1,0.06,-0.1,-0.1,36,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
666,Matteo Darmian,ITA,DF,Inter,Serie A,34.0,1989.0,19.8,3,0,3,27.3,0.56,0.15,0.27,1.0,14.4,0,0,0,1.9,1.9,0.18,1.1,1.1,11,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
667,Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,25.0,1998.0,4.6,1,0,4,50.0,1.75,0.87,0.13,0.25,15.8,0,0,1,2.7,1.9,0.24,-1.7,-0.9,8,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
668,Juan David Cabal,COL,DF,Juventus,Serie A,23.0,2001.0,5.1,0,0,0,0.0,0.98,0.0,0.0,0.0,21.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
669,Jonathan David,CAN,FW,Lille,Ligue 1,24.0,2000.0,28.4,16,0,28,42.4,2.33,0.99,0.15,0.36,15.3,0,6,7,16.2,10.7,0.16,-0.2,-0.7,66,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
670,Alphonso Davies,CAN,DF,Bayern Munich,Bundesliga,23.0,2000.0,17.3,1,0,3,17.6,0.98,0.17,0.06,0.33,18.3,0,0,0,1.2,1.2,0.07,-0.2,-0.2,17,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
671,Ben Davies,WAL,DF,Tottenham,Premier League,31.0,1993.0,14.8,0,0,1,20.0,0.34,0.07,0.0,0.0,17.0,0,0,0,0.3,0.3,0.06,-0.3,-0.3,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
672,Keinan Davis,ENG,FW,Udinese,Serie A,26.0,1998.0,11.8,2,0,11,37.9,2.45,0.93,0.07,0.18,12.7,0,0,0,2.9,2.9,0.1,-0.9,-0.9,29,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
673,Leif Davis,ENG,DF,Ipswich Town,Premier League,24.0,2000.0,30.5,1,0,2,12.5,0.52,0.07,0.06,0.5,19.8,0,0,0,1.0,1.0,0.06,0.0,0.0,16,2,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
674,Zuriko Davitashvili,GEO,"FW,MF",Saint-Étienne,Ligue 1,23.0,2001.0,30.9,9,0,24,35.3,2.2,0.78,0.1,0.29,19.4,0,2,2,8.1,6.6,0.1,0.9,0.4,68,5,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
675,Paweł Dawidowicz,POL,"DF,MF",Hellas Verona,Serie A,29.0,1995.0,20.5,0,0,0,0.0,0.2,0.0,0.0,0.0,14.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,4,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
676,Craig Dawson,ENG,DF,Wolves,Premier League,34.0,1990.0,10.8,0,0,1,20.0,0.46,0.09,0.0,0.0,8.5,0,0,0,0.5,0.5,0.1,-0.5,-0.5,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
677,Kevin De Bruyne,BEL,"MF,FW",Manchester City,Premier League,33.0,1991.0,18.9,4,0,15,26.3,3.01,0.79,0.07,0.27,21.4,0,0,0,5.1,5.1,0.09,-1.1,-1.1,57,8,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
678,Bobby De Cordova-Reid,JAM,FW,Leicester City,Premier League,31.0,1993.0,8.3,1,0,3,42.9,0.85,0.36,0.14,0.33,25.1,0,0,0,0.8,0.8,0.11,0.2,0.2,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
679,Charles De Ketelaere,BEL,"MF,FW",Atalanta,Serie A,23.0,2001.0,23.0,7,0,20,41.7,2.09,0.87,0.15,0.35,12.2,0,0,0,7.3,7.3,0.15,-0.3,-0.3,48,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
680,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,30.0,1994.0,23.4,3,0,4,21.1,0.81,0.17,0.16,0.75,24.3,0,0,0,1.3,1.3,0.07,1.7,1.7,19,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
681,Théo De Percin,MTQ,GK,Auxerre,Ligue 1,23.0,2001.0,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
682,Mattia De Sciglio,ITA,DF,Empoli,Serie A,31.0,1992.0,8.5,1,0,3,60.0,0.59,0.35,0.2,0.33,16.9,0,0,0,0.6,0.6,0.12,0.4,0.4,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
683,Lorenzo De Silvestri,ITA,DF,Bologna,Serie A,36.0,1988.0,11.8,1,0,4,44.4,0.76,0.34,0.11,0.25,12.2,0,0,0,0.8,0.8,0.09,0.2,0.2,9,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
684,Thibault De Smet,BEL,DF,Reims,Ligue 1,26.0,1998.0,2.1,0,0,0,0.0,0.47,0.0,0.0,0.0,12.3,0,0,0,0.1,0.1,0.14,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
685,Koni De Winter,BEL,DF,Genoa,Serie A,22.0,2002.0,23.7,3,0,7,53.8,0.55,0.3,0.23,0.43,8.8,0,0,0,2.1,2.1,0.16,0.9,0.9,13,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
686,Amar Dedić,BIH,DF,Marseille,Ligue 1,21.0,2002.0,3.5,0,0,2,33.3,1.72,0.57,0.0,0.0,18.3,0,0,0,0.9,0.9,0.15,-0.9,-0.9,6,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
687,Alessandro Deiola,ITA,MF,Cagliari,Serie A,28.0,1995.0,15.9,2,0,5,27.8,1.13,0.31,0.11,0.4,18.1,0,0,0,1.7,1.7,0.1,0.3,0.3,18,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
688,Romain Del Castillo,FRA,FW,Brest,Ligue 1,28.0,1996.0,14.0,6,0,8,47.1,1.22,0.57,0.18,0.38,19.7,0,3,4,4.7,1.5,0.09,1.3,1.5,17,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
689,Enrico Del Prato,ITA,DF,Parma,Serie A,24.0,1999.0,32.7,4,0,5,41.7,0.37,0.15,0.33,0.8,12.0,0,0,0,2.0,2.0,0.17,2.0,2.0,12,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
690,Thomas Delaine,FRA,DF,Strasbourg,Ligue 1,32.0,1992.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
691,Liam Delap,ENG,FW,Ipswich Town,Premier League,21.0,2003.0,28.8,12,0,29,43.9,2.29,1.01,0.15,0.34,16.0,0,2,2,9.3,7.8,0.12,2.7,2.2,66,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
692,Fisayo Dele-Bashiru,NGA,"MF,FW",Lazio,Serie A,23.0,2001.0,10.5,3,0,5,31.3,1.52,0.48,0.19,0.6,20.9,0,0,0,1.1,1.1,0.07,1.9,1.9,16,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
693,Andy Delort,ALG,FW,Montpellier,Ligue 1,32.0,1991.0,6.7,0,0,6,35.3,2.52,0.89,0.0,0.0,15.7,0,0,0,1.3,1.3,0.08,-1.3,-1.3,17,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
694,Olivier Deman,BEL,DF,Werder Bremen,Bundesliga,24.0,2000.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
695,Ali Dembélé,FRA,DF,Torino,Serie A,20.0,2004.0,4.3,1,0,2,40.0,1.16,0.46,0.2,0.5,13.3,0,0,0,0.4,0.4,0.07,0.6,0.6,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
696,Ousmane Dembélé,FRA,FW,Paris S-G,Ligue 1,27.0,1997.0,19.2,21,0,49,51.0,4.99,2.55,0.21,0.41,16.0,0,1,1,16.6,15.8,0.16,4.4,4.2,96,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
697,Ermedin Demirović,BIH,FW,Stuttgart,Bundesliga,26.0,1998.0,20.6,15,0,27,42.2,3.11,1.31,0.23,0.56,11.3,0,0,2,14.1,12.4,0.19,0.9,2.6,64,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
698,Sepp van den Berg,NED,DF,Brentford,Premier League,22.0,2001.0,28.7,0,0,6,30.0,0.7,0.21,0.0,0.0,10.5,0,0,0,2.0,2.0,0.1,-2.0,-2.0,20,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
699,Rémy Descamps,FRA,GK,Lyon,Ligue 1,28.0,1996.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
700,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,30.0,1994.0,18.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
701,Justin Devenny,NIR,MF,Crystal Palace,Premier League,20.0,2003.0,5.6,1,0,6,60.0,1.78,1.07,0.1,0.17,21.1,0,0,0,0.8,0.8,0.08,0.2,0.2,10,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
702,Kiernan Dewsbury-Hall,ENG,"MF,FW",Chelsea,Premier League,25.0,1998.0,2.9,0,0,0,0.0,0.34,0.0,0.0,0.0,7.8,0,0,0,0.2,0.2,0.22,-0.2,-0.2,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
703,Michele Di Gregorio,ITA,GK,Juventus,Serie A,27.0,1997.0,33.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
704,Giovanni Di Lorenzo,ITA,DF,Napoli,Serie A,30.0,1993.0,37.0,3,0,6,28.6,0.57,0.16,0.14,0.5,11.4,0,0,0,2.8,2.8,0.15,0.2,0.2,21,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
705,Boulaye Dia,SEN,"MF,FW",Lazio,Serie A,27.0,1996.0,24.2,9,0,19,48.7,1.61,0.79,0.23,0.47,13.3,0,0,0,7.1,7.1,0.18,1.9,1.9,39,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
706,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,27.0,1996.0,7.3,2,0,4,36.4,1.52,0.55,0.18,0.5,9.0,0,0,0,1.5,1.5,0.13,0.5,0.5,11,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
707,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,18.0,2005.0,9.5,2,0,8,44.4,1.89,0.84,0.11,0.25,19.2,0,0,0,1.0,1.0,0.06,1.0,1.0,18,2,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
708,Bafodé Diakité,FRA,DF,Lille,Ligue 1,23.0,2001.0,30.7,4,0,7,43.8,0.52,0.23,0.25,0.57,8.3,0,0,0,2.3,2.3,0.15,1.7,1.7,16,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
709,Oumar Diakité,CIV,FW,Reims,Ligue 1,20.0,2003.0,18.1,4,0,9,34.6,1.44,0.5,0.15,0.44,12.1,0,0,1,5.5,4.7,0.18,-1.5,-0.7,26,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
710,Amad Diallo,CIV,"MF,FW",Manchester Utd,Premier League,22.0,2002.0,21.1,8,0,17,36.2,2.23,0.8,0.17,0.47,17.5,0,0,0,4.7,4.7,0.1,3.3,3.3,47,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
711,Assane Diao,SEN,"FW,MF",Como,Serie A,18.0,2005.0,13.9,8,0,13,46.4,2.01,0.93,0.29,0.62,15.5,0,0,0,4.0,4.0,0.14,4.0,4.0,28,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
712,Assane Diao,SEN,FW,Betis,La Liga,18.0,2005.0,3.1,1,0,1,14.3,2.27,0.32,0.14,1.0,14.4,0,0,0,0.8,0.8,0.11,0.2,0.2,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
713,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,20.0,2004.0,26.1,4,0,10,40.0,0.96,0.38,0.08,0.2,20.2,0,2,2,3.3,1.8,0.07,0.7,0.2,25,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
714,Moussa Diarra,MLI,DF,Alavés,La Liga,23.0,2000.0,20.7,0,0,0,0.0,0.05,0.0,0.0,0.0,25.8,0,0,0,0.0,0.0,0.03,0.0,0.0,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
715,Rúben Dias,POR,DF,Manchester City,Premier League,27.0,1997.0,25.2,0,0,7,33.3,0.83,0.28,0.0,0.0,19.4,0,0,0,1.5,1.5,0.07,-1.5,-1.5,21,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
716,Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,25.0,1999.0,5.6,0,0,1,50.0,0.35,0.18,0.0,0.0,13.1,0,0,0,0.2,0.2,0.08,-0.2,-0.2,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
717,Kandet Diawara,GUI,FW,Le Havre,Ligue 1,24.0,2000.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
718,Mahamadou Diawara,FRA,MF,Le Havre,Ligue 1,19.0,2005.0,6.5,0,0,1,14.3,1.08,0.15,0.0,0.0,20.4,0,0,0,0.4,0.4,0.06,-0.4,-0.4,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
719,Mahamadou Diawara,FRA,MF,Lyon,Ligue 1,19.0,2005.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
720,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,24.0,1999.0,15.4,4,0,15,53.6,1.82,0.97,0.14,0.27,12.6,0,0,0,5.3,5.3,0.19,-1.3,-1.3,28,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
721,Daniel Díaz,ESP,MF,Real Sociedad,La Liga,18.0,2006.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
722,Luis Díaz,COL,FW,Liverpool,Premier League,27.0,1997.0,26.7,13,0,30,42.3,2.66,1.13,0.18,0.43,13.4,0,0,0,12.0,12.0,0.17,1.0,1.0,71,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
723,Pedro Díaz,ESP,MF,Rayo Vallecano,La Liga,26.0,1998.0,13.5,3,0,7,22.6,2.3,0.52,0.1,0.43,24.6,0,0,1,2.4,1.6,0.05,0.6,1.4,31,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
724,Tyler Dibling,ENG,"FW,MF",Southampton,Premier League,18.0,2006.0,20.8,2,0,9,32.1,1.34,0.43,0.07,0.22,19.3,0,0,0,2.5,2.5,0.09,-0.5,-0.5,28,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
725,Diego,ESP,FW,Leganés,La Liga,24.0,2000.0,13.3,3,0,9,31.0,2.18,0.68,0.1,0.33,14.1,0,0,0,3.8,3.8,0.13,-0.8,-0.8,29,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
726,Justin Diehl,GER,"FW,DF",Stuttgart,Bundesliga,19.0,2004.0,1.2,1,0,1,14.3,6.06,0.87,0.14,1.0,15.8,0,0,0,1.0,1.0,0.14,0.0,0.0,7,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
727,Bamba Dieng,SEN,FW,Angers,Ligue 1,24.0,2000.0,5.9,3,0,6,46.2,2.2,1.02,0.15,0.33,18.5,0,1,1,3.1,2.3,0.18,-0.1,-0.3,13,2,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
728,Eric Dier,ENG,DF,Bayern Munich,Bundesliga,30.0,1994.0,16.3,2,0,5,55.6,0.55,0.31,0.22,0.4,6.3,0,0,0,1.1,1.1,0.12,0.9,0.9,9,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
729,Lucas Digne,FRA,DF,Aston Villa,Premier League,31.0,1993.0,26.1,0,0,3,23.1,0.5,0.11,0.0,0.0,22.7,0,0,0,0.8,0.8,0.06,-0.8,-0.8,13,5,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
730,Kembo Diliwidi,FRA,DF,Lens,Ligue 1,18.0,2006.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
731,Federico Dimarco,ITA,"DF,FW",Inter,Serie A,26.0,1997.0,24.2,4,0,21,37.5,2.32,0.87,0.07,0.19,20.1,0,0,0,3.3,3.3,0.06,0.7,0.7,56,8,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
732,Stole Dimitrievski,MKD,GK,Valencia,La Liga,30.0,1993.0,4.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
733,Junior Dina Ebimbe,FRA,"MF,FW",Eint Frankfurt,Bundesliga,23.0,2000.0,3.3,0,0,0,0.0,2.46,0.0,0.0,0.0,16.5,0,0,0,0.9,0.9,0.11,-0.9,-0.9,8,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
734,Eren Dinkçi,GER,"MF,FW",Freiburg,Bundesliga,22.0,2001.0,13.3,0,0,3,21.4,1.05,0.23,0.0,0.0,19.0,0,0,0,1.1,1.1,0.08,-1.1,-1.1,14,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
735,Sinaly Diomande,CIV,DF,Auxerre,Ligue 1,23.0,2001.0,21.6,3,0,4,44.4,0.42,0.19,0.33,0.75,15.0,0,0,0,1.1,1.1,0.13,1.9,1.9,9,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
736,Yan Diomandé,CIV,"MF,FW",Leganés,La Liga,17.0,2006.0,6.1,2,0,3,27.3,1.82,0.5,0.18,0.67,17.3,0,0,0,1.4,1.4,0.13,0.6,0.6,11,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
737,Lois Diony,FRA,FW,Angers,Ligue 1,31.0,1992.0,0.2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
738,Issa Diop,FRA,DF,Fulham,Premier League,27.0,1997.0,14.9,0,0,2,40.0,0.34,0.13,0.0,0.0,10.7,0,0,0,0.5,0.5,0.11,-0.5,-0.5,5,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
739,Sérigné Diop,SEN,FW,Brest,Ligue 1,19.0,2005.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
740,Sofiane Diop,FRA,"MF,FW",Nice,Ligue 1,24.0,2000.0,11.8,6,0,11,50.0,1.86,0.93,0.27,0.55,16.4,0,0,0,6.0,6.0,0.27,0.0,0.0,22,3,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
741,Andy Diouf,FRA,MF,Lens,Ligue 1,21.0,2003.0,24.7,1,0,5,12.5,1.62,0.2,0.03,0.2,20.0,0,0,0,2.9,2.9,0.07,-1.9,-1.9,40,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
742,Yehvann Diouf,SEN,GK,Reims,Ligue 1,24.0,1999.0,34.0,0,0,1,100.0,0.03,0.03,0.0,0.0,11.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,1,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
743,Assane Dioussé,SEN,MF,Auxerre,Ligue 1,26.0,1997.0,7.4,0,0,2,66.7,0.41,0.27,0.0,0.0,27.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,3,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
744,Axel Disasi,FRA,DF,Aston Villa,Premier League,26.0,1998.0,5.4,0,0,0,0.0,0.37,0.0,0.0,0.0,19.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
745,Axel Disasi,FRA,DF,Chelsea,Premier League,26.0,1998.0,4.0,1,0,1,50.0,0.49,0.25,0.5,1.0,12.3,0,0,0,0.3,0.3,0.14,0.7,0.7,2,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
746,Roman Dixon,ENG,DF,Everton,Premier League,19.0,2004.0,1.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
747,Álvaro djaló,GNB,FW,Athletic Club,La Liga,24.0,1999.0,7.3,1,0,3,20.0,2.05,0.41,0.07,0.33,18.5,0,0,0,0.8,0.8,0.06,0.2,0.2,15,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
748,Djené,TOG,"DF,MF",Getafe,La Liga,32.0,1991.0,28.3,0,0,0,0.0,0.21,0.0,0.0,0.0,17.6,0,0,0,0.3,0.3,0.05,-0.3,-0.3,6,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
749,Nasser Djiga,BFA,DF,Wolves,Premier League,21.0,2002.0,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
750,Berat Djimsiti,ALB,DF,Atalanta,Serie A,31.0,1993.0,29.3,1,0,4,20.0,0.68,0.14,0.05,0.25,9.7,0,0,0,2.7,2.7,0.13,-1.7,-1.7,20,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
751,Marko Dmitrović,SRB,GK,Leganés,La Liga,32.0,1992.0,32.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
752,Ritsu Doan,JPN,"FW,MF",Freiburg,Bundesliga,26.0,1998.0,31.8,10,0,21,34.4,1.92,0.66,0.16,0.48,16.7,0,0,0,6.6,6.6,0.12,3.4,3.4,61,1,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
753,Dodô,BRA,DF,Fiorentina,Serie A,25.0,1998.0,34.6,0,0,5,18.5,0.78,0.14,0.0,0.0,17.9,0,0,0,1.4,1.4,0.05,-1.4,-1.4,27,0,2024-2025,stats_shooting,2025-10-18 04:36:52.574464
