rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,24.0,2000.0,1.0,0,0,0,0,0,0,0,1,2,0,0,0,7,0,0,0.0,2,0,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
2,Max Aarons,ENG,"DF,MF",Valencia,La Liga,24.0,2000.0,1.3,2,0,0,0,0,0,0,0,4,0,0,0,7,2,1,66.7,2,0,5,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
3,Rodrigo Abajas,ESP,DF,Valencia,La Liga,21.0,2003.0,0.7,1,0,0,2,0,0,0,1,2,0,0,0,2,0,1,0.0,0,1,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
4,James Abankwah,IRL,"DF,MF",Udinese,Serie A,20.0,2004.0,1.0,1,0,0,4,0,0,0,1,2,0,0,0,7,2,2,50.0,3,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
5,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,18.0,2006.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
6,Yunis Abdelhamid,MAR,DF,Saint-Étienne,Ligue 1,36.0,1987.0,11.5,2,0,0,16,0,0,0,14,11,0,0,0,42,19,10,65.5,6,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
7,Himad Abdelli,ALG,"MF,FW",Angers,Ligue 1,24.0,1999.0,31.6,4,0,0,48,0,0,0,26,32,0,0,0,193,13,20,39.4,32,3,44,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
8,Mohamed Abdelmoneim,EGY,DF,Nice,Ligue 1,25.0,1999.0,9.5,2,0,0,9,0,0,0,15,14,0,0,0,50,31,19,62.0,10,0,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
9,Ali Abdi,TUN,"DF,MF",Nice,Ligue 1,30.0,1993.0,15.5,2,0,0,27,0,0,0,20,25,0,0,0,72,22,14,61.1,14,5,51,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
10,Saud Abdulhamid,KSA,DF,Roma,Serie A,25.0,1999.0,2.3,0,0,0,2,0,0,0,2,2,0,1,0,3,0,1,0.0,5,0,7,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
11,Nabil Aberdin,FRA,MF,Getafe,La Liga,21.0,2002.0,2.9,1,0,0,7,0,0,0,0,4,0,0,0,8,10,3,76.9,6,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
12,Oliver Abildgaard,DEN,MF,Como,Serie A,28.0,1996.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
13,Matthis Abline,FRA,FW,Nantes,Ligue 1,21.0,2003.0,30.8,3,0,0,34,0,0,0,4,5,0,0,0,83,64,76,45.7,53,5,30,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
14,Abner,BRA,DF,Lyon,Ligue 1,24.0,2000.0,12.1,1,0,0,16,0,0,0,5,20,0,0,0,45,7,9,43.8,4,0,31,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
15,Zakaria Aboukhlal,MAR,"MF,FW",Toulouse,Ligue 1,24.0,2000.0,21.1,4,0,0,35,0,0,0,6,13,2,0,0,61,22,38,36.7,25,13,33,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
16,Abdel Abqar,MAR,DF,Alavés,La Liga,25.0,1999.0,27.4,13,0,0,47,0,0,0,39,23,1,2,0,87,40,35,53.3,31,2,5,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
17,Tammy Abraham,ENG,FW,Roma,Serie A,26.0,1997.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
18,Tammy Abraham,ENG,FW,Milan,Serie A,26.0,1997.0,13.1,1,0,0,23,0,0,0,2,11,1,0,0,12,36,33,52.2,12,7,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
19,Federico Accornero,ITA,MF,Genoa,Serie A,20.0,2004.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,0,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
20,Francesco Acerbi,ITA,DF,Inter,Serie A,36.0,1988.0,19.0,0,0,0,11,0,0,0,26,19,0,0,0,62,61,30,67.0,18,2,10,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
21,Joshua Acheampong,ENG,DF,Chelsea,Premier League,18.0,2006.0,1.9,1,0,0,0,0,0,0,1,1,0,0,0,7,1,6,14.3,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
22,Akor Adams,NGA,FW,Sevilla,La Liga,24.0,2000.0,1.5,0,0,0,1,0,0,0,0,0,0,0,0,4,6,10,37.5,0,1,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
23,Akor Adams,NGA,FW,Montpellier,Ligue 1,24.0,2000.0,11.9,2,0,0,17,0,0,0,1,3,2,0,0,24,28,27,50.9,8,16,5,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
24,Che Adams,SCO,FW,Torino,Serie A,28.0,1996.0,29.5,2,0,0,29,0,0,0,2,6,0,0,0,50,36,62,36.7,40,23,10,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
25,Tyler Adams,USA,MF,Bournemouth,Premier League,25.0,1999.0,21.8,7,0,0,45,0,0,0,32,50,0,1,0,114,31,18,63.3,21,0,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
26,Junior Adamu,AUT,FW,Freiburg,Bundesliga,23.0,2001.0,17.2,5,1,0,38,0,0,0,12,3,0,0,0,52,53,108,32.9,22,17,5,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
27,Tosin Adarabioyo,ENG,DF,Chelsea,Premier League,26.0,1997.0,15.7,4,0,0,8,0,0,0,11,13,0,0,0,41,42,28,60.0,9,1,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
28,Martin Adeline,FRA,MF,Reims,Ligue 1,20.0,2003.0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
29,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,22.0,2002.0,15.9,4,0,0,27,0,0,0,7,14,0,0,0,48,9,13,40.9,18,4,26,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
30,Simon Adingra,CIV,"FW,MF",Brighton,Premier League,22.0,2002.0,12.2,0,0,0,13,0,0,0,8,14,0,0,0,47,7,4,63.6,4,4,41,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
31,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,24.0,2000.0,8.5,3,0,0,15,0,0,0,0,9,2,0,0,30,21,26,44.7,9,7,33,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
32,Yacine Adli,FRA,MF,Fiorentina,Serie A,24.0,2000.0,13.7,3,1,1,9,0,0,0,6,19,0,0,0,77,5,16,23.8,20,0,63,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
33,Adrián,ESP,GK,Betis,La Liga,37.0,1987.0,19.0,3,0,0,0,0,0,0,0,0,0,0,0,20,2,1,66.7,4,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
34,Adryelson,BRA,DF,Lyon,Ligue 1,26.0,1998.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
