rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,yellow_cards,red_cards,second_yellow,fouls,fouled,offsides,crosses,interceptions,tackles_won,penalties_won,penalties_conceded,own_goals,ball_recoveries,aerials_won,aerials_lost,aerial_win_pct,shot_creating_actions_foul_drawn,passes_offsides,passes_crosses,own_goals_against,season,table_type,processed_at
35,Vasilije Adžić,MNE,"MF,FW",Juventus,Serie A,18.0,2006.0,0.5,0,0,0,1,0,0,0,0,2,0,0,0,3,2,3,40.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
36,Michel Aebischer,SUI,MF,Bologna,Serie A,27.0,1997.0,8.0,2,0,0,16,0,0,0,7,13,0,0,0,35,5,9,35.7,16,0,14,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
37,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,26.0,1998.0,18.2,3,0,0,21,0,0,0,8,8,1,0,0,72,19,45,29.7,42,9,53,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
38,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27.0,1997.0,15.7,3,0,0,7,0,0,0,12,19,0,0,0,83,26,20,56.5,4,1,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
39,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27.0,1997.0,14.0,3,0,0,13,0,0,0,19,17,0,0,0,85,18,11,62.1,6,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
40,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,18.0,2005.0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
41,Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,18.0,2005.0,3.3,1,0,0,14,0,0,0,1,6,0,0,0,9,1,9,10.0,5,2,7,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
42,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,23.0,2000.0,13.4,1,1,0,3,0,0,0,0,0,0,2,0,21,5,0,100.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
43,Lucien Agoume,FRA,MF,Sevilla,La Liga,22.0,2002.0,23.5,5,1,0,49,0,0,0,41,32,0,1,0,136,42,40,51.2,6,2,18,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
44,Felix Agu,NGA,DF,Werder Bremen,Bundesliga,24.0,1999.0,19.5,1,0,0,11,0,0,0,21,14,0,0,0,67,21,30,41.2,43,4,49,1,2024-2025,stats_misc,2025-10-18 04:36:50.984894
45,Álvaro Aguado,ESP,MF,Espanyol,La Liga,28.0,1996.0,4.9,3,0,0,5,0,0,0,4,2,0,0,0,37,3,2,60.0,8,0,12,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
46,Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,21.0,2002.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
47,Nayef Aguerd,MAR,DF,Real Sociedad,La Liga,28.0,1996.0,19.6,5,0,0,11,0,0,0,13,24,0,1,0,73,61,32,65.6,19,0,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
48,Ruben Aguilar,FRA,"DF,MF",Lens,Ligue 1,31.0,1993.0,12.5,4,0,0,14,0,0,0,13,18,0,0,0,79,10,16,38.5,15,5,47,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
49,Naouirou Ahamada,FRA,"MF,FW",Rennes,Ligue 1,22.0,2002.0,0.6,0,0,0,1,0,0,0,2,0,0,0,0,7,0,1,0.0,0,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
50,Honest Ahanor,ITA,"DF,MF",Genoa,Serie A,16.0,2008.0,3.0,0,0,0,2,0,0,0,1,5,0,0,0,14,5,3,62.5,8,0,4,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
51,Erik Ahlstrand,SWE,"FW,MF",St. Pauli,Bundesliga,22.0,2001.0,0.5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0.0,0,1,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
52,Jean-Eudes Aholou,CIV,MF,Angers,Ligue 1,30.0,1994.0,21.8,7,0,0,50,0,0,0,33,36,0,0,0,100,38,23,62.3,25,1,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
53,Joseph Aidoo,GHA,DF,Valladolid,La Liga,28.0,1995.0,6.5,0,0,0,4,0,0,0,5,5,0,0,0,25,9,8,52.9,2,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
54,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,28.0,1995.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
55,Ayman Aiki,FRA,"FW,MF",Saint-Étienne,Ligue 1,19.0,2005.0,1.4,0,0,0,4,0,0,0,1,3,0,0,0,7,1,4,20.0,1,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
56,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,27.0,1996.0,33.3,5,0,0,23,0,0,0,33,42,0,1,0,190,13,19,40.6,35,2,59,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
57,Rayan Aït-Nouri,ALG,DF,Wolves,Premier League,23.0,2001.0,34.5,7,1,1,30,0,0,0,26,57,0,0,0,145,22,30,42.3,46,6,94,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
58,Junior Ajayi,CIV,FW,Hellas Verona,Serie A,19.0,2004.0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
59,Kristoffer Ajer,NOR,DF,Brentford,Premier League,26.0,1998.0,16.0,5,0,0,13,0,0,0,12,18,0,0,0,42,27,23,54.0,6,2,14,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
60,Ludovic Ajorque,FRA,FW,Brest,Ligue 1,30.0,1994.0,27.7,5,0,0,61,0,0,0,6,19,2,0,0,62,133,121,52.4,26,11,7,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
61,Manuel Akanji,SUI,DF,Manchester City,Premier League,29.0,1995.0,22.4,3,0,0,17,0,0,0,9,12,0,0,0,103,30,33,47.6,9,0,11,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
62,Ümit Akdag,ROU,DF,Toulouse,Ligue 1,20.0,2003.0,5.6,2,0,0,8,0,0,0,11,4,0,0,0,24,18,7,72.0,1,0,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
63,Nathan Aké,NED,DF,Manchester City,Premier League,29.0,1995.0,7.5,0,0,0,2,0,0,0,3,7,0,0,0,24,13,10,56.5,0,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
64,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,20.0,2004.0,6.5,1,0,0,9,0,0,0,3,7,0,0,0,30,6,6,50.0,21,1,18,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
65,Sergio Akieme,ESP,DF,Reims,Ligue 1,26.0,1997.0,28.0,5,0,0,25,0,0,0,17,23,0,0,0,109,19,26,42.2,21,1,94,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
66,Maghnes Akliouche,FRA,"FW,MF",Monaco,Ligue 1,22.0,2002.0,26.7,2,0,0,31,0,0,0,15,31,0,0,0,131,5,23,17.9,38,8,53,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
67,Paul Akouokou,CIV,MF,Lyon,Ligue 1,26.0,1997.0,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
68,Clément Akpa,CIV,DF,Auxerre,Ligue 1,22.0,2001.0,27.6,7,0,0,15,0,0,0,42,34,0,1,0,116,38,31,55.1,35,0,25,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
69,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,31.0,1992.0,10.7,4,0,0,24,0,0,0,13,18,0,0,0,54,11,15,42.3,18,0,6,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
70,David Akpan Ankeye,NGA,"FW,MF",Genoa,Serie A,22.0,2002.0,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
71,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,29.0,1995.0,24.7,3,0,0,25,0,0,0,29,27,0,4,0,107,48,47,50.5,23,1,12,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
72,Chuba Akpom,ENG,FW,Lille,Ligue 1,28.0,1995.0,7.1,0,0,0,11,0,0,0,0,5,1,0,0,11,17,11,60.7,15,2,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
73,David Alaba,AUT,DF,Real Madrid,La Liga,32.0,1992.0,3.5,1,0,0,2,0,0,0,6,0,0,0,0,8,4,1,80.0,0,0,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
74,Ibrahim Alani,NGA,MF,Valladolid,La Liga,18.0,2006.0,1.8,0,0,0,2,0,0,0,1,7,0,0,0,13,3,1,75.0,5,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
75,Andreas Albers,DEN,FW,St. Pauli,Bundesliga,34.0,1990.0,0.7,0,0,0,3,0,0,0,0,1,0,0,0,3,10,12,45.5,2,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
76,Raúl Albiol,ESP,DF,Villarreal,La Liga,38.0,1985.0,13.2,5,0,0,11,0,0,0,6,9,0,2,0,44,29,14,67.4,6,0,0,1,2024-2025,stats_misc,2025-10-18 04:36:50.984894
77,Carlos Alcaraz,ARG,MF,Southampton,Premier League,21.0,2002.0,0.1,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0,100.0,0,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
78,Carlos Alcaraz,ARG,"FW,MF",Everton,Premier League,21.0,2002.0,8.5,4,0,0,13,0,0,0,5,5,0,0,0,37,14,8,63.6,12,1,11,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
79,Omar Alderete,PAR,DF,Getafe,La Liga,27.0,1996.0,33.0,8,0,0,33,0,0,0,40,29,1,4,0,115,101,51,66.4,12,8,6,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
80,Carles Aleñá,ESP,"MF,FW",Getafe,La Liga,26.0,1998.0,5.0,1,0,0,8,0,0,0,0,3,0,0,0,12,10,9,52.6,11,2,6,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
81,Carles Aleñá,ESP,"MF,FW",Alavés,La Liga,26.0,1998.0,12.1,1,0,0,11,0,0,0,2,12,0,0,0,47,9,6,60.0,24,0,31,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
82,Ben Alexander Voll,GER,GK,St. Pauli,Bundesliga,23.0,2000.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
83,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,25.0,1998.0,26.3,5,0,0,11,0,0,0,31,50,0,0,0,132,3,13,18.8,9,1,153,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
84,Alfon,ESP,"FW,MF",Celta Vigo,La Liga,25.0,1999.0,15.2,1,1,0,15,0,0,0,5,3,1,0,0,37,3,14,17.6,31,6,40,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
85,Mohamed Ali Cho,FRA,"FW,MF",Nice,Ligue 1,20.0,2004.0,18.0,2,0,0,12,0,0,0,5,9,0,0,0,69,13,27,32.5,41,9,51,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
86,Faride Alidou,GER,"FW,MF",Hellas Verona,Serie A,23.0,2001.0,0.8,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,100.0,0,0,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
87,Alisson,BRA,GK,Liverpool,Premier League,31.0,1992.0,27.9,0,0,0,0,0,0,0,0,0,0,0,0,47,7,0,100.0,2,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
88,Tadeo Allende,ARG,FW,Celta Vigo,La Liga,25.0,1999.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
89,Jim Allevinah,GAB,FW,Angers,Ligue 1,29.0,1995.0,19.4,3,0,0,18,0,0,0,12,11,1,0,0,88,10,24,29.4,25,10,34,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
90,Dele Alli,ENG,MF,Como,Serie A,28.0,1996.0,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
91,Thiago Almada,ARG,"MF,FW",Lyon,Ligue 1,23.0,2001.0,10.6,3,0,0,10,0,0,0,7,8,1,0,0,56,1,2,33.3,8,1,47,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
92,Domingos André Ribeiro Almeida,POR,"MF,FW",Valencia,La Liga,24.0,2000.0,22.0,2,0,0,28,0,0,0,8,32,0,0,0,89,5,15,25.0,38,2,67,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
93,Iker Almena,ESP,"FW,DF",Girona,La Liga,20.0,2004.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,1,0,4,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
94,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,30.0,1994.0,1.7,0,0,0,1,0,0,0,0,2,0,0,0,4,0,2,0.0,3,2,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
95,Pontus Almqvist,SWE,"FW,MF",Parma,Serie A,25.0,1999.0,12.4,5,0,0,15,0,0,0,19,13,1,0,0,40,9,15,37.5,15,2,11,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
96,Marcos Alonso,ESP,DF,Celta Vigo,La Liga,33.0,1990.0,29.4,10,2,1,31,0,0,0,34,21,0,1,0,176,70,42,62.5,28,2,42,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
97,Giorgio Altare,ITA,DF,Venezia,Serie A,25.0,1998.0,8.4,2,0,0,10,0,0,0,17,12,0,0,0,27,19,17,52.8,2,0,7,1,2024-2025,stats_misc,2025-10-18 04:36:50.984894
98,Adrià Altimira,ESP,"DF,FW",Leganés,La Liga,23.0,2001.0,18.1,6,0,0,27,0,0,0,15,24,0,1,0,71,12,19,38.7,28,3,28,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
99,Sergi Altimira,ESP,MF,Betis,La Liga,22.0,2001.0,21.9,4,0,0,35,0,0,0,24,37,1,0,0,117,11,22,33.3,33,0,5,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
100,Olabade Aluko,None,DF,Leicester City,Premier League,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
101,Edson Álvarez,MEX,MF,West Ham,Premier League,26.0,1997.0,19.7,9,1,1,42,0,0,0,18,27,0,0,0,88,30,23,56.6,18,4,6,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
102,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,21.0,2003.0,17.5,6,0,0,25,0,0,0,8,9,0,1,0,78,6,12,33.3,16,3,31,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
103,Julián Álvarez,ARG,FW,Atlético Madrid,La Liga,24.0,2000.0,27.9,5,0,0,26,0,0,0,2,17,0,0,0,75,13,31,29.5,9,9,69,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
104,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,29.0,1995.0,19.8,4,0,0,15,0,0,0,34,13,0,0,0,83,49,42,53.8,15,0,3,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
105,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,22.0,2002.0,2.6,1,0,0,7,0,0,0,2,6,0,0,0,13,5,3,62.5,5,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
106,Will Alves,ENG,FW,Leicester City,Premier League,19.0,2005.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
107,Selim Amallah,MAR,MF,Valladolid,La Liga,27.0,1996.0,15.3,6,0,0,32,0,0,0,14,18,0,0,0,73,5,16,23.8,28,1,31,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
108,Harry Amass,ENG,DF,Manchester Utd,Premier League,17.0,2007.0,3.8,0,0,0,2,0,0,0,2,2,0,0,0,26,7,6,53.8,4,1,9,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
109,Amath,SEN,"FW,DF",Valladolid,La Liga,28.0,1996.0,4.2,1,0,0,4,0,0,0,2,0,0,0,0,13,1,6,14.3,7,2,7,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
110,Jordan Amavi,FRA,DF,Brest,Ligue 1,30.0,1994.0,8.8,2,0,0,15,0,0,0,7,17,0,2,0,35,15,6,71.4,6,0,15,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
111,Aurele Amenda,SUI,DF,Eint Frankfurt,Bundesliga,21.0,2003.0,1.1,1,0,0,3,0,0,0,2,0,0,0,0,2,8,3,72.7,2,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
112,Kelvin Amian,FRA,DF,Nantes,Ligue 1,26.0,1998.0,24.1,5,0,0,23,0,0,0,13,31,0,0,0,54,21,21,50.0,11,1,37,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
113,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,28.0,1996.0,27.1,3,0,0,29,0,0,0,18,31,0,1,0,138,42,17,71.2,26,1,37,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
114,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,27.0,1996.0,27.5,9,2,1,44,0,0,0,16,23,0,0,0,207,16,17,48.5,51,2,166,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
115,Samuel Amo-Ameyaw,ENG,"FW,DF",Southampton,Premier League,18.0,2006.0,0.3,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.0,2,0,2,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
116,Samuel Amo-Ameyaw,ENG,"DF,MF",Strasbourg,Ligue 1,18.0,2006.0,3.6,0,0,0,3,0,0,0,3,3,0,0,0,14,0,7,0.0,5,1,6,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
117,Mathis Amougou,FRA,MF,Chelsea,Premier League,18.0,2006.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
118,Mathis Amougou,FRA,MF,Saint-Étienne,Ligue 1,18.0,2006.0,9.5,2,0,0,6,0,0,0,12,15,0,0,0,37,3,12,20.0,8,0,1,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
119,Mohamed Amoura,ALG,FW,Wolfsburg,Bundesliga,24.0,2000.0,27.4,6,0,0,30,0,0,0,9,22,1,0,0,92,19,45,29.7,20,24,35,0,2024-2025,stats_misc,2025-10-18 04:36:50.984894
