Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,Matches
54,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-179,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,Matches
55,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-113,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
56,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-319,2002,1.8,7,3.82,3,0,2,1,1,0,0,0.00,Matches
57,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-293,1996,6.4,4,0.62,3,0,0,0,1,0,1,0.16,Matches
58,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-197,1998,3.1,2,0.65,0,0,0,0,2,0,0,0.00,Matches
59,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-283,1998,5.7,22,3.86,16,6,0,0,0,0,3,0.53,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-008,1998,1.7,5,2.98,5,0,0,0,0,0,0,0.00,Matches
61,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-164,1999,1.8,6,3.31,5,0,0,1,0,0,0,0.00,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-269,2004,1.7,8,4.80,8,0,0,0,0,0,2,1.20,Matches
63,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6.0,1,0.17,1,0,0,0,0,0,1,0.17,Matches
64,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-230,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,Matches
65,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-172,2001,2.3,9,3.93,8,0,0,1,0,0,2,0.87,Matches
66,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,25-138,2000,1.0,5,5.11,5,0,0,0,0,0,1,1.02,Matches
67,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-097,1999,3.2,12,3.71,8,1,1,0,2,0,0,0.00,Matches
68,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-291,1990,4.3,6,1.41,6,0,0,0,0,0,0,0.00,Matches
69,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-201,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,Matches
70,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-051,2001,5.0,7,1.40,6,0,0,0,0,1,1,0.20,Matches
71,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-070,2003,5.4,19,3.49,16,1,0,1,1,0,3,0.55,Matches
72,Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,es La Liga,22-105,2003,3.4,8,2.35,7,0,0,0,0,1,0,0.00,Matches
73,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-257,2000,6.9,28,4.04,17,7,2,0,2,0,2,0.29,Matches
74,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-164,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,Matches
