Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
683,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,27-107,1998,6,540,90,100.0,6.0,6,90,6,0,,0,1.17,8,13,-5,-0.83,,7.9,12.7,-4.8,-0.80,Matches
684,Matt Doherty,ie IRL,DF,Wolves,eng Premier League,33-272,1992,3,225,75,35.7,2.5,3,75,2,0,,2,0.33,0,5,-5,-2.00,-1.11,1.3,4.3,-3.1,-1.23,Matches
685,Josh Doig,sct SCO,DF,Sassuolo,it Serie A,23-150,2002,6,485,81,89.8,5.4,6,81,4,0,,0,1.50,6,7,-1,-0.19,-1.82,5.2,7.2,-1.9,-0.36,Matches
686,Jeremy Doku,be BEL,"MF,FW",Manchester City,eng Premier League,23-141,2002,7,388,55,61.6,4.3,4,79,1,3,24,0,1.86,12,2,+10,+2.32,+2.69,7.9,3.4,+4.5,+1.05,Matches
687,Tyrhys Dolan,eng ENG,"FW,MF",Espanyol,es La Liga,23-291,2001,8,566,71,78.6,6.3,7,74,0,1,45,0,1.50,10,10,0,0.00,0.00,10.3,7.9,+2.4,+0.38,Matches
688,Marc Domenech,es ESP,"FW,MF",Mallorca,es La Liga,19-287,2006,6,206,34,28.6,2.3,2,61,0,4,21,2,0.83,3,2,+1,+0.44,+1.66,2.5,3.6,-1.1,-0.49,Matches
689,Brandon Domingues,fr FRA,MF,Oviedo,es La Liga,25-131,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
690,Álex Domínguez,es ESP,GK,Toulouse,fr Ligue 1,27-077,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
691,Benjamín Domínguez,ar ARG,"FW,MF",Bologna,it Serie A,22-026,2003,2,74,37,13.7,0.8,1,58,0,1,16,4,3.00,0,0,0,0.00,-0.77,2.0,0.3,+1.7,+2.12,Matches
692,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,24-246,2001,4,360,90,50.0,4.0,4,90,4,0,,4,0.75,4,5,-1,-0.25,+0.25,4.9,5.9,-0.9,-0.23,Matches
693,Nicolás Domínguez,ar ARG,MF,Nott'ham Forest,eng Premier League,27-109,1998,1,45,45,7.1,0.5,1,45,0,0,,1,0.00,0,1,-1,-2.00,-1.08,0.4,0.5,-0.1,-0.18,Matches
694,Jean-Luc Dompé,fr FRA,FW,Hamburger SV,de Bundesliga,30-064,1995,5,282,56,52.2,3.1,3,77,1,2,26,0,1.60,6,1,+5,+1.60,+4.04,5.2,4.4,+0.8,+0.26,Matches
695,John Donald,es ESP,"MF,DF",Elche,es La Liga,25-046,2000,5,161,32,22.4,1.8,2,68,1,3,9,3,1.20,4,4,0,0.00,-0.32,4.3,2.0,+2.3,+1.26,Matches
696,Kyliane Dong,fr FRA,MF,Augsburg,de Bundesliga,21-018,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
697,Gianluigi Donnarumma,it ITA,GK,Manchester City,eng Premier League,26-232,1999,4,360,90,57.1,4.0,4,90,4,0,,0,2.50,10,2,+8,+2.00,+1.67,6.3,3.2,+3.1,+0.78,Matches
698,Patrick Dorgu,dk DEN,DF,Manchester Utd,eng Premier League,20-354,2004,6,471,79,74.8,5.2,5,89,4,1,27,1,1.17,4,8,-4,-0.76,-1.90,8.5,8.2,+0.3,+0.05,Matches
699,Niklas Dorsch,de GER,MF,Heidenheim,de Bundesliga,27-273,1998,5,369,74,68.3,4.1,5,74,1,0,,1,0.60,4,5,-1,-0.24,+2.91,5.8,5.8,0.0,0.00,Matches
700,Lohann Doucet,fr FRA,MF,Paris FC,fr Ligue 1,23-031,2002,2,82,41,13.0,0.9,1,60,0,1,22,1,0.00,0,4,-4,-4.39,-4.88,0.5,1.7,-1.2,-1.28,Matches
701,Fodé Doucouré,ml MLI,"MF,FW",Le Havre,fr Ligue 1,24-254,2001,7,364,52,57.8,4.0,4,68,0,3,30,0,0.86,6,6,0,0.00,+0.68,7.1,4.7,+2.4,+0.60,Matches
702,Sékou Doucoure,fr FRA,DF,Nantes,fr Ligue 1,20-172,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
703,Désiré Doué,fr FRA,"FW,MF",Paris S-G,fr Ligue 1,20-134,2005,3,168,56,26.7,1.9,2,69,0,1,30,0,3.00,7,1,+6,+3.21,+2.82,4.6,1.5,+3.1,+1.67,Matches
704,Guela Doué,ci CIV,DF,Strasbourg,fr Ligue 1,22-363,2002,3,203,68,32.2,2.3,2,87,1,1,30,0,2.00,8,3,+5,+2.22,+1.80,7.4,2.4,+5.0,+2.22,Matches
705,Ismaël Doukouré,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,22-083,2003,6,495,83,78.6,5.5,6,83,5,0,,0,2.00,11,5,+6,+1.09,+0.42,11.3,5.9,+5.4,+0.98,Matches
706,Fousseny Doumbia,de GER,DF,Eint Frankfurt,de Bundesliga,20-234,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
707,Kamory Doumbia,ml MLI,MF,Brest,fr Ligue 1,22-239,2003,7,560,80,88.9,6.2,7,80,1,0,,0,1.14,11,9,+2,+0.32,+2.89,10.7,9.6,+1.1,+0.17,Matches
708,Anastasios Douvikas,gr GRE,FW,Como,it Serie A,26-074,1999,6,291,49,53.9,3.2,4,59,0,2,28,0,1.50,5,2,+3,+0.93,+1.29,5.0,3.3,+1.7,+0.52,Matches
709,Artem Dovbyk,ua UKR,FW,Roma,it Serie A,28-116,1997,5,177,35,32.8,2.0,2,59,0,3,20,1,3.00,3,1,+2,+1.02,+0.27,2.4,2.4,0.0,0.00,Matches
710,Max Dowman,eng ENG,FW,Arsenal,eng Premier League,15-288,2009,2,29,15,4.6,0.3,0,,0,2,15,2,1.50,1,0,+1,+3.10,+1.61,1.0,0.1,+0.8,+2.58,Matches
711,Stefan Drljača,de GER,GK,Stuttgart,de Bundesliga,26-178,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
712,Domingos Duarte,pt POR,DF,Getafe,es La Liga,30-219,1995,6,495,83,68.8,5.5,6,83,5,0,,1,1.17,5,10,-5,-0.91,-2.11,3.3,5.4,-2.1,-0.39,Matches
713,Martin Dúbravka,sk SVK,GK,Burnley,eng Premier League,36-273,1989,7,630,90,100.0,7.0,7,90,7,0,,0,0.57,7,15,-8,-1.14,,4.9,13.4,-8.5,-1.21,Matches
714,Denzel Dumfries,nl NED,DF,Inter,it Serie A,29-180,1996,6,390,65,72.2,4.3,5,74,2,1,19,0,2.00,13,4,+9,+2.08,+2.08,8.7,2.9,+5.8,+1.33,Matches
715,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,33-328,1991,7,630,90,100.0,7.0,7,90,7,0,,0,1.29,10,10,0,0.00,,11.2,9.1,+2.1,+0.30,Matches
716,Maxime Dupé,fr FRA,GK,Nice,fr Ligue 1,32-225,1993,0,,,,,0,,0,0,,7,,,,,,,,,,,Matches
717,Pablo Durán,es ESP,"FW,MF",Celta Vigo,es La Liga,24-143,2001,7,327,47,45.4,3.6,4,70,0,3,16,1,0.86,2,5,-3,-0.83,-0.83,3.0,3.1,0.0,-0.01,Matches
718,Mert Durmush,bg BUL,MF,Pisa,it Serie A,19-355,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
719,Hugo Duro,es ESP,FW,Valencia,es La Liga,25-339,1999,8,430,54,59.7,4.8,5,75,2,3,18,0,1.00,9,8,+1,+0.21,+1.76,5.4,7.3,-1.9,-0.40,Matches
720,Jean-Kevin Duverne,ht HAI,DF,Nantes,fr Ligue 1,28-095,1997,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
721,Paulo Dybala,ar ARG,"FW,MF",Roma,it Serie A,31-334,1993,4,139,35,25.7,1.5,1,45,0,3,31,0,2.25,1,0,+1,+0.65,-0.25,1.5,1.6,-0.1,-0.08,Matches
722,Edin Džeko,ba BIH,FW,Fiorentina,it Serie A,39-212,1986,5,93,19,17.2,1.0,1,45,0,4,12,1,0.40,0,3,-3,-2.90,-2.70,1.0,2.1,-1.0,-1.01,Matches
723,Adam Dźwigała,pl POL,DF,St. Pauli,de Bundesliga,30-020,1995,5,335,67,62.0,3.7,4,78,0,1,23,1,1.40,4,6,-2,-0.54,-0.98,4.4,4.7,-0.4,-0.09,Matches
724,Aron Dønnum,no NOR,"MF,FW",Toulouse,fr Ligue 1,27-178,1998,7,630,90,100.0,7.0,7,90,7,0,,0,1.43,11,12,-1,-0.14,,10.3,9.5,+0.8,+0.11,Matches
725,Simon Ebonog,cm CMR,MF,Le Havre,fr Ligue 1,21-060,2004,6,221,37,35.1,2.5,3,64,0,3,9,1,0.83,2,4,-2,-0.81,-0.81,2.6,2.6,0.0,+0.01,Matches
726,Enzo Ebosse,cm CMR,DF,Hellas Verona,it Serie A,26-218,1999,2,54,27,10.0,0.6,1,45,0,1,9,4,0.50,0,3,-3,-5.00,-4.26,0.3,1.9,-1.5,-2.58,Matches
727,Mauro Echegoyen,es ESP,MF,Osasuna,es La Liga,20-226,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
728,Claudio Echeverri,ar ARG,"MF,FW",Leverkusen,de Bundesliga,19-286,2006,3,52,17,9.6,0.6,0,,0,3,17,3,0.67,1,3,-2,-3.46,-4.57,1.0,2.0,-0.9,-1.62,Matches
729,Ederson,br BRA,GK,Manchester City,eng Premier League,32-059,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
730,Éderson,br BRA,MF,Atalanta,it Serie A,26-100,1999,2,93,47,17.2,1.0,1,73,0,1,20,1,1.00,1,1,0,0.00,-1.21,1.3,1.4,-0.1,-0.10,Matches
731,Noah Edjouma,fr FRA,"FW,MF",Toulouse,fr Ligue 1,20-011,2005,5,175,35,27.8,1.9,2,61,0,3,18,2,1.40,2,2,0,0.00,+0.20,2.9,2.2,+0.7,+0.34,Matches
732,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,27-272,1998,1,3,3,0.5,0.0,0,,0,1,3,1,1.00,0,0,0,0.00,-0.57,0.0,0.3,-0.3,-7.92,Matches
733,Odsonne Édouard,fr FRA,FW,Lens,fr Ligue 1,27-272,1998,4,187,47,29.7,2.1,3,55,0,1,22,0,1.75,1,2,-1,-0.48,-1.50,2.7,2.0,+0.7,+0.35,Matches
734,Marcus Edwards,eng ENG,FW,Burnley,eng Premier League,26-316,1998,1,6,6,1.0,0.1,0,,0,1,6,6,0.00,0,0,0,0.00,+1.15,0.0,0.0,0.0,0.00,Matches
735,Frédéric Efuele,cd COD,DF,Toulouse,fr Ligue 1,20-237,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
736,CJ Egan-Riley,eng ENG,DF,Marseille,fr Ligue 1,22-286,2003,3,208,69,33.0,2.3,3,69,2,0,,3,1.00,5,3,+2,+0.87,-0.84,4.0,3.2,+0.7,+0.32,Matches
737,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,28-311,1996,6,540,90,100.0,6.0,6,90,6,0,,0,1.33,9,9,0,0.00,,9.2,8.0,+1.2,+0.19,Matches
738,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,30-143,1995,6,367,61,68.0,4.1,4,79,2,2,25,0,1.33,5,6,-1,-0.25,+0.80,5.1,4.3,+0.8,+0.19,Matches
739,Ovie Ejaria,eng ENG,MF,Oviedo,es La Liga,27-331,1997,3,96,32,13.3,1.1,1,60,0,2,18,1,1.00,1,2,-1,-0.94,+0.36,1.3,1.7,-0.5,-0.44,Matches
740,Chidera Ejuke,ng NGA,"FW,MF",Sevilla,es La Liga,27-286,1998,5,183,37,25.4,2.0,3,46,0,2,23,2,1.20,5,4,+1,+0.49,-0.01,2.6,2.6,-0.1,-0.04,Matches
741,Hjalmar Ekdal,se SWE,DF,Burnley,eng Premier League,26-359,1998,6,532,89,84.4,5.9,6,89,5,0,,0,0.67,6,12,-6,-1.02,+0.82,4.5,11.2,-6.7,-1.13,Matches
742,Jeff Ekhator,it ITA,"FW,DF",Genoa,it Serie A,18-338,2006,6,145,24,26.9,1.6,1,60,0,5,17,0,0.33,2,3,-1,-0.62,+0.52,2.0,2.8,-0.8,-0.50,Matches
743,Hugo Ekitike,fr FRA,FW,Liverpool,eng Premier League,23-117,2002,6,382,64,60.6,4.2,5,73,0,1,17,0,2.50,6,4,+2,+0.47,-0.25,5.1,4.3,+0.8,+0.18,Matches
744,Jurgen Ekkelenkamp,nl NED,"MF,DF",Udinese,it Serie A,25-193,2000,3,103,34,19.1,1.1,1,58,0,2,23,3,1.00,0,4,-4,-3.50,-3.70,0.2,2.2,-2.0,-1.72,Matches
745,Jacques Ekomie,ga GAB,DF,Angers,fr Ligue 1,22-057,2003,7,459,66,72.9,5.1,5,82,3,2,25,0,0.71,2,10,-8,-1.57,-1.57,5.2,11.9,-6.7,-1.32,Matches
746,Caleb Ekuban,gh GHA,"FW,MF",Genoa,it Serie A,31-206,1994,5,123,25,22.8,1.4,0,,0,5,25,0,0.20,2,3,-1,-0.73,+0.35,2.0,2.5,-0.5,-0.36,Matches
747,Anthony Elanga,se SWE,"FW,MF",Newcastle Utd,eng Premier League,23-171,2002,7,329,47,52.2,3.7,3,79,1,4,23,0,1.29,3,5,-2,-0.55,-1.44,3.7,1.8,+1.9,+0.52,Matches
748,Daniel Elfadli,ly LBY,DF,Hamburger SV,de Bundesliga,28-192,1997,6,479,80,88.7,5.3,5,87,4,1,45,0,1.33,6,4,+2,+0.38,+6.28,6.1,7.9,-1.8,-0.34,Matches
749,Unai Elgezabal,es ESP,DF,Levante,es La Liga,32-173,1993,6,540,90,75.0,6.0,6,90,6,0,,2,0.67,10,13,-3,-0.50,-1.50,8.7,10.8,-2.1,-0.35,Matches
750,Mikael Ellertsson,is ISL,"FW,DF",Genoa,it Serie A,23-218,2002,6,434,72,80.4,4.8,5,83,3,1,18,0,0.33,2,9,-7,-1.45,-2.30,4.0,6.4,-2.4,-0.50,Matches
751,Harvey Elliott,eng ENG,"MF,FW",Liverpool,eng Premier League,22-194,2003,1,1,1,0.2,0.0,0,,0,1,1,2,3.00,1,0,+1,+90.00,+89.57,0.4,0.0,+0.4,+31.98,Matches
752,Harvey Elliott,eng ENG,"MF,FW",Aston Villa,eng Premier League,22-194,2003,3,98,33,15.6,1.1,1,45,0,2,27,1,1.67,2,2,0,0.00,+0.17,1.1,1.7,-0.5,-0.48,Matches
753,Elif Elmas,mk MKD,MF,Napoli,it Serie A,26-021,1999,3,98,33,18.1,1.1,1,57,0,2,21,1,2.00,1,1,0,0.00,-1.22,1.3,1.4,-0.1,-0.05,Matches
754,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,31-201,1994,3,95,32,13.2,1.1,1,56,0,2,20,2,0.33,1,2,-1,-0.95,-0.37,1.8,3.7,-1.9,-1.85,Matches
755,Nico Elvedi,ch SUI,DF,Gladbach,de Bundesliga,29-015,1996,6,540,90,100.0,6.0,6,90,6,0,,0,0.50,5,12,-7,-1.17,,7.4,8.2,-0.8,-0.13,Matches
756,Breel Embolo,ch SUI,FW,Rennes,fr Ligue 1,28-243,1997,4,282,71,44.8,3.1,4,71,1,0,,0,1.50,4,4,0,0.00,+0.26,3.5,4.8,-1.2,-0.39,Matches
757,Emanuel Emegha,nl NED,FW,Strasbourg,fr Ligue 1,22-254,2003,4,227,57,36.0,2.5,2,76,1,2,38,0,2.25,5,2,+3,+1.19,+0.30,4.7,2.0,+2.7,+1.06,Matches
758,Landon Emenalo,eng ENG,MF,Chelsea,eng Premier League,17-270,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
759,Emersonn,br BRA,FW,Toulouse,fr Ligue 1,21-091,2004,3,100,33,15.9,1.1,1,45,0,2,28,0,1.33,2,1,+1,+0.90,+1.24,2.2,0.8,+1.3,+1.20,Matches
760,Julio Enciso,py PAR,MF,Strasbourg,fr Ligue 1,21-265,2004,1,19,19,3.0,0.2,0,,0,1,19,0,3.00,0,0,0,0.00,-1.03,0.0,0.1,-0.1,-0.31,Matches
761,Wataru Endo,jp JPN,"MF,DF",Liverpool,eng Premier League,32-248,1993,4,39,10,6.2,0.4,0,,0,4,10,3,2.25,2,3,-1,-2.31,-3.07,0.9,1.7,-0.8,-1.85,Matches
762,Endrick,br BRA,FW,Real Madrid,es La Liga,19-086,2006,0,,,,,0,,0,0,,4,,,,,,,,,,,Matches
763,Yannik Engelhardt,de GER,MF,Gladbach,de Bundesliga,24-250,2001,4,301,75,55.7,3.3,3,90,3,1,31,0,0.50,5,9,-4,-1.20,-0.07,3.8,6.5,-2.7,-0.79,Matches
764,Christian Eriksen,dk DEN,MF,Wolfsburg,de Bundesliga,33-243,1992,3,97,32,18.0,1.1,0,,0,3,32,1,0.00,1,2,-1,-0.93,-0.72,1.9,1.9,0.0,-0.03,Matches
765,Aarón Escandell,es ESP,GK,Oviedo,es La Liga,30-018,1995,8,720,90,100.0,8.0,8,90,8,0,,0,0.75,4,14,-10,-1.25,,6.4,13.7,-7.3,-0.92,Matches
766,Carlos Espí,es ESP,FW,Levante,es La Liga,20-083,2005,2,23,12,3.2,0.3,0,,0,2,12,6,0.00,0,1,-1,-3.91,-3.91,0.0,0.6,-0.5,-2.09,Matches
767,Martín Espinal,es ESP,FW,Osasuna,es La Liga,22-058,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
768,Alfonso Espino,uy URU,"DF,FW",Rayo Vallecano,es La Liga,33-283,1992,5,105,21,14.6,1.2,1,59,0,4,12,3,1.60,2,3,-1,-0.86,-0.71,1.7,3.1,-1.4,-1.21,Matches
769,Francesco Esposito,it ITA,FW,Inter,it Serie A,20-109,2005,4,156,39,28.9,1.7,1,76,0,3,27,1,2.25,2,1,+1,+0.58,-1.30,4.6,0.9,+3.6,+2.08,Matches
770,Sebastiano Esposito,it ITA,"FW,MF",Cagliari,it Serie A,23-105,2002,6,429,72,79.4,4.8,6,72,1,0,,0,1.33,3,4,-1,-0.21,-1.02,3.9,7.6,-3.7,-0.78,Matches
771,Salvi Esquivel,es ESP,GK,Atlético Madrid,es La Liga,20-015,2005,0,,,,,0,,0,0,,7,,,,,,,,,,,Matches
772,Romain Esse,eng ENG,FW,Crystal Palace,eng Premier League,20-155,2005,1,25,25,4.0,0.3,0,,0,1,25,3,1.00,0,0,0,0.00,-0.60,0.0,0.3,-0.3,-0.95,Matches
773,Samuel Essende,cd COD,FW,Augsburg,de Bundesliga,27-265,1998,3,147,49,27.2,1.6,1,90,1,2,29,0,1.00,2,4,-2,-1.22,-1.22,1.8,2.9,-1.1,-0.68,Matches
774,Dario Essugo,pt POR,MF,Chelsea,eng Premier League,20-215,2005,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
775,Marco Esteban,es ESP,DF,Oviedo,es La Liga,19-287,2006,1,45,45,6.3,0.5,0,,0,1,45,3,0.00,0,0,0,0.00,+1.33,0.1,0.4,-0.3,-0.67,Matches
776,Maxime Estève,fr FRA,DF,Burnley,eng Premier League,23-142,2002,7,621,89,98.6,6.9,7,89,5,0,,0,0.57,6,15,-9,-1.30,-11.30,4.2,13.3,-9.0,-1.31,Matches
777,Tomás Esteves,pt POR,DF,Pisa,it Serie A,23-195,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
778,Nahuel Estévez,ar ARG,MF,Parma,it Serie A,29-335,1995,5,32,6,5.9,0.4,0,,0,5,6,1,0.80,0,0,0,0.00,+0.71,0.4,0.2,+0.2,+0.60,Matches
779,Pervis Estupiñán,ec ECU,DF,Milan,it Serie A,27-267,1998,5,371,74,68.7,4.1,5,74,3,0,,0,2.40,9,1,+8,+1.94,+3.01,5.7,2.3,+3.4,+0.83,Matches
780,Karl Etta Eyong,cm CMR,FW,Villarreal,es La Liga,22-001,2003,3,256,85,35.6,2.8,3,85,2,0,,0,2.33,8,0,+8,+2.81,+3.20,5.5,1.5,+4.1,+1.43,Matches
781,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-001,2003,5,381,76,52.9,4.2,5,76,1,0,,0,1.60,9,6,+3,+0.71,+1.77,7.3,6.0,+1.3,+0.31,Matches
782,Evanilson,br BRA,FW,Bournemouth,eng Premier League,26-009,1999,7,616,88,97.8,6.8,7,88,4,0,,0,2.00,11,8,+3,+0.44,+0.44,8.4,6.2,+2.1,+0.31,Matches
783,Edu Expósito,es ESP,MF,Espanyol,es La Liga,29-075,1996,7,495,71,68.8,5.5,6,78,2,1,26,1,1.29,8,9,-1,-0.18,-0.58,8.8,5.4,+3.3,+0.60,Matches
784,Eberechi Eze,eng ENG,"MF,FW",Arsenal,eng Premier League,27-108,1998,5,312,62,49.5,3.5,3,82,1,2,33,0,2.00,7,2,+5,+1.44,-0.26,7.0,1.6,+5.3,+1.54,Matches
785,Eberechi Eze,eng ENG,MF,Crystal Palace,eng Premier League,27-108,1998,1,83,83,13.2,0.9,1,83,0,0,,0,1.00,0,0,0,0.00,-0.66,0.6,1.2,-0.6,-0.60,Matches
786,Abde Ezzalzouli,ma MAR,FW,Betis,es La Liga,23-302,2001,4,254,64,35.3,2.8,3,78,2,1,19,0,2.50,8,2,+6,+2.13,+2.32,4.8,3.8,+1.0,+0.37,Matches
787,Giovanni Fabbian,it ITA,MF,Bologna,it Serie A,22-274,2003,5,248,50,45.9,2.8,3,65,0,2,27,1,1.40,2,2,0,0.00,-1.23,4.3,2.7,+1.6,+0.59,Matches
788,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,40-180,1985,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
789,Alieu Fadera,gm GAM,"FW,MF",Sassuolo,it Serie A,23-346,2001,6,155,26,28.7,1.7,0,,0,6,26,0,1.50,5,2,+3,+1.74,+2.44,4.6,2.7,+1.9,+1.10,Matches
790,Nicolò Fagioli,it ITA,MF,Fiorentina,it Serie A,24-245,2001,4,228,57,42.2,2.5,2,77,1,2,37,2,0.50,1,6,-5,-1.97,-2.26,2.8,4.7,-1.9,-0.76,Matches
791,Romain Faivre,fr FRA,"FW,MF",Bournemouth,eng Premier League,27-093,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
792,Omar Falah,es ESP,"DF,MF",Oviedo,es La Liga,22-036,2003,1,14,14,1.9,0.2,0,,0,1,14,3,0.00,0,0,0,0.00,+1.27,0.0,0.1,0.0,-0.23,Matches
793,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,30-186,1995,6,540,90,100.0,6.0,6,90,6,0,,0,0.83,5,10,-5,-0.83,,4.4,8.6,-4.2,-0.70,Matches
794,Valerio Farcomeni,it ITA,MF,Lazio,it Serie A,19-270,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,Matches
795,Ansu Fati,es ESP,"MF,FW",Monaco,fr Ligue 1,22-349,2002,3,161,54,25.6,1.8,1,90,1,2,36,0,1.33,7,5,+2,+1.12,+0.73,5.7,3.5,+2.1,+1.19,Matches
796,Enzo Faty,fr FRA,FW,Toulouse,fr Ligue 1,18-220,2007,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
797,Abdoulaye Faye,sn SEN,DF,Lorient,fr Ligue 1,21-023,2004,6,483,81,76.7,5.4,5,88,4,1,45,0,1.17,8,15,-7,-1.30,-1.30,6.5,9.8,-3.3,-0.61,Matches
798,Jacopo Fazzini,it ITA,MF,Fiorentina,it Serie A,22-213,2003,6,266,44,49.3,3.0,3,71,0,3,18,0,0.50,3,3,0,0.00,+1.31,3.2,3.1,+0.1,+0.04,Matches
799,Aleix Febas,es ESP,MF,Elche,es La Liga,29-255,1996,8,720,90,100.0,8.0,8,90,8,0,,0,1.63,11,9,+2,+0.25,,9.5,9.7,-0.1,-0.02,Matches
800,Mattia Felici,it ITA,"MF,DF",Cagliari,it Serie A,24-181,2001,4,126,32,23.3,1.4,1,45,0,3,27,2,1.75,3,1,+2,+1.43,+1.86,1.9,2.7,-0.9,-0.61,Matches
801,Luiz Felipe,it ITA,DF,Rayo Vallecano,es La Liga,28-207,1997,4,219,55,30.4,2.4,4,55,1,0,,0,1.00,4,2,+2,+0.82,+1.54,4.8,3.1,+1.7,+0.69,Matches
802,Pedro Felipe,br BRA,DF,Juventus,it Serie A,21-145,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
803,Robin Fellhauer,de GER,"DF,MF",Augsburg,de Bundesliga,27-267,1998,6,415,69,76.9,4.6,4,81,2,2,46,0,1.00,9,10,-1,-0.22,+0.50,4.9,10.8,-5.9,-1.28,Matches
804,Kiko Femenía,es ESP,"DF,FW",Getafe,es La Liga,34-255,1991,5,381,76,52.9,4.2,4,84,3,1,45,0,1.00,5,6,-1,-0.24,+0.03,2.6,3.3,-0.7,-0.17,Matches
805,Evan Ferguson,ie IRL,FW,Roma,it Serie A,20-361,2004,5,286,57,53.0,3.2,3,70,0,2,38,1,2.40,4,1,+3,+0.94,+0.24,4.0,1.8,+2.2,+0.70,Matches
806,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,26-052,1999,3,199,66,36.9,2.2,2,90,2,1,19,3,1.33,4,3,+1,+0.45,-0.34,2.6,2.8,-0.2,-0.09,Matches
807,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-037,1994,7,626,89,99.4,7.0,7,89,6,0,,0,1.43,9,11,-2,-0.29,-0.29,13.6,9.8,+3.8,+0.55,Matches
808,Mateus Fernandes,pt POR,"MF,FW",West Ham,eng Premier League,21-097,2004,5,398,80,63.2,4.4,5,80,2,0,,0,0.80,2,7,-5,-1.13,+0.81,3.3,6.8,-3.5,-0.79,Matches
809,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,34-165,1991,0,,,,,0,,0,0,,8,,,,,,,,,,,Matches
810,Álvaro Fernández,es ESP,GK,Sevilla,es La Liga,27-185,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
811,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-271,2001,7,618,88,98.1,6.9,7,88,6,0,,0,1.57,13,9,+4,+0.58,+0.58,10.5,9.6,+0.9,+0.13,Matches
812,Ezequiél Fernández,ar ARG,MF,Leverkusen,de Bundesliga,23-082,2002,3,141,47,26.1,1.6,1,68,0,2,37,0,3.00,3,0,+3,+1.91,+1.69,3.1,1.2,+1.9,+1.24,Matches
813,Guillermo Fernandez,es ESP,MF,Barcelona,es La Liga,17-119,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
814,Manu Fernández,es ESP,DF,Celta Vigo,es La Liga,24-175,2001,5,330,66,45.8,3.7,4,80,2,1,9,3,0.80,3,3,0,0.00,+0.69,3.8,2.8,+1.0,+0.28,Matches
815,Pedro Fernandez,es ESP,MF,Barcelona,es La Liga,17-276,2008,1,45,45,6.3,0.5,1,45,0,0,,5,3.00,1,1,0,0.00,-1.73,0.8,0.6,+0.2,+0.38,Matches
816,Pelayo Fernandez,es ESP,DF,Rayo Vallecano,es La Liga,22-169,2003,1,45,45,6.3,0.5,0,,0,1,45,2,3.00,0,1,-1,-2.00,-1.87,0.5,0.5,0.0,-0.08,Matches
817,Raúl Fernández,es ESP,GK,Alavés,es La Liga,37-216,1988,0,,,,,0,,0,0,,8,,,,,,,,,,,Matches
818,Roberto Férnandez,es ESP,"FW,MF",Espanyol,es La Liga,23-104,2002,8,535,67,74.3,5.9,6,79,2,2,30,0,1.50,8,10,-2,-0.34,-1.31,10.3,7.8,+2.4,+0.41,Matches
819,Toni Fernández,es ESP,MF,Barcelona,es La Liga,17-092,2008,0,,,,,0,,0,0,,8,,,,,,,,,,,Matches
