Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,Matches
30,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-156,2006,3,109,36,20.2,1.2,1,57,0,2,26,3,1.67,2,2,0,0.00,-0.84,0.9,1.1,-0.2,-0.14,Matches
31,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-282,1997,5,403,81,74.6,4.5,5,81,3,0,,0,0.40,3,6,-3,-0.67,+1.96,4.6,5.4,-0.8,-0.18,Matches
32,David Affengruber,at AUT,DF,Elche,es La Liga,24-210,2001,8,663,83,92.1,7.4,7,88,6,1,45,0,1.63,10,6,+4,+0.54,+3.70,9.3,8.7,+0.6,+0.08,Matches
33,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,27-245,1998,4,46,12,8.5,0.5,0,,0,4,12,2,1.00,1,0,+1,+1.96,+2.32,0.8,0.4,+0.4,+0.75,Matches
34,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-120,1997,7,526,75,83.5,5.8,5,90,5,2,38,0,0.29,4,14,-10,-1.71,-2.58,5.4,8.2,-2.8,-0.48,Matches
35,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-293,2000,8,720,90,100.0,8.0,8,90,8,0,,0,1.00,10,14,-4,-0.50,,8.9,11.0,-2.1,-0.26,Matches
36,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-248,2002,7,609,87,84.6,6.8,7,87,5,0,,1,1.86,13,9,+4,+0.59,+0.59,6.5,9.9,-3.4,-0.50,Matches
37,Saad Agouzoul,ma MAR,DF,Auxerre,fr Ligue 1,28-066,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
38,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-018,1999,6,483,81,89.4,5.4,6,81,4,0,,0,1.17,9,13,-4,-0.75,+0.83,7.3,11.7,-4.4,-0.83,Matches
39,Marc Aguado,es ESP,MF,Elche,es La Liga,25-235,2000,7,399,57,55.4,4.4,5,77,1,2,7,0,1.71,4,4,0,0.00,-0.56,2.6,6.4,-3.8,-0.86,Matches
40,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-199,1996,2,180,90,28.6,2.0,2,90,2,0,,0,0.00,1,8,-7,-3.50,-2.90,1.3,3.5,-2.2,-1.10,Matches
41,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-199,1996,4,360,90,57.1,4.0,4,90,4,0,,0,3.00,10,1,+9,+2.25,+1.92,8.0,2.3,+5.7,+1.43,Matches
42,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-172,1993,7,549,78,87.1,6.1,7,78,2,0,,0,1.86,8,6,+2,+0.33,-1.89,10.7,8.8,+1.8,+0.30,Matches
43,Ruiz Agustina,es ESP,MF,Levante,es La Liga,22-246,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
44,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-234,2008,3,244,81,45.2,2.7,2,90,2,1,64,3,1.67,5,2,+3,+1.11,+0.19,3.6,3.9,-0.3,-0.12,Matches
45,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-258,1995,5,371,74,51.5,4.1,3,90,3,2,51,0,0.60,3,8,-5,-1.21,+0.08,3.6,6.1,-2.5,-0.61,Matches
46,Erik Ahlstrand,se SWE,MF,St. Pauli,de Bundesliga,24-001,2001,0,,,,,0,,0,0,,6,,,,,,,,,,,Matches
47,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-007,1996,3,270,90,42.9,3.0,3,90,3,0,,0,1.33,4,5,-1,-0.33,+1.17,3.5,4.9,-1.5,-0.49,Matches
48,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-182,2006,2,75,38,11.9,0.8,2,38,0,0,,0,3.00,0,1,-1,-1.20,-1.20,0.4,1.2,-0.8,-0.98,Matches
49,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-131,2001,3,202,67,32.1,2.2,3,67,2,0,,0,1.00,5,2,+3,+1.34,+0.07,4.3,2.9,+1.4,+0.63,Matches
50,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-111,1998,7,393,56,62.4,4.4,5,69,1,2,24,0,1.00,6,5,+1,+0.23,+3.27,6.4,5.1,+1.2,+0.28,Matches
51,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-004,2004,1,1,1,0.2,0.0,0,,0,1,1,5,1.00,0,0,0,0.00,+1.17,0.0,0.0,0.0,+0.82,Matches
52,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-181,1998,4,120,30,19.0,1.3,1,89,0,3,10,3,1.00,1,2,-1,-0.75,-0.40,1.6,1.0,+0.5,+0.40,Matches
53,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-232,1994,7,624,89,99.0,6.9,7,89,6,0,,0,1.14,11,11,0,0.00,0.00,11.5,10.9,+0.6,+0.09,Matches
54,Ayoube Akabou,fr FRA,GK,Rennes,fr Ligue 1,18-143,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,Matches
55,Manuel Akanji,ch SUI,"DF,MF",Manchester City,eng Premier League,30-088,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,Matches
