Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-258,1995,4.1,146,193,75.6,2525,959,1,0.5,0.6,+0.5,3,7,4,1,11,Matches
40,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-007,1996,3.0,125,157,79.6,2161,962,0,0.1,0.3,-0.1,2,13,2,1,11,Matches
41,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-182,2006,0.8,28,33,84.8,513,207,0,0.0,0.0,0.0,0,3,1,0,3,Matches
42,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-131,2001,2.2,105,121,86.8,1529,385,0,0.2,0.5,-0.2,2,6,0,0,7,Matches
43,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-111,1998,4.4,62,84,73.8,896,213,0,0.5,0.4,-0.5,6,11,2,0,9,Matches
44,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-004,2004,0.0,1,1,100.0,15,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-181,1998,1.3,43,50,86.0,728,265,1,0.7,0.4,+0.3,1,4,0,0,6,Matches
46,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-232,1994,6.9,129,191,67.5,2097,240,3,1.0,0.7,+2.0,13,7,0,0,12,Matches
47,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-088,1995,4.0,271,300,90.3,5060,1346,0,0.1,0.2,-0.1,2,23,3,1,25,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-239,1995,1.3,52,61,85.2,863,297,0,0.1,0.2,-0.1,1,2,3,2,6,Matches
49,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-182,2004,1.5,35,48,72.9,628,177,0,0.7,0.3,-0.7,5,4,3,1,6,Matches
50,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20-324,2004,4.3,110,123,89.4,1829,549,0,0.2,0.2,-0.2,5,17,3,1,18,Matches
51,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-232,2002,6.0,228,292,78.1,3518,878,1,0.9,1.5,+0.1,9,25,9,1,29,Matches
52,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-325,2001,5.0,235,283,83.0,4785,1790,0,0.3,0.4,-0.3,5,28,2,0,24,Matches
53,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-004,1992,2.2,31,45,68.9,492,187,0,0.0,0.0,0.0,0,4,0,0,2,Matches
54,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-179,1995,0.3,5,9,55.6,91,37,0,0.0,0.0,0.0,0,1,0,0,0,Matches
55,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-113,1992,0.1,16,18,88.9,242,111,0,0.0,0.0,0.0,0,0,0,0,1,Matches
56,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-319,2002,1.8,46,60,76.7,771,89,0,0.0,0.0,0.0,1,2,1,0,5,Matches
57,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-293,1996,6.4,288,340,84.7,5921,2448,1,0.0,0.3,+1.0,1,24,2,2,29,Matches
58,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-197,1998,3.1,28,45,62.2,465,120,0,0.0,0.0,0.0,0,3,0,0,3,Matches
59,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-283,1998,5.7,231,288,80.2,3808,1021,3,1.0,1.1,+2.0,11,25,6,5,16,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-008,1998,1.7,111,141,78.7,1681,337,0,0.0,0.1,0.0,1,10,0,0,5,Matches
61,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-164,1999,1.8,31,40,77.5,449,101,0,0.1,0.1,-0.1,3,4,1,0,3,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-269,2004,1.7,31,40,77.5,414,146,2,0.8,0.6,+1.2,6,2,5,1,8,Matches
63,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6.0,211,254,83.1,5044,3281,0,0.0,0.0,0.0,0,3,0,0,4,Matches
64,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-230,1995,0.9,10,13,76.9,143,34,0,0.0,0.0,0.0,0,0,0,0,1,Matches
65,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-172,2001,2.3,107,127,84.3,1854,479,0,0.6,0.4,-0.6,4,10,3,1,15,Matches
66,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,25-138,2000,1.0,43,53,81.1,754,193,0,0.0,0.1,0.0,1,6,5,0,11,Matches
67,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-097,1999,3.2,49,67,73.1,700,189,0,1.0,0.6,-1.0,6,1,3,2,1,Matches
68,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-291,1990,4.3,318,361,88.1,5582,1887,0,0.4,0.6,-0.4,4,42,5,2,43,Matches
69,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-201,2001,0.1,8,8,100.0,130,48,0,0.0,0.0,0.0,0,2,0,0,1,Matches
70,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-051,2001,5.0,261,283,92.2,4274,1039,1,0.2,0.2,+0.8,4,22,0,0,12,Matches
71,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-070,2003,5.4,147,186,79.0,2420,810,1,1.3,1.3,-0.3,8,27,10,0,34,Matches
72,Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,es La Liga,22-105,2003,3.4,125,153,81.7,1765,423,0,0.2,0.2,-0.2,5,4,5,0,15,Matches
73,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-257,2000,6.9,204,262,77.9,3160,868,1,1.7,1.8,-0.7,14,12,15,0,29,Matches
74,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-164,2002,0.4,23,24,95.8,447,103,0,0.0,0.0,0.0,0,2,0,0,2,Matches
75,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-035,2003,0.2,0,2,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
76,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-076,2003,0.2,24,25,96.0,488,166,0,0.0,0.0,0.0,0,2,1,0,2,Matches
77,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-249,1998,7.0,271,347,78.1,4265,1706,0,0.4,0.3,-0.4,2,20,2,0,30,Matches
78,Michael Amir Murillo,pa PAN,"DF,MF",Marseille,fr Ligue 1,29-246,1996,5.1,235,282,83.3,3802,963,0,0.5,0.6,-0.5,5,16,7,3,20,Matches
79,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,28-353,1996,5.5,285,357,79.8,5170,2181,0,0.4,1.2,-0.4,8,38,19,1,56,Matches
80,Samuel Amo-Ameyaw,eng ENG,"DF,FW",Strasbourg,fr Ligue 1,19-089,2006,2.3,80,98,81.6,1193,263,1,0.3,0.3,+0.7,3,7,4,1,8,Matches
81,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-270,2006,1.5,38,44,86.4,447,158,0,0.2,0.1,-0.2,1,4,2,0,8,Matches
82,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-159,2000,4.3,74,108,68.5,1201,153,1,1.6,0.6,-0.6,9,3,5,1,8,Matches
83,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-031,2000,4.9,253,307,82.4,4812,1275,0,0.0,0.1,0.0,1,26,2,2,16,Matches
84,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-055,1996,2.2,110,120,91.7,2005,514,0,0.1,0.0,-0.1,1,5,1,0,13,Matches
85,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-137,1996,7.0,377,447,84.3,8057,2927,0,0.7,0.7,-0.7,2,45,4,0,28,Matches
86,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,22-343,2002,7.0,513,600,85.5,8680,2430,1,1.3,0.8,-0.3,8,64,10,4,63,Matches
87,André,br BRA,MF,Wolves,eng Premier League,24-091,2001,4.9,201,221,91.0,3372,948,0,0.0,0.1,0.0,0,20,0,0,18,Matches
88,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-073,1990,5.0,199,246,80.9,3410,929,1,0.7,0.7,+0.3,5,21,7,2,28,Matches
89,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,31-023,1994,3.4,148,171,86.5,2308,541,0,0.0,0.1,0.0,0,10,1,0,4,Matches
90,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-218,1998,1.4,36,44,81.8,536,215,0,0.0,0.0,0.0,0,1,0,0,1,Matches
91,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-284,1997,4.3,183,244,75.0,3214,1065,0,0.1,0.6,-0.1,3,13,9,2,25,Matches
92,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-008,2003,3.1,43,71,60.6,871,337,1,1.3,1.0,-0.3,5,4,1,1,4,Matches
93,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,23-326,2001,0.3,7,10,70.0,119,44,0,0.0,0.0,0.0,0,2,0,0,2,Matches
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20-341,2004,4.5,49,67,73.1,708,140,0,0.3,0.3,-0.3,4,4,2,0,10,Matches
95,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-169,2005,0.8,73,78,93.6,1202,465,0,0.0,0.1,0.0,0,5,1,0,10,Matches
96,Jaidon Anthony,eng ENG,"MF,FW",Burnley,eng Premier League,25-318,1999,6.5,115,175,65.7,1716,454,1,0.3,0.6,+0.7,7,10,6,3,11,Matches
97,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-087,1996,6.0,529,566,93.5,10141,3249,0,0.0,0.2,0.0,1,41,3,1,32,Matches
98,Antoniu,es ESP,FW,Espanyol,es La Liga,23-040,2002,0.2,11,13,84.6,172,37,0,0.0,0.0,0.0,1,0,1,1,0,Matches
99,Antony,br BRA,FW,Betis,es La Liga,25-233,2000,3.6,122,168,72.6,1737,504,0,0.4,0.6,-0.4,7,8,7,2,14,Matches
100,Youssef El-Arabi,ma MAR,"FW,MF",Nantes,fr Ligue 1,38-254,1987,0.3,7,14,50.0,151,65,0,0.0,0.0,0.0,1,0,1,0,1,Matches
101,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-015,1995,7.8,150,194,77.3,2431,588,0,0.1,0.1,-0.1,1,13,1,0,26,Matches
102,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-084,2002,6.2,297,395,75.2,4846,1916,0,0.2,0.2,-0.2,5,38,3,3,38,Matches
103,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-222,1999,4.4,271,296,91.6,4581,1689,0,0.0,0.1,0.0,1,21,0,0,19,Matches
104,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-109,1996,6.9,315,364,86.5,5622,2199,0,0.2,0.2,-0.2,3,20,1,1,22,Matches
105,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3.0,68,106,64.2,1703,1091,0,0.0,0.0,0.0,0,4,0,0,0,Matches
106,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-105,1999,6.5,250,337,74.2,4355,1311,1,0.5,0.5,+0.5,6,14,7,5,18,Matches
107,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-024,1997,4.0,130,158,82.3,2176,412,0,0.3,0.3,-0.3,7,8,4,1,12,Matches
108,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-269,2007,0.0,0,0,,0,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
109,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-188,2003,5.3,198,245,80.8,3306,951,0,0.7,0.9,-0.7,11,13,7,0,27,Matches
110,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-141,1994,6.0,274,332,82.5,5829,1814,2,2.0,2.0,0.0,18,19,5,1,19,Matches
111,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-326,2000,1.8,11,22,50.0,127,11,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
112,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-283,1998,2.2,88,107,82.2,1503,439,0,0.0,0.0,0.0,0,12,0,0,7,Matches
113,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-212,2003,1.0,39,46,84.8,500,88,0,0.1,0.1,-0.1,1,0,3,0,4,Matches
114,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-339,1994,2.8,30,46,65.2,322,72,0,0.0,0.0,0.0,0,2,1,0,2,Matches
115,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-244,2003,2.8,170,176,96.6,2915,725,0,0.0,0.1,0.0,0,19,1,0,14,Matches
116,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-068,2002,5.1,75,117,64.1,975,330,1,0.7,0.5,+0.3,7,9,5,1,11,Matches
117,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-220,2002,4.5,193,239,80.8,4175,1334,0,0.4,0.5,-0.4,4,23,3,0,21,Matches
118,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-075,1987,3.9,181,232,78.0,3205,1035,0,0.8,1.0,-0.8,12,21,17,3,46,Matches
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21-330,2003,4.5,87,121,71.9,1777,503,0,1.1,1.1,-1.1,4,6,9,1,17,Matches
120,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-115,2000,2.2,79,96,82.3,1181,413,0,0.1,0.4,-0.1,1,4,1,1,6,Matches
121,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-181,2005,2.1,65,87,74.7,1175,316,0,0.3,0.4,-0.3,4,7,1,0,7,Matches
122,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-177,2002,4.9,291,325,89.5,6293,1911,0,0.0,0.0,0.0,1,13,0,0,17,Matches
123,Zachary Athekame,ch SUI,DF,Milan,it Serie A,20-306,2004,0.4,16,18,88.9,311,105,0,0.0,0.0,0.0,0,1,0,0,0,Matches
124,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-274,2003,5.8,173,217,79.7,2695,793,0,0.4,0.5,-0.4,12,20,5,2,27,Matches
125,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6.0,182,265,68.7,6211,4779,0,0.0,0.0,0.0,0,13,1,0,3,Matches
126,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-119,1989,2.8,49,67,73.1,619,157,0,0.4,0.5,-0.4,2,5,2,0,5,Matches
127,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4.0,111,174,63.8,3024,2168,0,0.0,0.0,0.0,0,1,0,0,0,Matches
128,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-281,1999,2.9,134,154,87.0,2121,599,1,0.2,0.2,+0.8,2,8,2,1,16,Matches
129,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-320,2000,1.0,54,60,90.0,1047,297,0,0.0,0.0,0.0,0,3,0,0,4,Matches
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-234,2004,5.4,272,316,86.1,4839,1693,1,0.5,0.4,+0.5,6,26,3,1,27,Matches
131,Ezequiel Ávila,ar ARG,"FW,MF",Betis,es La Liga,31-251,1994,0.5,10,13,76.9,130,48,0,0.0,0.0,0.0,0,1,1,0,1,Matches
132,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-304,2004,6.1,240,292,82.2,4274,1297,1,0.9,1.3,+0.1,9,27,9,1,37,Matches
133,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-287,1997,7.0,425,489,86.9,8831,3147,0,0.1,0.1,-0.1,2,17,2,0,13,Matches
134,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-009,2003,6.0,211,254,83.1,3615,956,0,0.2,0.4,-0.2,5,12,4,1,21,Matches
135,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-105,2001,1.1,30,36,83.3,384,54,0,0.1,0.0,-0.1,1,2,0,0,3,Matches
136,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-048,1989,5.0,257,304,84.5,4256,1695,0,0.0,0.1,0.0,1,19,2,1,11,Matches
137,Oussama El Azzouzi,ma MAR,DF,Auxerre,fr Ligue 1,24-139,2001,0.2,17,18,94.4,339,45,0,0.0,0.0,0.0,0,2,0,0,2,Matches
138,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4.0,135,153,88.2,3186,1967,0,0.0,0.0,0.0,0,0,0,0,0,Matches
139,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-187,2000,3.9,280,311,90.0,4844,2175,0,0.1,0.2,-0.1,2,17,0,0,13,Matches
140,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-203,2001,0.7,53,57,93.0,989,427,0,0.0,0.0,0.0,0,6,1,0,4,Matches
141,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-087,2001,0.9,30,38,78.9,537,158,1,1.0,0.3,0.0,5,2,5,0,6,Matches
142,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-198,2004,5.5,190,204,93.1,3465,1007,0,0.0,0.0,0.0,0,11,0,0,11,Matches
143,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-186,1994,2.0,68,80,85.0,1377,534,0,0.0,0.2,0.0,0,3,0,0,5,Matches
144,Theo Bair,ca CAN,"MF,FW",Auxerre,fr Ligue 1,26-049,1999,0.1,3,4,75.0,41,10,0,0.0,0.0,0.0,0,1,0,0,0,Matches
145,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-187,1991,0.6,9,15,60.0,105,10,0,0.0,0.0,0.0,0,1,0,0,0,Matches
146,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-178,2003,5.1,130,158,82.3,1689,270,0,0.4,0.6,-0.4,5,5,6,2,11,Matches
147,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-319,2007,0.1,10,11,90.9,175,72,0,0.0,0.0,0.0,0,2,0,0,3,Matches
148,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-190,1998,5.9,324,393,82.4,6186,2464,1,1.3,1.5,-0.3,9,30,6,0,47,Matches
149,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,eng Premier League,23-050,2002,1.9,72,96,75.0,1034,267,0,0.4,0.3,-0.4,5,3,2,1,9,Matches
150,Dilane Bakwa,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,23-050,2002,1.2,40,50,80.0,712,151,2,0.4,0.8,+1.6,3,2,2,0,6,Matches
151,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,22-206,2003,1.3,35,45,77.8,468,106,0,0.4,0.2,-0.4,4,0,2,1,3,Matches
152,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-362,2003,2.9,149,163,91.4,2091,331,0,0.4,0.8,-0.4,4,4,3,1,9,Matches
153,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,de Bundesliga,20-087,2005,0.6,4,8,50.0,48,0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
154,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-285,2004,3.9,100,127,78.7,1801,318,0,0.0,0.0,0.0,2,10,1,0,6,Matches
155,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-262,1999,5.3,339,361,93.9,5746,1827,0,0.0,0.1,0.0,1,24,2,0,16,Matches
156,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-023,1999,2.5,61,72,84.7,1217,502,0,0.4,0.2,-0.4,2,5,0,0,5,Matches
157,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-287,1992,1.3,73,85,85.9,1309,553,0,0.0,0.1,0.0,0,7,0,0,15,Matches
158,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-285,1997,1.7,71,82,86.6,980,200,0,0.2,0.1,-0.2,1,1,2,1,4,Matches
