Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
94,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,20-341,2004,4.5,67,66,1,0,0,1,8,1,0,0,0,0,49,0,4,Matches
95,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-169,2005,0.8,78,75,3,3,0,0,0,0,0,0,0,0,73,0,0,Matches
96,Jaidon Anthony,eng ENG,"MF,FW",Burnley,eng Premier League,25-318,1999,6.5,175,153,21,1,1,0,16,6,7,5,1,1,115,1,6,Matches
97,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-087,1996,6.0,566,551,13,6,0,1,2,7,0,0,0,0,529,2,4,Matches
98,Antoniu,es ESP,FW,Espanyol,es La Liga,23-040,2002,0.2,13,13,0,0,0,0,1,0,0,0,0,0,11,0,1,Matches
99,Antony,br BRA,FW,Betis,es La Liga,25-233,2000,3.6,168,155,13,4,0,0,16,3,6,4,1,0,122,0,6,Matches
100,Youssef El-Arabi,ma MAR,"FW,MF",Nantes,fr Ligue 1,38-254,1987,0.3,14,14,0,0,0,1,0,0,0,0,0,0,7,0,0,Matches
101,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-015,1995,7.8,194,191,2,2,0,1,2,0,0,0,0,0,150,1,6,Matches
102,Jon Aramburu,ve VEN,DF,Real Sociedad,es La Liga,23-084,2002,6.2,395,316,76,10,0,1,12,66,0,0,0,0,297,3,12,Matches
103,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,26-222,1999,4.4,296,281,15,8,0,0,1,5,0,0,0,0,271,0,1,Matches
104,Carlens Arcus,ht HAI,DF,Angers,fr Ligue 1,29-109,1996,6.9,364,304,57,13,0,1,3,44,0,0,0,0,315,3,4,Matches
105,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,32-230,1993,3.0,106,74,32,8,0,0,0,0,0,0,0,0,68,0,0,Matches
106,Jesús Areso,es ESP,DF,Athletic Club,es La Liga,26-105,1999,6.5,337,265,72,7,0,3,37,65,0,0,0,0,250,0,7,Matches
107,Jhon Arias,co COL,FW,Wolves,eng Premier League,28-024,1997,4.0,158,133,25,3,0,2,20,1,12,9,2,0,130,0,1,Matches
108,Harrison Armstrong,eng ENG,FW,Everton,eng Premier League,18-269,2007,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
109,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-188,2003,5.3,245,218,26,2,3,2,17,1,14,2,10,0,198,1,4,Matches
110,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,31-141,1994,6.0,332,291,41,22,0,5,32,0,19,11,7,0,274,0,2,Matches
111,Tolu Arokodare,ng NGA,FW,Wolves,eng Premier League,24-326,2000,1.8,22,22,0,0,0,0,0,0,0,0,0,0,11,0,0,Matches
112,Kervin Arriaga,hn HON,MF,Levante,es La Liga,27-283,1998,2.2,107,106,1,1,0,1,0,0,0,0,0,0,88,0,2,Matches
113,Arthur,br BRA,DF,Leverkusen,de Bundesliga,22-212,2003,1.0,46,40,6,0,0,0,2,6,0,0,0,0,39,0,0,Matches
114,Takuma Asano,jp JPN,FW,Mallorca,es La Liga,30-339,1994,2.8,46,46,0,0,0,0,3,0,0,0,0,0,30,0,2,Matches
115,Raúl Asencio,es ESP,DF,Real Madrid,es La Liga,22-244,2003,2.8,176,164,12,6,0,1,1,5,0,0,0,0,170,0,2,Matches
116,Fisnik Asllani,xk KVX,"FW,MF",Hoffenheim,de Bundesliga,23-068,2002,5.1,117,111,6,0,2,0,1,2,0,0,0,0,75,0,2,Matches
117,Kristjan Asllani,al ALB,MF,Torino,it Serie A,23-220,2002,4.5,239,206,32,15,0,1,22,2,11,7,4,0,193,1,2,Matches
118,Iago Aspas,es ESP,"FW,MF",Celta Vigo,es La Liga,38-075,1987,3.9,232,218,12,4,5,4,12,1,7,4,0,0,181,2,10,Matches
119,Yaser Asprilla,co COL,FW,Girona,es La Liga,21-330,2003,4.5,121,105,16,5,0,2,27,0,10,3,5,0,87,0,3,Matches
120,Lorenz Assignon,tg TOG,DF,Stuttgart,de Bundesliga,25-115,2000,2.2,96,74,22,4,0,0,9,18,0,0,0,0,79,0,1,Matches
121,Dehmaine Assoumani,fr FRA,MF,Nantes,fr Ligue 1,20-181,2005,2.1,87,79,7,3,0,3,9,0,4,2,2,0,65,1,1,Matches
122,Otavio Ataide,br BRA,DF,Paris FC,fr Ligue 1,23-177,2002,4.9,325,314,11,7,0,5,0,0,0,0,0,0,291,0,0,Matches
123,Zachary Athekame,ch SUI,DF,Milan,it Serie A,20-306,2004,0.4,18,18,0,0,0,0,0,0,0,0,0,0,16,0,0,Matches
124,Arthur Atta,fr FRA,MF,Udinese,it Serie A,22-274,2003,5.8,217,202,15,6,0,1,11,3,6,4,0,0,173,0,7,Matches
125,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,23-143,2002,6.0,265,216,47,17,0,1,0,0,0,0,0,0,182,2,0,Matches
126,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-119,1989,2.8,67,62,5,0,1,0,6,0,0,0,0,0,49,0,2,Matches
127,Emil Audero,id IDN,GK,Cremonese,it Serie A,28-270,1997,4.0,174,138,34,13,0,0,0,0,0,0,0,0,111,2,0,Matches
128,Carlos Augusto,br BRA,DF,Inter,it Serie A,26-281,1999,2.9,154,139,15,4,0,1,7,11,0,0,0,0,134,0,1,Matches
129,Yann Aurel Bisseck,de GER,DF,Inter,it Serie A,24-320,2000,1.0,60,58,2,0,0,1,0,2,0,0,0,0,54,0,0,Matches
130,Leon Avdullahu,xk KVX,MF,Hoffenheim,de Bundesliga,21-234,2004,5.4,316,301,15,10,0,2,5,4,1,0,0,0,272,0,4,Matches
131,Ezequiel Ávila,ar ARG,"FW,MF",Betis,es La Liga,31-251,1994,0.5,13,11,2,1,0,0,1,0,1,0,1,0,10,0,0,Matches
132,Arthur Avom,cm CMR,MF,Lorient,fr Ligue 1,20-304,2004,6.1,292,267,22,13,4,0,15,2,5,3,1,0,240,3,9,Matches
133,Chidozie Awaziem,ng NGA,DF,Nantes,fr Ligue 1,28-287,1997,7.0,489,428,60,22,0,7,0,2,0,0,0,0,425,1,2,Matches
134,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,22-009,2003,6.0,254,228,23,9,0,2,16,0,14,8,1,0,211,3,2,Matches
135,Neil El Aynaoui,ma MAR,MF,Roma,it Serie A,24-105,2001,1.1,36,36,0,0,0,0,1,0,0,0,0,0,30,0,1,Matches
136,César Azpilicueta,es ESP,DF,Sevilla,es La Liga,36-048,1989,5.0,304,250,54,15,0,1,6,39,0,0,0,0,257,0,2,Matches
137,Oussama El Azzouzi,ma MAR,DF,Auxerre,fr Ligue 1,24-139,2001,0.2,18,15,2,2,0,0,0,0,0,0,0,0,17,1,0,Matches
138,Mio Backhaus,de GER,GK,Werder Bremen,de Bundesliga,21-182,2004,4.0,153,129,23,5,0,0,0,0,0,0,0,0,135,1,0,Matches
139,Loïc Bade,fr FRA,DF,Leverkusen,de Bundesliga,25-187,2000,3.9,311,303,8,7,1,2,0,1,0,0,0,0,280,0,1,Matches
140,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,24-203,2001,0.7,57,53,4,1,0,0,0,0,0,0,0,0,53,0,0,Matches
141,Alex Baena,es ESP,MF,Atlético Madrid,es La Liga,24-087,2001,0.9,38,33,5,1,1,0,6,0,4,1,2,0,30,0,0,Matches
142,Samson Baidoo,at AUT,DF,Lens,fr Ligue 1,21-198,2004,5.5,204,194,10,9,0,2,0,0,0,0,0,0,190,0,0,Matches
143,Eric Bailly,ci CIV,DF,Oviedo,es La Liga,31-186,1994,2.0,80,74,6,5,0,1,0,0,0,0,0,0,68,0,0,Matches
144,Theo Bair,ca CAN,"MF,FW",Auxerre,fr Ligue 1,26-049,1999,0.1,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches
145,Cédric Bakambu,cd COD,FW,Betis,es La Liga,34-187,1991,0.6,15,14,1,0,0,0,1,0,0,0,0,0,9,0,0,Matches
146,Johan Bakayoko,be BEL,FW,RB Leipzig,de Bundesliga,22-178,2003,5.1,158,154,4,0,2,1,8,4,0,0,0,0,130,0,3,Matches
147,Darryl Bakola,fr FRA,MF,Marseille,fr Ligue 1,17-319,2007,0.1,11,11,0,0,0,0,1,0,0,0,0,0,10,0,0,Matches
148,Ridle Baku,de GER,DF,RB Leipzig,de Bundesliga,27-190,1998,5.9,393,347,45,3,1,3,9,42,0,0,0,0,324,1,12,Matches
149,Dilane Bakwa,fr FRA,"FW,MF",Nott'ham Forest,eng Premier League,23-050,2002,1.9,96,89,7,2,0,1,13,2,3,3,0,0,72,0,2,Matches
150,Dilane Bakwa,fr FRA,"DF,MF",Strasbourg,fr Ligue 1,23-050,2002,1.2,50,45,5,0,2,2,7,1,4,2,2,0,40,0,1,Matches
151,Tommaso Baldanzi,it ITA,"MF,FW",Roma,it Serie A,22-206,2003,1.3,45,40,5,1,0,0,5,0,2,1,1,0,35,0,2,Matches
152,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,21-362,2003,2.9,163,143,20,3,0,0,4,17,0,0,0,0,149,0,0,Matches
153,Fabio Baldé,pt POR,"FW,MF",Hamburger SV,de Bundesliga,20-087,2005,0.6,8,8,0,0,0,0,1,0,0,0,0,0,4,0,1,Matches
154,Carlos Baleba,cm CMR,MF,Brighton,eng Premier League,21-285,2004,3.9,127,125,2,1,1,1,0,1,0,0,0,0,100,0,3,Matches
155,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,26-262,1999,5.3,361,339,22,10,1,1,1,1,0,0,0,0,339,0,1,Matches
156,Daniel Ballard,nir NIR,DF,Sunderland,eng Premier League,26-023,1999,2.5,72,66,6,1,0,0,0,0,0,0,0,0,61,0,0,Matches
157,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,33-287,1992,1.3,85,70,15,0,0,0,3,15,0,0,0,0,73,0,0,Matches
158,Fodé Ballo-Touré,sn SEN,DF,Metz,fr Ligue 1,28-285,1997,1.7,82,67,15,1,0,1,3,14,0,0,0,0,71,0,3,Matches
159,Folarin Balogun,us USA,FW,Monaco,fr Ligue 1,24-104,2001,3.7,79,77,2,0,0,0,2,0,0,0,0,0,53,0,5,Matches
160,Aladji Bamba,fr FRA,MF,Monaco,fr Ligue 1,19-093,2006,1.4,117,115,2,1,0,0,0,1,0,0,0,0,108,0,1,Matches
161,Mohamed Bamba,ci CIV,FW,Lorient,fr Ligue 1,23-309,2001,3.7,58,46,12,0,2,0,1,0,0,0,0,0,40,0,4,Matches
162,Lameck Banda,zm ZAM,"FW,MF",Lecce,it Serie A,24-259,2001,1.1,27,27,0,0,1,0,4,0,0,0,0,0,17,0,4,Matches
163,Noahkai Banks,us USA,DF,Augsburg,de Bundesliga,18-318,2006,1.3,75,74,1,0,0,0,0,0,0,0,0,0,66,0,1,Matches
164,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,de Bundesliga,20-241,2005,2.6,101,98,2,2,0,0,1,0,0,0,0,0,78,1,0,Matches
165,Tommaso Barbieri,it ITA,DF,Cremonese,it Serie A,23-050,2002,0.2,4,4,0,0,0,0,1,0,0,0,0,0,2,0,1,Matches
166,Valentín Barco,ar ARG,"MF,DF",Strasbourg,fr Ligue 1,21-084,2004,6.3,404,354,48,29,4,0,20,13,6,1,4,0,334,2,6,Matches
167,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,23-043,2002,4.5,161,160,0,0,1,0,3,0,0,0,0,0,138,1,5,Matches
168,Melvin Bard,fr FRA,DF,Nice,fr Ligue 1,24-343,2000,6.5,374,319,53,8,1,1,28,44,0,0,0,0,290,2,10,Matches
169,Roony Bardghji,se SWE,FW,Barcelona,es La Liga,19-334,2005,1.5,75,68,6,0,0,0,9,0,6,3,0,0,62,1,2,Matches
170,Nicolò Barella,it ITA,MF,Inter,it Serie A,28-250,1997,5.3,421,398,22,7,3,4,25,1,12,4,7,0,350,1,10,Matches
171,Kike Barja,es ESP,"MF,FW",Osasuna,es La Liga,28-197,1997,0.3,16,13,3,0,0,1,6,2,1,1,0,0,6,0,2,Matches
172,Ross Barkley,eng ENG,MF,Aston Villa,eng Premier League,31-314,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
173,Harvey Barnes,eng ENG,"FW,MF",Newcastle Utd,eng Premier League,27-310,1997,3.5,95,94,1,1,0,0,13,0,0,0,0,0,71,0,7,Matches
