Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
21,Tosin Adarabioyo,eng ENG,DF,Chelsea,eng Premier League,28-063,1997,8,4,471,5.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,17,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
22,Jayden Addai,nl NED,FW,Como,it Serie A,20-092,2005,7,4,428,4.8,3,0,3,3,0,0,2,0,1.2,1.2,0.2,1.4,18,11,41,0.63,0.00,0.63,0.63,0.63,0.26,0.04,0.29,0.26,0.29,Matches
23,Karim Adeyemi,de GER,"MF,FW",Dortmund,de Bundesliga,23-312,2002,11,7,517,5.7,3,1,4,3,0,0,2,0,2.3,2.3,1.6,3.9,19,15,56,0.52,0.17,0.70,0.52,0.70,0.40,0.27,0.67,0.40,0.67,Matches
24,Simon Adingra,ci CIV,"FW,MF",Sunderland,eng Premier League,23-329,2002,8,4,301,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,8,2,35,0.00,0.00,0.00,0.00,0.00,0.04,0.18,0.22,0.04,0.22,Matches
25,Nathaniel Adjei,gh GHA,DF,Lorient,fr Ligue 1,23-097,2002,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
26,Amine Adli,ma MAR,"FW,MF",Bournemouth,eng Premier League,25-200,2000,9,1,247,2.7,0,0,0,0,0,0,0,0,0.6,0.6,0.2,0.8,9,9,22,0.00,0.00,0.00,0.00,0.00,0.21,0.06,0.27,0.21,0.27,Matches
27,Vasilije Adžić,me MNE,MF,Juventus,it Serie A,19-198,2006,5,1,126,1.4,1,0,1,1,0,0,0,0,0.2,0.2,0.2,0.4,1,9,7,0.71,0.00,0.71,0.71,0.71,0.15,0.11,0.26,0.15,0.26,Matches
28,Michel Aebischer,ch SUI,MF,Pisa,it Serie A,28-324,1997,11,10,889,9.9,0,0,0,0,0,0,2,0,0.1,0.1,0.6,0.7,12,46,10,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.07,0.01,0.07,Matches
29,David Affengruber,at AUT,DF,Elche,es La Liga,24-252,2001,12,11,1023,11.4,0,0,0,0,0,0,4,1,0.0,0.0,0.2,0.2,6,36,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
