Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Unnamed: 37_level_0_Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
451,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28-313,1997,9,7,631,7.0,0,1,1,0,0,0,3,0,0.2,0.2,1.2,1.4,1,33,18,0.00,0.14,0.14,0.00,0.14,0.03,0.17,0.20,0.03,0.20,Matches
452,Lorenzo Colombo,it ITA,"FW,MF",Genoa,it Serie A,23-263,2002,12,8,641,7.1,1,1,2,1,0,1,1,0,3.1,2.4,0.1,2.5,8,6,45,0.14,0.14,0.28,0.14,0.28,0.44,0.02,0.46,0.33,0.35,Matches
453,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27-295,1998,2,0,47,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
454,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29-052,1996,12,10,793,8.8,2,2,4,2,0,0,2,0,2.5,2.5,1.1,3.6,12,42,34,0.23,0.23,0.45,0.23,0.45,0.28,0.13,0.41,0.28,0.41,Matches
455,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20-279,2005,6,5,373,4.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,6,0,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
456,Francisco Conceição,pt POR,"MF,FW",Juventus,it Serie A,22-347,2002,9,7,584,6.5,1,0,1,1,0,0,0,0,0.7,0.7,0.7,1.5,41,14,43,0.15,0.00,0.15,0.15,0.15,0.11,0.11,0.23,0.11,0.23,Matches
457,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,29-140,1996,4,2,235,2.6,1,1,2,1,0,0,1,0,1.3,1.3,0.6,1.9,4,3,17,0.38,0.38,0.77,0.38,0.77,0.49,0.24,0.72,0.49,0.72,Matches
458,Lewis Cook,eng ENG,"DF,MF",Bournemouth,eng Premier League,28-296,1997,6,1,170,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,10,19,3,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches
459,Copete,es ESP,DF,Valencia,es La Liga,26-047,1999,10,8,789,8.8,0,0,0,0,0,0,2,0,1.2,1.2,0.0,1.3,1,23,1,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches
460,Diego Coppola,it ITA,DF,Brighton,eng Premier League,21-333,2003,3,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
461,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34-197,1991,4,2,149,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,4,0,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
462,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,28-001,1997,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
463,Maxwel Cornet,ci CIV,"FW,DF",Genoa,it Serie A,29-060,1996,3,1,75,0.8,0,0,0,0,0,1,0,0,1.5,0.7,0.1,0.8,2,1,9,0.00,0.00,0.00,0.00,0.00,1.81,0.16,1.97,0.86,1.02,Matches
464,Félix Correia,pt POR,FW,Lille,fr Ligue 1,24-308,2001,13,12,954,10.6,3,4,7,3,0,0,0,0,2.2,2.2,3.2,5.4,25,65,103,0.28,0.38,0.66,0.28,0.66,0.21,0.30,0.51,0.21,0.51,Matches
465,Thierry Correia,pt POR,DF,Valencia,es La Liga,26-262,1999,8,6,517,5.7,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.3,10,25,30,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.04,0.01,0.04,Matches
466,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24-248,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
467,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,23-123,2002,11,2,283,3.1,0,0,0,0,0,0,1,0,0.3,0.3,0.1,0.4,8,11,29,0.00,0.00,0.00,0.00,0.00,0.10,0.04,0.13,0.10,0.13,Matches
468,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,32-136,1993,11,9,869,9.7,1,0,1,1,0,0,2,0,0.6,0.6,0.4,1.0,6,51,9,0.10,0.00,0.10,0.10,0.10,0.06,0.04,0.11,0.06,0.11,Matches
469,Samu Costa,pt POR,MF,Mallorca,es La Liga,24-364,2000,11,8,772,8.6,2,0,2,2,0,0,3,0,0.4,0.4,0.7,1.1,6,26,20,0.23,0.00,0.23,0.23,0.23,0.05,0.08,0.13,0.05,0.13,Matches
470,David Costas,es ESP,DF,Oviedo,es La Liga,30-245,1995,8,7,620,6.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,13,1,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
471,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-237,1999,4,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
472,Vladimír Coufal,cz CZE,DF,Hoffenheim,de Bundesliga,33-096,1992,11,11,978,10.9,1,4,5,1,0,0,1,0,0.3,0.3,2.2,2.5,19,52,32,0.09,0.37,0.46,0.09,0.46,0.03,0.21,0.23,0.03,0.23,Matches
473,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18-187,2007,11,10,892,9.9,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,6,21,0,0.10,0.00,0.10,0.10,0.10,0.05,0.02,0.07,0.05,0.07,Matches
474,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29-230,1996,11,11,909,10.1,1,0,1,1,0,0,2,0,1.0,1.0,0.3,1.2,8,26,21,0.10,0.00,0.10,0.10,0.10,0.10,0.03,0.12,0.10,0.12,Matches
475,Lasso Coulibaly,ci CIV,"MF,DF",Auxerre,fr Ligue 1,23-038,2002,9,1,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,7,9,14,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
476,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21-219,2004,10,8,595,6.6,1,1,2,1,0,0,4,0,0.6,0.6,0.9,1.4,12,35,21,0.15,0.15,0.30,0.15,0.30,0.09,0.13,0.21,0.09,0.21,Matches
477,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22-043,2003,6,6,540,6.0,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,4,10,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
478,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26-190,1999,6,2,293,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.3,12,8,9,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.10,0.02,0.10,Matches
479,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18-329,2007,10,1,132,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,3,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
480,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-199,1992,13,13,1170,13.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
481,Yan Couto,br BRA,"DF,MF",Dortmund,de Bundesliga,23-176,2002,6,6,470,5.2,1,1,2,1,0,0,2,0,0.5,0.5,1.0,1.5,20,14,52,0.19,0.19,0.38,0.19,0.38,0.09,0.20,0.29,0.09,0.29,Matches
482,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,de Bundesliga,18-154,2007,8,2,207,2.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,6,9,15,0.00,0.00,0.00,0.00,0.00,0.30,0.08,0.39,0.30,0.39,Matches
483,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-322,1999,10,7,660,7.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,11,18,14,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.01,0.02,Matches
484,Ben Cremaschi,us USA,MF,Parma,it Serie A,20-269,2005,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
485,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23-101,2002,13,13,1170,13.0,3,1,4,3,0,0,3,0,2.1,2.1,0.6,2.7,5,34,5,0.23,0.08,0.31,0.23,0.31,0.16,0.04,0.21,0.16,0.21,Matches
486,Bryan Cristante,it ITA,MF,Roma,it Serie A,30-268,1995,12,12,1019,11.3,1,0,1,1,0,0,2,0,1.0,1.0,0.6,1.5,16,85,26,0.09,0.00,0.09,0.09,0.09,0.09,0.05,0.14,0.09,0.14,Matches
487,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33-121,1992,9,7,545,6.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,12,3,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches
488,Juan Cuadrado,co COL,"DF,MF",Pisa,it Serie A,37-184,1988,10,2,327,3.6,1,0,1,0,1,1,2,0,0.9,0.1,0.8,0.8,9,16,12,0.28,0.00,0.28,0.00,0.00,0.24,0.21,0.44,0.02,0.23,Matches
489,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-308,2007,9,9,780,8.7,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0.6,14,48,1,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
490,Cucho,co COL,FW,Betis,es La Liga,26-220,1999,13,13,1117,12.4,5,2,7,5,0,0,2,0,4.2,4.2,2.3,6.5,20,28,81,0.40,0.16,0.56,0.40,0.56,0.34,0.19,0.52,0.34,0.52,Matches
491,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27-127,1998,12,11,986,11.0,0,2,2,0,0,0,2,0,0.5,0.5,1.6,2.1,20,50,34,0.00,0.18,0.18,0.00,0.18,0.05,0.14,0.19,0.05,0.19,Matches
492,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,26-009,1999,3,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
493,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29-233,1996,12,12,1032,11.5,2,1,3,2,0,0,1,0,0.6,0.6,0.8,1.5,4,54,9,0.17,0.09,0.26,0.17,0.26,0.05,0.07,0.13,0.05,0.13,Matches
494,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-212,2002,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
495,Jair Cunha,br BRA,DF,Nott'ham Forest,eng Premier League,20-264,2005,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
496,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26-183,1999,10,8,683,7.6,1,0,1,1,0,0,0,0,1.6,1.6,0.6,2.3,20,27,32,0.13,0.00,0.13,0.13,0.13,0.22,0.08,0.30,0.22,0.30,Matches
497,Patrick Cutrone,it ITA,FW,Parma,it Serie A,27-327,1998,11,9,754,8.4,1,0,1,1,0,0,0,0,2.4,2.4,0.6,3.0,8,7,47,0.12,0.00,0.12,0.12,0.12,0.29,0.07,0.36,0.29,0.36,Matches
498,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24-170,2001,10,8,753,8.4,0,0,0,0,0,0,1,0,1.0,1.0,0.7,1.8,10,32,14,0.00,0.00,0.00,0.00,0.00,0.13,0.08,0.21,0.13,0.21,Matches
499,Adam Daghim,dk DEN,FW,Wolfsburg,de Bundesliga,20-059,2005,8,5,538,6.0,2,0,2,2,0,0,0,0,0.7,0.7,0.0,0.8,25,17,50,0.33,0.00,0.33,0.33,0.33,0.12,0.01,0.13,0.12,0.13,Matches
500,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-244,1998,11,11,990,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
501,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-329,1996,3,2,163,1.8,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,8,1,0.55,0.00,0.55,0.55,0.55,0.18,0.03,0.21,0.18,0.21,Matches
502,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23-265,2002,3,1,130,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,8,2,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.08,0.04,0.08,Matches
503,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,25-115,2000,10,4,374,4.2,1,2,3,1,0,0,1,0,1.1,1.1,0.3,1.4,4,14,31,0.24,0.48,0.72,0.24,0.72,0.27,0.08,0.35,0.27,0.35,Matches
504,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,26-253,1999,10,7,627,7.0,0,1,1,0,0,0,0,0,0.1,0.1,1.1,1.1,16,21,47,0.00,0.14,0.14,0.00,0.14,0.01,0.15,0.16,0.01,0.16,Matches
505,Muhammed Damar,de GER,"FW,MF",Hoffenheim,de Bundesliga,21-231,2004,7,2,221,2.5,0,0,0,0,0,0,0,0,0.8,0.8,0.4,1.2,1,13,17,0.00,0.00,0.00,0.00,0.00,0.31,0.18,0.48,0.31,0.48,Matches
506,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25-146,2000,10,10,795,8.8,1,1,2,1,0,0,0,0,0.5,0.5,1.7,2.2,17,39,34,0.11,0.11,0.23,0.11,0.23,0.06,0.19,0.25,0.06,0.25,Matches
507,Arnaut Danjuma,nl NED,"FW,MF",Valencia,es La Liga,28-299,1997,13,12,960,10.7,3,1,4,3,0,1,0,0,3.6,2.8,0.4,3.2,36,15,70,0.28,0.09,0.37,0.28,0.37,0.33,0.04,0.38,0.26,0.30,Matches
508,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21-151,2004,12,11,972,10.8,0,0,0,0,0,0,1,0,0.7,0.7,1.8,2.5,18,61,23,0.00,0.00,0.00,0.00,0.00,0.07,0.16,0.23,0.07,0.23,Matches
509,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,27-068,1998,8,4,305,3.4,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,1,11,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
510,Dante,br BRA,DF,Nice,fr Ligue 1,42-039,1983,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
511,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,19-306,2006,1,0,35,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,Matches
512,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20-250,2005,2,0,21,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
513,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,31-339,1993,13,11,951,10.6,0,1,1,0,0,0,2,0,0.9,0.9,1.4,2.3,23,61,40,0.00,0.09,0.09,0.00,0.09,0.09,0.13,0.22,0.09,0.22,Matches
514,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-049,1990,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
515,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-359,1989,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
516,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-322,2001,3,0,57,0.6,1,0,1,1,0,0,1,0,0.1,0.1,0.0,0.1,0,4,2,1.58,0.00,1.58,1.58,1.58,0.22,0.00,0.22,0.22,0.22,Matches
517,Jonathan David,ca CAN,FW,Juventus,it Serie A,25-316,2000,11,5,445,4.9,1,1,2,1,0,0,0,0,1.3,1.3,0.7,2.0,7,9,34,0.20,0.20,0.40,0.20,0.40,0.26,0.15,0.41,0.26,0.41,Matches
518,Davinchi,es ESP,DF,Getafe,es La Liga,18-041,2007,7,4,429,4.8,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,11,12,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches
519,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-286,1998,11,9,619,6.9,3,1,4,2,1,1,2,0,3.7,2.9,1.3,4.2,10,5,33,0.44,0.15,0.58,0.29,0.44,0.54,0.19,0.73,0.42,0.61,Matches
520,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34-151,1991,8,7,566,6.3,4,0,4,1,3,3,1,0,3.3,0.9,1.5,2.4,17,43,33,0.64,0.00,0.64,0.16,0.16,0.52,0.23,0.75,0.15,0.38,Matches
521,Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,20-209,2005,6,1,137,1.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,9,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
522,Maxim De Cuyper,be BEL,DF,Brighton,eng Premier League,24-339,2000,10,5,460,5.1,1,0,1,1,0,0,1,0,0.7,0.7,0.4,1.1,4,21,15,0.20,0.00,0.20,0.20,0.20,0.14,0.08,0.22,0.14,0.22,Matches
523,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24-261,2001,10,7,639,7.1,2,0,2,2,0,0,2,0,0.9,0.9,1.7,2.6,38,60,81,0.28,0.00,0.28,0.28,0.28,0.13,0.24,0.37,0.13,0.37,Matches
524,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-239,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches
525,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27-132,1998,2,0,16,0.2,1,0,1,0,1,1,0,0,1.1,0.3,0.0,0.3,1,0,1,5.63,0.00,5.63,0.00,0.00,6.30,0.00,6.30,1.57,1.57,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
526,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-297,2001,3,2,226,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
527,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37-187,1988,5,3,202,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,6,3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
528,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27-174,1998,10,9,745,8.3,0,1,1,0,0,0,4,1,0.2,0.2,0.3,0.5,14,29,26,0.00,0.12,0.12,0.00,0.12,0.02,0.04,0.06,0.02,0.06,Matches
529,Koni De Winter,be BEL,DF,Milan,it Serie A,23-167,2002,7,3,346,3.8,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,8,18,9,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.02,0.04,Matches
530,Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30-117,1995,7,6,508,5.6,0,1,1,0,0,0,2,0,0.2,0.2,0.3,0.5,1,10,9,0.00,0.18,0.18,0.00,0.18,0.04,0.05,0.09,0.04,0.09,Matches
531,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,29-242,1996,12,12,1017,11.3,5,2,7,1,4,6,0,0,5.2,0.5,4.3,4.8,26,30,81,0.44,0.18,0.62,0.09,0.27,0.46,0.38,0.84,0.04,0.43,Matches
532,Enrico Del Prato,it ITA,DF,Parma,it Serie A,26-016,1999,12,12,1080,12.0,1,0,1,1,0,0,3,0,1.6,1.6,0.1,1.7,7,33,12,0.08,0.00,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,Matches
533,Thomas Delaine,fr FRA,"DF,FW",Le Havre,fr Ligue 1,33-247,1992,5,2,201,2.2,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.3,11,11,12,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Matches
534,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22-291,2003,5,4,221,2.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,4,5,14,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches
535,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24-293,2001,4,4,209,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,6,10,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
536,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-325,2004,1,0,13,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,1,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.44,0.44,0.44,Matches
537,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,28-195,1997,6,3,282,3.1,2,1,3,0,2,3,0,0,2.9,0.5,1.3,1.8,20,41,24,0.64,0.32,0.96,0.00,0.32,0.91,0.41,1.32,0.16,0.57,Matches
538,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27-323,1998,12,9,726,8.1,0,0,0,0,0,0,3,0,0.1,0.1,0.0,0.1,11,26,13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.02,0.01,0.02,Matches
539,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27-246,1998,6,6,492,5.5,3,1,4,2,1,1,1,0,2.2,1.4,0.5,1.9,4,11,29,0.55,0.18,0.73,0.37,0.55,0.41,0.09,0.50,0.26,0.35,Matches
540,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-142,2004,2,2,160,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
541,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-341,2001,12,12,1080,12.0,0,0,0,0,0,0,0,0,1.5,1.5,0.1,1.6,5,23,7,0.00,0.00,0.00,0.00,0.00,0.13,0.01,0.13,0.13,0.13,Matches
542,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30-225,1995,12,12,1025,11.4,1,0,1,1,0,0,2,0,0.6,0.6,0.4,1.1,11,38,16,0.09,0.00,0.09,0.09,0.09,0.06,0.04,0.09,0.06,0.09,Matches
543,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,21-302,2004,2,2,122,1.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
544,Nelson Deossa,co COL,MF,Betis,es La Liga,25-293,2000,5,1,107,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,8,0,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.22,0.09,0.22,Matches
545,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-154,1996,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
546,Bahmed Deuff,mr MTN,MF,Nantes,fr Ligue 1,19-258,2006,6,0,122,1.4,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.4,5,2,4,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.29,0.11,0.29,Matches
547,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22-046,2003,9,1,172,1.9,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,6,5,10,0.00,0.00,0.00,0.00,0.00,0.22,0.06,0.28,0.22,0.28,Matches
