Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-065,1999,5.4,14,10,10,3,1,7,12,58.3,5,9,4,5,7,21,18,1,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-282,2000,9.2,14,8,9,4,1,9,12,75.0,3,13,8,5,17,31,18,0,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-023,2007,0.6,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-246,1996,2.0,1,0,1,0,0,0,0,,0,4,2,2,1,2,11,0,Matches
38,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-246,1996,8.7,14,11,6,7,1,8,8,100.0,0,7,4,3,10,24,32,1,Matches
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-219,1993,11.8,23,13,10,8,5,13,20,65.0,7,20,7,13,17,40,19,0,Matches
40,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-281,2008,5.7,12,6,6,4,2,8,12,66.7,4,13,4,9,8,20,17,1,Matches
41,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-305,1995,4.1,20,15,17,3,0,8,11,72.7,3,0,0,0,4,24,12,0,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-063,1995,1.2,1,0,1,0,0,1,1,100.0,0,1,0,1,2,3,16,1,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-054,1996,3.0,6,3,2,2,2,4,4,100.0,0,1,0,1,5,11,14,0,Matches
44,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-229,2006,5.2,9,5,5,3,1,5,7,71.4,2,7,5,2,4,13,20,0,Matches
45,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-178,2001,2.3,9,6,7,2,0,3,7,42.9,4,4,0,4,5,14,9,0,Matches
46,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-158,1998,7.9,4,4,2,2,0,3,5,60.0,2,3,0,3,2,6,5,0,Matches
47,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-051,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
48,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-228,1998,5.2,15,9,6,8,1,11,15,73.3,4,5,1,4,7,22,21,0,Matches
49,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-279,1994,13.9,10,7,3,5,2,5,13,38.5,8,3,1,2,6,16,16,0,Matches
50,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-135,1995,11.0,19,8,10,6,3,9,14,64.3,5,10,5,5,8,27,38,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-286,1995,2.3,3,3,3,0,0,2,2,100.0,0,1,0,1,1,4,9,1,Matches
52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-229,2004,2.0,8,4,4,4,0,3,3,100.0,0,5,2,3,0,8,2,0,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-006,2004,8.3,18,11,8,7,3,4,8,50.0,4,6,2,4,10,28,9,0,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-279,2002,11.4,17,11,5,5,7,5,18,27.8,13,10,1,9,10,27,7,1,Matches
55,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-007,2001,12.0,17,7,11,4,2,10,14,71.4,4,10,6,4,9,26,50,3,Matches
56,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-051,1992,5.5,19,12,6,12,1,6,12,50.0,6,11,2,9,12,31,9,0,Matches
57,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-226,1995,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,Matches
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-160,1992,0.6,0,0,0,0,0,0,0,,0,2,2,0,0,0,4,0,Matches
59,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-088,1985,2.9,2,0,1,1,0,2,3,66.7,1,5,5,0,4,6,38,0,Matches
60,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,23-001,2002,3.3,6,3,1,3,2,5,9,55.6,4,6,2,4,0,6,0,1,Matches
61,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-340,1996,8.4,13,5,8,5,0,8,11,72.7,3,8,6,2,11,24,51,0,Matches
62,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-244,1998,5.9,4,1,1,1,2,2,8,25.0,6,3,2,1,0,4,7,0,Matches
63,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-330,1998,9.2,16,12,6,9,1,9,13,69.2,4,8,2,6,3,19,15,1,Matches
64,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-055,1998,3.8,8,5,2,5,1,6,10,60.0,4,2,1,1,8,16,2,0,Matches
65,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-211,1999,3.3,1,0,0,0,1,1,2,50.0,1,0,0,0,1,2,5,0,Matches
66,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-316,2004,5.0,2,1,1,1,0,0,0,,0,5,1,4,2,4,2,0,Matches
67,Alisson,br BRA,GK,Liverpool,eng Premier League,33-060,1992,8.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,2,Matches
68,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-277,1995,0.9,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,1,0,Matches
69,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-219,2001,3.3,4,3,0,4,0,1,4,25.0,3,2,1,1,2,6,3,0,Matches
70,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25-185,2000,3.6,10,3,4,4,2,5,6,83.3,1,4,0,4,5,15,1,0,Matches
71,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-144,1999,3.9,7,5,4,3,0,2,7,28.6,5,7,0,7,3,10,2,0,Matches
72,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-338,1990,9.9,17,10,12,2,3,8,15,53.3,7,5,4,1,14,31,65,2,Matches
73,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-248,2001,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
74,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-098,2001,5.3,22,11,8,13,1,9,17,52.9,8,5,3,2,13,35,9,0,Matches
75,Carlos Álvarez,es ESP,"MF,FW",Levante,es La Liga,22-117,2003,10.4,14,5,5,7,2,7,18,38.9,11,6,0,6,6,20,2,1,Matches
