Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 21_level_0_Int,Unnamed: 22_level_0_Tkl+Int,Unnamed: 23_level_0_Clr,Unnamed: 24_level_0_Err,Unnamed: 25_level_0_Matches
403,Jonny Castro,es ESP,DF,Alavés,es La Liga,31-273,1994,13.8,29,19,15,11,3,8,21,38.1,13,18,3,15,21,50,35,1,Matches
404,Santiago Castro,ar ARG,FW,Bologna,it Serie A,21-063,2004,7.6,3,3,2,0,1,2,4,50.0,2,3,0,3,0,3,13,0,Matches
405,Alessio Castro-Montes,be BEL,"MF,DF",Köln,de Bundesliga,28-198,1997,1.0,2,2,0,2,0,1,2,50.0,1,3,0,3,0,2,5,0,Matches
406,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,31-117,1994,9.0,12,6,7,4,1,8,14,57.1,6,7,2,5,12,24,22,2,Matches
407,Catena,es ESP,DF,Osasuna,es La Liga,31-034,1994,13.0,17,14,12,5,0,8,12,66.7,4,16,12,4,14,31,85,1,Matches
408,Nicolò Cavuoti,it ITA,DF,Cagliari,it Serie A,22-241,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
409,Santi Cazorla,es ESP,"MF,FW",Oviedo,es La Liga,40-353,1984,3.7,9,4,7,2,0,2,9,22.2,7,2,1,1,1,10,3,0,Matches
410,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,29-116,1996,4.0,17,10,3,11,3,9,15,60.0,6,12,4,8,6,23,5,0,Matches
411,Federico Ceccherini,it ITA,DF,Cremonese,it Serie A,33-204,1992,1.2,3,0,2,1,0,1,1,100.0,0,3,2,1,2,5,9,0,Matches
412,Abdoulie Ceesay,gm GAM,"FW,MF",St. Pauli,de Bundesliga,21-330,2004,2.1,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
413,Zeki Çelik,tr TUR,DF,Roma,it Serie A,28-287,1997,10.1,21,10,8,9,4,8,12,66.7,4,7,1,6,6,27,25,0,Matches
414,Fabien Centonze,fr FRA,"DF,FW",Nantes,fr Ligue 1,29-319,1996,0.3,3,1,2,1,0,0,0,,0,0,0,0,3,6,1,0,Matches
415,Václav Černý,cz CZE,FW,Wolfsburg,de Bundesliga,28-045,1997,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
416,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,27-292,1998,9.1,9,5,2,7,0,4,6,66.7,2,6,5,1,13,22,64,0,Matches
417,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,20-199,2005,1.2,1,1,1,0,0,0,1,0.0,1,0,0,0,2,3,3,0,Matches
418,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,de Bundesliga,23-003,2002,9.1,14,9,8,5,1,6,13,46.2,7,11,1,10,7,21,13,0,Matches
419,Ilyas Chaira,ma MAR,"FW,MF",Oviedo,es La Liga,24-302,2001,7.5,10,10,4,6,0,7,19,36.8,12,12,3,9,3,13,11,0,Matches
420,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26-149,1999,11.3,14,10,4,10,0,11,12,91.7,1,7,3,4,13,27,67,0,Matches
421,Fallou Cham,gm GAM,DF,Hellas Verona,it Serie A,19-290,2006,2.4,13,10,9,4,0,10,13,76.9,3,3,0,3,4,17,6,0,Matches
422,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-344,1994,11.3,10,5,5,3,2,7,11,63.6,4,24,17,7,8,18,62,1,Matches
423,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,27-235,1998,12.2,27,14,21,6,0,10,16,62.5,6,23,9,14,16,43,36,2,Matches
424,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-306,2001,2.7,7,5,6,1,0,1,4,25.0,3,3,0,3,4,11,21,0,Matches
425,Walid Cheddira,ma MAR,FW,Sassuolo,it Serie A,27-313,1998,0.9,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
426,Chema,es ESP,MF,Stuttgart,de Bundesliga,20-220,2005,6.3,14,7,6,6,2,5,7,71.4,2,11,5,6,16,30,22,0,Matches
427,Samir Chergui,dz ALG,DF,Paris FC,fr Ligue 1,26-298,1999,10.8,16,8,8,4,4,6,8,75.0,2,10,4,6,6,22,36,0,Matches
428,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-351,2006,9.3,6,2,2,4,0,2,4,50.0,2,7,0,7,4,10,1,0,Matches
429,Rayan Cherki,fr FRA,"MF,FW",Manchester City,eng Premier League,22-106,2003,3.4,7,4,4,3,0,5,11,45.5,6,1,0,1,2,9,1,0,Matches
430,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,24-025,2001,14.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
431,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,20-179,2005,3.1,7,4,4,3,0,3,4,75.0,1,3,2,1,3,10,14,0,Matches
432,Federico Chiesa,it ITA,"FW,MF",Liverpool,eng Premier League,28-037,1997,1.6,8,6,3,4,1,2,4,50.0,2,4,1,3,1,9,2,0,Matches
433,Ben Chilwell,eng ENG,DF,Strasbourg,fr Ligue 1,28-345,1996,7.6,9,8,4,4,1,6,13,46.2,7,6,2,4,5,14,26,1,Matches
434,Tawanda Chirewa,zw ZIM,"MF,FW",Wolves,eng Premier League,22-051,2003,0.2,2,0,1,1,0,1,2,50.0,1,0,0,0,0,2,0,0,Matches
435,Joris Chotard,fr FRA,MF,Brest,fr Ligue 1,24-068,2001,12.1,22,12,11,9,2,14,23,60.9,9,14,4,10,14,36,26,0,Matches
436,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,29-235,1996,3.7,3,2,1,2,0,1,3,33.3,2,4,1,3,2,5,17,0,Matches
437,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30-282,1995,3.1,7,2,5,2,0,3,6,50.0,3,3,1,2,3,10,6,0,Matches
438,Carney Chukwuemeka,eng ENG,"MF,FW",Dortmund,de Bundesliga,22-042,2003,4.2,10,8,5,2,3,2,3,66.7,1,12,0,12,4,14,2,0,Matches
439,Samuel Chukwueze,ng NGA,FW,Fulham,eng Premier League,26-193,1999,2.1,1,0,0,1,0,1,2,50.0,1,3,0,3,1,2,3,0,Matches
440,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,26-193,1999,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
441,Víctor Chust,es ESP,DF,Elche,es La Liga,25-271,2000,7.6,21,13,15,5,1,10,13,76.9,3,8,7,1,6,27,27,0,Matches
442,Alessandro Circati,au AUS,DF,Parma,it Serie A,22-052,2003,9.4,10,6,5,4,1,5,6,83.3,1,21,12,9,10,20,50,0,Matches
443,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,31-260,1994,9.7,23,11,13,10,0,9,17,52.9,8,17,8,9,13,36,29,0,Matches
444,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21-304,2004,6.8,18,9,8,6,4,7,13,53.8,6,11,4,7,1,19,5,0,Matches
445,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,27-178,1998,5.6,5,2,2,2,1,2,7,28.6,5,4,1,3,1,6,5,0,Matches
446,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,33-067,1992,9.8,19,14,10,7,2,11,19,57.9,8,11,2,9,12,31,27,1,Matches
447,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,34-240,1991,0.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
448,Saúl Coco,gq EQG,DF,Torino,it Serie A,26-295,1999,12.0,23,14,17,6,0,13,17,76.5,4,19,13,6,19,42,64,0,Matches
449,Séamus Coleman,ie IRL,"DF,FW",Everton,eng Premier League,37-051,1988,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
450,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,34-016,1991,6.9,16,10,11,5,0,10,17,58.8,7,12,4,8,8,24,15,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
451,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24-215,2001,13.0,8,2,5,3,0,3,5,60.0,2,19,14,5,17,25,95,1,Matches
452,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-325,2004,6.4,20,12,7,8,5,11,16,68.8,5,8,0,8,9,29,23,1,Matches
453,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,26-023,1999,3.2,3,3,0,2,1,2,4,50.0,2,3,1,2,1,4,2,0,Matches
454,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28-318,1997,7.9,15,6,8,7,0,11,17,64.7,6,9,3,6,4,19,19,3,Matches
455,Lorenzo Colombo,it ITA,"FW,MF",Genoa,it Serie A,23-268,2002,7.9,5,4,1,3,1,2,8,25.0,6,8,1,7,0,5,5,0,Matches
456,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27-300,1998,0.5,3,2,2,1,0,2,4,50.0,2,2,1,1,1,4,6,0,Matches
457,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29-057,1996,9.8,21,11,11,8,2,8,18,44.4,10,15,7,8,8,29,18,2,Matches
458,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20-284,2005,4.3,9,2,2,6,1,2,6,33.3,4,7,3,4,10,19,25,0,Matches
459,Francisco Conceição,pt POR,"MF,FW",Juventus,it Serie A,22-352,2002,7.4,10,6,2,4,4,4,7,57.1,3,7,0,7,3,13,2,0,Matches
460,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,29-145,1996,2.6,3,3,1,1,1,0,1,0.0,1,1,0,1,2,5,1,1,Matches
461,Lewis Cook,eng ENG,"DF,MF",Bournemouth,eng Premier League,28-301,1997,2.4,6,5,3,2,1,3,3,100.0,0,2,0,2,9,15,5,0,Matches
462,Copete,es ESP,DF,Valencia,es La Liga,26-052,1999,8.8,13,8,7,6,0,7,8,87.5,1,14,9,5,10,23,53,2,Matches
463,Diego Coppola,it ITA,DF,Brighton,eng Premier League,21-338,2003,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,Matches
464,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34-202,1991,1.7,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,3,0,Matches
465,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,28-006,1997,0.6,0,0,0,0,0,0,0,,0,3,2,1,1,1,4,0,Matches
466,Maxwel Cornet,ci CIV,"FW,DF",Genoa,it Serie A,29-065,1996,0.8,2,1,0,2,0,1,1,100.0,0,1,0,1,0,2,1,0,Matches
467,Félix Correia,pt POR,FW,Lille,fr Ligue 1,24-313,2001,11.2,10,5,3,3,4,10,18,55.6,8,10,1,9,12,22,5,1,Matches
468,Thierry Correia,pt POR,DF,Valencia,es La Liga,26-267,1999,5.7,15,9,13,1,1,11,13,84.6,2,5,0,5,8,23,16,0,Matches
469,Edoardo Corvi,it ITA,GK,Parma,it Serie A,24-253,2001,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
470,Coba da Costa,es ESP,"MF,FW",Getafe,es La Liga,23-128,2002,3.1,9,5,2,5,2,5,11,45.5,6,5,0,5,1,10,2,0,Matches
471,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,32-141,1993,10.7,11,6,6,4,1,5,12,41.7,7,15,8,7,14,25,57,0,Matches
472,Samu Costa,pt POR,MF,Mallorca,es La Liga,25-004,2000,9.6,21,11,10,7,4,9,25,36.0,16,15,5,10,8,29,39,2,Matches
473,David Costas,es ESP,DF,Oviedo,es La Liga,30-250,1995,7.9,12,9,11,1,0,3,5,60.0,2,7,6,1,5,17,50,0,Matches
474,Grégoire Coudert,fr FRA,GK,Brest,fr Ligue 1,26-242,1999,4.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
475,Vladimír Coufal,cz CZE,DF,Hoffenheim,de Bundesliga,33-101,1992,11.9,23,17,16,5,2,14,22,63.6,8,21,8,13,10,33,48,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
476,Abdoul Coulibaly,de GER,DF,Werder Bremen,de Bundesliga,18-192,2007,10.9,13,6,9,4,0,6,13,46.2,7,13,10,3,12,25,57,2,Matches
477,Lassana Coulibaly,ml MLI,MF,Lecce,it Serie A,29-235,1996,11.1,13,6,7,5,1,6,18,33.3,12,10,2,8,1,14,12,0,Matches
478,Lasso Coulibaly,ci CIV,"MF,DF",Auxerre,fr Ligue 1,23-043,2002,2.3,6,5,4,2,0,4,5,80.0,1,2,1,1,3,9,0,0,Matches
479,Mamadou Coulibaly,fr FRA,MF,Monaco,fr Ligue 1,21-224,2004,6.6,19,12,10,6,3,5,11,45.5,6,9,1,8,8,27,9,0,Matches
480,Soumaïla Coulibaly,fr FRA,DF,Brest,fr Ligue 1,22-048,2003,6.0,4,3,1,2,1,3,3,100.0,0,5,5,0,6,10,31,0,Matches
481,Woyo Coulibaly,ml MLI,DF,Sassuolo,it Serie A,26-195,1999,3.3,7,4,4,1,2,2,4,50.0,2,3,1,2,3,10,4,0,Matches
482,Marius Courcoul,fr FRA,MF,Angers,fr Ligue 1,18-334,2007,1.7,7,4,4,3,0,2,4,50.0,2,1,0,1,2,9,4,0,Matches
483,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,33-204,1992,14.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
484,Yan Couto,br BRA,"DF,MF",Dortmund,de Bundesliga,23-181,2002,5.3,11,10,6,3,2,9,10,90.0,1,7,0,7,2,13,9,0,Matches
485,Patrice Čović,hr CRO,"MF,FW",Werder Bremen,de Bundesliga,18-159,2007,2.3,4,1,1,2,1,2,5,40.0,3,7,0,7,2,6,6,0,Matches
486,Nicolas Cozza,fr FRA,DF,Nantes,fr Ligue 1,26-327,1999,8.3,7,4,4,1,2,2,8,25.0,6,5,3,2,6,13,33,0,Matches
487,Ben Cremaschi,us USA,MF,Parma,it Serie A,20-274,2005,0.2,1,1,1,0,0,0,1,0.0,1,1,1,0,0,1,1,0,Matches
488,Charlie Cresswell,eng ENG,DF,Toulouse,fr Ligue 1,23-106,2002,14.0,11,8,8,3,0,6,12,50.0,6,21,18,3,12,23,94,0,Matches
489,Bryan Cristante,it ITA,MF,Roma,it Serie A,30-273,1995,12.0,20,10,6,10,4,10,15,66.7,5,8,0,8,7,27,20,1,Matches
490,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,33-126,1992,6.1,4,3,3,1,0,2,4,50.0,2,6,4,2,2,6,21,0,Matches
491,Juan Cuadrado,co COL,"DF,MF",Pisa,it Serie A,37-189,1988,3.6,12,7,8,4,0,5,11,45.5,6,4,2,2,2,14,5,0,Matches
492,Pau Cubarsí,es ESP,DF,Barcelona,es La Liga,18-313,2007,9.6,16,12,7,8,1,5,10,50.0,5,5,4,1,8,24,34,0,Matches
493,Cucho,co COL,FW,Betis,es La Liga,26-225,1999,13.4,13,7,4,4,5,2,4,50.0,2,9,1,8,3,16,18,1,Matches
494,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,27-132,1998,12.0,27,19,18,5,4,13,21,61.9,8,17,5,12,12,39,40,1,Matches
495,Jorge Cuenca,es ESP,DF,Fulham,eng Premier League,26-014,1999,1.9,2,2,1,1,0,2,4,50.0,2,3,2,1,5,7,11,0,Matches
496,Josh Cullen,ie IRL,MF,Burnley,eng Premier League,29-238,1996,12.4,20,12,7,12,1,5,14,35.7,9,21,11,10,13,33,32,1,Matches
497,Pablo Cuñat,es ESP,GK,Levante,es La Liga,23-217,2002,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
498,Jair Cunha,br BRA,DF,Nott'ham Forest,eng Premier League,20-269,2005,1.0,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,6,0,Matches
499,Matheus Cunha,br BRA,"MF,FW",Manchester Utd,eng Premier League,26-188,1999,7.6,8,5,2,4,2,4,9,44.4,5,8,1,7,5,13,8,0,Matches
500,Patrick Cutrone,it ITA,FW,Parma,it Serie A,27-332,1998,8.9,6,1,0,6,0,5,9,55.6,4,2,1,1,3,9,6,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
501,Lucas Da Cunha,fr FRA,MF,Como,it Serie A,24-175,2001,8.7,14,7,4,7,3,5,14,35.7,9,6,0,6,4,18,7,0,Matches
502,Adam Daghim,dk DEN,FW,Wolfsburg,de Bundesliga,20-064,2005,6.0,10,6,7,2,1,7,15,46.7,8,13,1,12,7,17,12,0,Matches
503,Finn Dahmen,de GER,GK,Augsburg,de Bundesliga,27-249,1998,12.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,17,4,Matches
504,Mahmoud Dahoud,de GER,MF,Eint Frankfurt,de Bundesliga,29-334,1996,2.0,4,2,1,2,1,3,4,75.0,1,3,1,2,5,9,2,0,Matches
505,Ameen Al-Dakhil,be BEL,DF,Stuttgart,de Bundesliga,23-270,2002,2.4,6,4,1,3,2,4,6,66.7,2,5,0,5,3,9,12,0,Matches
506,Thijs Dallinga,nl NED,FW,Bologna,it Serie A,25-120,2000,4.2,4,3,1,2,1,2,2,100.0,0,3,2,1,0,4,5,0,Matches
507,Diogo Dalot,pt POR,DF,Manchester Utd,eng Premier League,26-258,1999,8.0,16,9,11,2,3,7,10,70.0,3,3,0,3,7,23,30,2,Matches
508,Muhammed Damar,de GER,"FW,MF",Hoffenheim,de Bundesliga,21-236,2004,2.5,4,3,0,3,1,3,6,50.0,3,2,0,2,1,5,3,0,Matches
509,Mikkel Damsgaard,dk DEN,MF,Brentford,eng Premier League,25-151,2000,9.8,23,15,5,11,7,7,23,30.4,16,19,2,17,9,32,7,0,Matches
510,Arnaut Danjuma,nl NED,"FW,MF",Valencia,es La Liga,28-304,1997,10.7,8,7,3,3,2,3,8,37.5,5,6,1,5,0,8,3,0,Matches
511,Kévin Danois,fr FRA,MF,Auxerre,fr Ligue 1,21-156,2004,11.8,26,14,9,14,3,6,28,21.4,22,8,2,6,11,37,4,0,Matches
512,Kevin Danso,at AUT,DF,Tottenham,eng Premier League,27-073,1998,4.4,7,5,2,5,0,5,5,100.0,0,5,3,2,3,10,41,0,Matches
513,Dante,br BRA,DF,Nice,fr Ligue 1,42-044,1983,1.5,2,1,2,0,0,0,2,0.0,2,3,2,1,2,4,7,0,Matches
514,Bence Dárdai,hu HUN,MF,Wolfsburg,de Bundesliga,19-311,2006,0.4,1,1,0,0,1,0,0,,0,2,0,2,1,2,1,0,Matches
515,Aiman Dardari,lu LUX,MF,Augsburg,de Bundesliga,20-255,2005,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
516,Sergi Darder,es ESP,"MF,FW",Mallorca,es La Liga,31-344,1993,11.5,9,3,3,4,2,4,9,44.4,5,5,3,2,10,19,6,0,Matches
517,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-054,1990,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
518,Matteo Darmian,it ITA,DF,Inter,it Serie A,35-364,1989,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
519,Juan David Cabal,co COL,DF,Juventus,it Serie A,24-327,2001,0.7,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,2,0,Matches
520,Jonathan David,ca CAN,FW,Juventus,it Serie A,25-321,2000,5.6,4,1,2,0,2,0,3,0.0,3,3,0,3,1,5,1,1,Matches
521,Davinchi,es ESP,DF,Getafe,es La Liga,18-046,2007,4.8,14,9,9,3,2,10,12,83.3,2,6,1,5,3,17,23,1,Matches
522,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-291,1998,7.6,6,2,2,4,0,2,5,40.0,3,1,0,1,0,6,8,0,Matches
523,Kevin De Bruyne,be BEL,MF,Napoli,it Serie A,34-156,1991,6.3,5,4,1,2,2,0,9,0.0,9,2,0,2,5,10,0,0,Matches
524,Mathys De Carvalho,fr FRA,MF,Lyon,fr Ligue 1,20-214,2005,2.3,6,3,1,3,2,4,6,66.7,2,8,1,7,3,9,6,0,Matches
525,Maxim De Cuyper,be BEL,"DF,FW",Brighton,eng Premier League,24-344,2000,6.0,10,6,4,5,1,6,12,50.0,6,7,1,6,5,15,11,1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
526,Charles De Ketelaere,be BEL,"MF,FW",Atalanta,it Serie A,24-266,2001,8.1,8,4,4,3,1,2,10,20.0,8,10,0,10,1,9,1,0,Matches
527,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-244,1998,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,Matches
528,Manuel De Luca,it ITA,FW,Cremonese,it Serie A,27-137,1998,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
529,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-302,2001,2.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
530,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,37-192,1988,2.2,0,0,0,0,0,0,0,,0,3,1,2,3,3,15,0,Matches
531,Thibault De Smet,be BEL,DF,Paris FC,fr Ligue 1,27-179,1998,9.1,14,6,9,3,2,10,17,58.8,7,5,1,4,5,19,31,1,Matches
532,Koni De Winter,be BEL,DF,Milan,it Serie A,23-172,2002,3.8,4,2,3,1,0,0,0,,0,4,2,2,1,5,23,1,Matches
533,Alessandro Deiola,it ITA,"MF,DF",Cagliari,it Serie A,30-122,1995,6.6,16,10,8,5,3,6,15,40.0,9,8,4,4,6,22,20,3,Matches
534,Romain Del Castillo,fr FRA,"FW,MF",Brest,fr Ligue 1,29-247,1996,12.1,31,22,7,13,11,15,31,48.4,16,13,1,12,9,40,4,1,Matches
535,Enrico Del Prato,it ITA,DF,Parma,it Serie A,26-021,1999,13.0,22,12,12,9,1,12,19,63.2,7,14,4,10,8,30,49,0,Matches
536,Thomas Delaine,fr FRA,"DF,FW",Le Havre,fr Ligue 1,33-252,1992,2.2,2,0,0,2,0,1,3,33.3,2,1,0,1,3,5,7,0,Matches
537,Liam Delap,eng ENG,FW,Chelsea,eng Premier League,22-296,2003,2.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,1,Matches
538,Fisayo Dele-Bashiru,ng NGA,MF,Lazio,it Serie A,24-298,2001,2.6,5,4,1,3,1,1,1,100.0,0,1,0,1,1,6,1,2,Matches
539,Ali Dembélé,fr FRA,DF,Torino,it Serie A,21-330,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
540,Ousmane Dembélé,fr FRA,FW,Paris S-G,fr Ligue 1,28-200,1997,3.4,3,1,0,0,3,2,2,100.0,0,0,0,0,0,3,0,0,Matches
541,Jessy Deminguet,fr FRA,MF,Metz,fr Ligue 1,27-328,1998,8.9,16,9,9,4,3,11,15,73.3,4,9,1,8,9,25,5,0,Matches
542,Ermedin Demirović,ba BIH,FW,Stuttgart,de Bundesliga,27-251,1998,5.5,2,1,0,0,2,1,1,100.0,0,3,1,2,1,3,6,1,Matches
543,Rav van den Berg,nl NED,DF,Köln,de Bundesliga,21-147,2004,2.7,3,2,1,2,0,3,4,75.0,1,6,4,2,2,5,17,1,Matches
544,Sepp van den Berg,nl NED,DF,Brentford,eng Premier League,23-346,2001,13.0,10,4,8,2,0,5,8,62.5,3,11,8,3,9,19,87,1,Matches
545,Leander Dendoncker,be BEL,MF,Oviedo,es La Liga,30-230,1995,12.4,33,22,17,15,1,15,31,48.4,16,21,7,14,9,42,31,2,Matches
546,Daniel Denoon,ch SUI,DF,Pisa,it Serie A,21-307,2004,1.4,3,2,1,2,0,1,1,100.0,0,1,0,1,1,4,3,0,Matches
547,Nelson Deossa,co COL,MF,Betis,es La Liga,25-298,2000,1.9,3,2,2,1,0,2,4,50.0,2,1,0,1,0,3,2,0,Matches
548,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-159,1996,4.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
549,Bahmed Deuff,mr MTN,"MF,FW",Nantes,fr Ligue 1,19-263,2006,1.7,3,1,2,0,1,0,1,0.0,1,2,1,1,1,4,3,0,Matches
550,Justin Devenny,nir NIR,"MF,FW",Crystal Palace,eng Premier League,22-051,2003,2.0,7,6,3,4,0,4,10,40.0,6,3,0,3,0,7,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
551,Kiernan Dewsbury-Hall,eng ENG,MF,Everton,eng Premier League,27-086,1998,11.8,20,8,8,8,4,11,15,73.3,4,12,0,12,6,26,15,0,Matches
552,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-127,1997,11.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
553,Giovanni Di Lorenzo,it ITA,"DF,MF",Napoli,it Serie A,32-119,1993,13.0,32,18,14,14,4,17,23,73.9,6,14,3,11,5,37,24,1,Matches
554,Alessandro Di Pardo,it ITA,DF,Cagliari,it Serie A,26-136,1999,0.6,1,1,1,0,0,1,3,33.3,2,1,1,0,0,1,3,0,Matches
555,Boulaye Dia,sn SEN,"FW,MF",Lazio,it Serie A,29-015,1996,8.9,10,6,3,5,2,1,5,20.0,4,3,2,1,1,11,12,0,Matches
556,Bambo Diaby,sn SEN,DF,Elche,es La Liga,27-349,1997,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0,Matches
557,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,28-347,1996,5.0,8,6,8,0,0,4,4,100.0,0,4,2,2,6,14,40,0,Matches
558,Bafodé Diakité,fr FRA,DF,Bournemouth,eng Premier League,24-329,2001,9.5,14,10,9,5,0,7,10,70.0,3,9,3,6,9,23,55,1,Matches
559,Amad Diallo,ci CIV,"DF,MF",Manchester Utd,eng Premier League,23-143,2002,10.4,19,12,5,8,6,8,19,42.1,11,7,1,6,5,24,18,0,Matches
