Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 25_level_0_Matches
29,David Affengruber,at AUT,DF,Elche,es La Liga,24-257,2001,12.4,11,0.89,11,0,0,0,0,0,2,0.16,2,0,0,0,0,0,Matches
30,Oladapo Afolayan,eng ENG,"MF,FW",St. Pauli,de Bundesliga,27-292,1998,1.7,7,4.23,5,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
31,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,28-167,1997,8.2,8,0.97,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
32,Julen Agirrezabala,es ESP,GK,Valencia,es La Liga,24-340,2000,13.0,2,0.15,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
33,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,23-295,2002,8.8,16,1.82,16,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
34,Felix Agu,ng NGA,DF,Werder Bremen,de Bundesliga,26-065,1999,5.4,6,1.12,6,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
35,Marc Aguado,es ESP,MF,Elche,es La Liga,25-282,2000,9.2,9,0.98,7,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-023,2007,0.6,1,1.55,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-246,1996,2.0,2,1.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
38,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-246,1996,8.7,5,0.57,5,0,0,0,0,0,2,0.23,2,0,0,0,0,0,Matches
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-219,1993,11.8,34,2.87,29,1,1,1,1,1,3,0.25,2,0,0,1,0,0,Matches
40,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-281,2008,5.7,2,0.35,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
41,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-305,1995,4.1,10,2.43,10,0,0,0,0,0,2,0.49,2,0,0,0,0,0,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-063,1995,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-054,1996,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-229,2006,5.2,2,0.38,2,0,0,0,0,0,1,0.19,1,0,0,0,0,0,Matches
45,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-178,2001,2.3,4,1.77,4,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
46,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-158,1998,7.9,16,2.03,11,0,2,2,1,0,1,0.13,0,0,1,0,0,0,Matches
47,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-051,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
48,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-228,1998,5.2,5,0.96,4,0,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
49,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-279,1994,13.9,35,2.51,23,0,0,7,4,1,6,0.43,4,0,0,1,1,0,Matches
50,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-135,1995,11.0,15,1.36,14,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
51,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-286,1995,2.3,3,1.32,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-229,2004,2.0,9,4.60,4,2,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-006,2004,8.3,17,2.04,12,0,2,2,1,0,2,0.24,1,0,0,1,0,0,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-279,2002,11.4,43,3.78,34,3,1,3,0,2,4,0.35,4,0,0,0,0,0,Matches
55,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-007,2001,12.0,13,1.08,7,4,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
56,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-051,1992,5.5,3,0.55,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
57,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-226,1995,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
58,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-160,1992,0.6,1,1.58,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
59,Raúl Albiol,es ESP,DF,Pisa,it Serie A,40-088,1985,2.9,2,0.69,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
60,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,23-001,2002,3.3,8,2.44,4,0,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
61,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-340,1996,8.4,7,0.83,6,0,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
62,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-244,1998,5.9,5,0.84,3,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
63,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-330,1998,9.2,26,2.81,19,6,0,0,1,0,3,0.32,3,0,0,0,0,0,Matches
64,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-055,1998,3.8,13,3.46,9,4,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
65,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-211,1999,3.3,11,3.31,8,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches
66,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-316,2004,5.0,19,3.79,19,0,0,0,0,0,4,0.80,4,0,0,0,0,0,Matches
67,Alisson,br BRA,GK,Liverpool,eng Premier League,33-060,1992,8.0,1,0.12,1,0,0,0,0,0,1,0.12,1,0,0,0,0,0,Matches
68,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-277,1995,0.9,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
69,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-219,2001,3.3,12,3.65,10,0,1,1,0,0,3,0.91,2,0,0,1,0,0,Matches
70,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,25-185,2000,3.6,16,4.46,11,3,0,1,0,1,1,0.28,1,0,0,0,0,0,Matches
71,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-144,1999,3.9,13,3.34,9,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
72,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-338,1990,9.9,10,1.01,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
73,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-248,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
74,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-098,2001,5.3,7,1.32,6,0,0,0,0,1,1,0.19,1,0,0,0,0,0,Matches
75,Carlos Álvarez,es ESP,"MF,FW",Levante,es La Liga,22-117,2003,10.4,39,3.73,29,7,0,1,2,0,3,0.29,2,0,0,0,1,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
76,Hugo Álvarez,es ESP,"FW,MF",Celta Vigo,es La Liga,22-152,2003,3.8,9,2.36,8,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
77,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-304,2000,11.4,51,4.48,34,9,3,2,3,0,4,0.35,2,0,0,1,1,0,Matches
78,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-211,2002,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
79,Giuseppe Ambrosino,it ITA,FW,Napoli,it Serie A,22-082,2003,0.4,1,2.73,0,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
80,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,22-123,2003,1.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
81,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,27-296,1998,14.0,13,0.93,11,2,0,0,0,0,3,0.21,3,0,0,0,0,0,Matches
82,Mohamed Amine Sbai,fr FRA,FW,Angers,fr Ligue 1,25-026,2000,5.4,20,3.71,12,1,4,2,1,0,4,0.74,2,0,1,1,0,0,Matches
83,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,29-293,1996,8.7,21,2.40,17,0,3,0,1,0,5,0.57,3,0,1,0,1,0,Matches
84,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,29-035,1996,10.5,52,4.96,28,16,3,4,1,0,2,0.19,2,0,0,0,0,0,Matches
85,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,fr Ligue 1,19-136,2006,4.0,18,4.50,14,1,1,0,2,0,2,0.50,2,0,0,0,0,0,Matches
86,Mathis Amougou,fr FRA,MF,Strasbourg,fr Ligue 1,19-317,2006,2.6,5,1.94,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
87,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,25-206,2000,8.7,29,3.33,22,0,2,2,3,0,3,0.34,1,0,1,0,1,0,Matches
88,Ethan Ampadu,wls WAL,MF,Leeds United,eng Premier League,25-078,2000,10.7,18,1.68,13,2,1,1,0,1,1,0.09,1,0,0,0,0,0,Matches
89,Sofyan Amrabat,ma MAR,MF,Betis,es La Liga,29-102,1996,6.7,14,2.09,12,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
90,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,29-184,1996,11.5,13,1.13,10,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
91,Elliot Anderson,eng ENG,MF,Nott'ham Forest,eng Premier League,23-025,2002,13.0,56,4.31,37,12,2,2,2,1,4,0.31,4,0,0,0,0,0,Matches
92,André,br BRA,MF,Wolves,eng Premier League,24-138,2001,9.8,11,1.12,4,3,1,0,3,0,0,0.00,0,0,0,0,0,0,Matches
93,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,35-120,1990,10.9,28,2.57,25,0,0,2,1,0,2,0.18,2,0,0,0,0,0,Matches
94,Robert Andrich,de GER,"MF,DF",Leverkusen,de Bundesliga,31-070,1994,8.6,13,1.51,12,0,0,0,1,0,1,0.12,1,0,0,0,0,0,Matches
95,Miguel Ángel Rubio,es ESP,DF,Espanyol,es La Liga,27-265,1998,1.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
96,Miguel Ángel Sierra,es ESP,FW,Sevilla,es La Liga,21-140,2004,0.1,1,7.50,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
97,Angeliño,es ESP,"DF,MF",Roma,it Serie A,28-331,1997,4.3,5,1.16,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
98,Samuele Angori,it ITA,DF,Pisa,it Serie A,22-055,2003,6.6,15,2.26,9,6,0,0,0,0,1,0.15,1,0,0,0,0,0,Matches
99,Faustino Anjorin,eng ENG,"MF,FW",Torino,it Serie A,24-008,2001,0.7,4,5.45,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
100,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-023,2004,9.4,19,2.02,12,0,1,2,4,0,4,0.43,3,0,0,1,0,0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,Aaron Anselmino,ar ARG,DF,Dortmund,de Bundesliga,20-216,2005,2.8,1,0.35,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,Jaidon Anthony,eng ENG,"FW,MF",Burnley,eng Premier League,26-000,1999,10.8,26,2.40,20,1,3,0,2,0,4,0.37,2,0,1,0,1,0,Matches
103,Waldemar Anton,de GER,DF,Dortmund,de Bundesliga,29-134,1996,12.0,4,0.33,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
104,Antoniu,es ESP,"FW,MF",Espanyol,es La Liga,23-087,2002,1.0,6,6.28,5,0,0,1,0,0,1,1.05,1,0,0,0,0,0,Matches
105,Antony,br BRA,FW,Betis,es La Liga,25-280,2000,8.5,44,5.16,34,3,1,2,3,1,3,0.35,3,0,0,0,0,0,Matches
106,Youssef El-Arabi,ma MAR,FW,Nantes,fr Ligue 1,38-301,1987,5.1,14,2.75,8,0,0,2,3,1,2,0.39,1,0,0,1,0,0,Matches
107,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,30-062,1995,13.8,22,1.60,16,0,0,5,1,0,1,0.07,0,0,0,1,0,0,Matches
