Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
87,Alberto Paleari,it ITA,GK,Torino,it Serie A,33-089,1992,5.0,8,1,0,1,0,7.9,0.36,-0.1,-0.01,41,92,44.6,129,21,48.8,38.2,39,74.4,52.5,70,1,1.4,7,1.40,16.4,Matches
88,Iñaki Peña,es ESP,GK,Elche,es La Liga,26-269,1999,7.0,10,1,0,1,0,11.6,0.35,+1.6,+0.22,24,111,21.6,407,30,25.3,27.8,29,27.6,36.1,110,6,5.5,16,2.29,16.5,Matches
89,Mike Penders,be BEL,GK,Strasbourg,fr Ligue 1,20-118,2005,12.0,17,1,0,1,1,17.6,0.34,+1.6,+0.13,38,103,36.9,513,30,15.8,24.8,39,56.4,45.8,165,12,7.3,12,1.00,12.8,Matches
90,Mattia Perin,it ITA,GK,Juventus,it Serie A,33-016,1992,1.0,1,0,0,0,0,0.5,0.16,-0.5,-0.52,1,1,100.0,13,3,7.7,26.7,5,0.0,16.6,7,0,0.0,1,1.00,36.0,Matches
91,Lucas Perri,br BRA,GK,Leeds United,eng Premier League,27-351,1997,7.0,14,2,1,2,0,12.4,0.41,-1.6,-0.23,32,127,25.2,224,28,44.2,37.7,36,77.8,56.8,91,4,4.4,2,0.29,11.1,Matches
92,Massimo Pessina,it ITA,GK,Bologna,it Serie A,17-336,2007,0.9,0,0,0,0,0,0.1,0.10,+0.1,+0.11,7,16,43.8,31,3,48.4,37.8,1,100.0,71.0,10,2,20.0,1,1.08,11.5,Matches
93,Đorđe Petrović,rs SRB,GK,Bournemouth,eng Premier League,26-049,1999,12.0,20,1,1,4,0,17.2,0.30,-2.8,-0.23,36,119,30.3,278,62,27.0,30.3,75,58.7,48.8,142,15,10.6,24,2.00,14.6,Matches
94,Jordan Pickford,eng ENG,GK,Everton,eng Premier League,31-264,1994,12.0,13,1,0,2,0,16.3,0.31,+3.3,+0.27,101,274,36.9,416,36,52.4,40.6,72,77.8,55.0,164,4,2.4,29,2.42,17.7,Matches
95,Nick Pope,eng ENG,GK,Newcastle Utd,eng Premier League,33-221,1992,11.8,13,0,0,3,1,13.1,0.28,+1.1,+0.09,31,130,23.8,271,88,30.6,32.6,68,69.1,50.1,146,22,15.1,36,3.04,17.3,Matches
96,Ivan Provedel,it ITA,GK,Lazio,it Serie A,31-254,1994,12.0,9,0,1,2,0,14.6,0.28,+5.6,+0.47,48,155,31.0,376,47,33.0,34.0,63,49.2,41.2,162,10,6.2,11,0.92,13.2,Matches
97,Ionuț Radu,ro ROU,GK,Celta Vigo,es La Liga,28-182,1997,13.0,18,2,0,4,1,16.6,0.24,-0.4,-0.03,37,120,30.8,275,69,30.2,31.5,93,39.8,39.0,169,9,5.3,9,0.69,12.1,Matches
98,Diant Ramaj,de GER,GK,Heidenheim,de Bundesliga,24-068,2001,11.0,26,2,0,0,0,26.0,0.39,0.0,0.00,99,261,37.9,511,53,40.3,39.1,83,66.3,52.2,170,18,10.6,13,1.18,11.8,Matches
99,Aaron Ramsdale,eng ENG,GK,Newcastle Utd,eng Premier League,27-196,1998,0.2,2,1,0,0,0,1.4,0.25,-0.6,-3.54,0,2,0.0,3,0,33.3,37.0,3,33.3,39.3,6,0,0.0,0,0.00,,Matches
100,Federico Ravaglia,it ITA,GK,Bologna,it Serie A,26-015,1999,2.0,0,0,0,0,0,0.8,0.13,+0.8,+0.38,10,34,29.4,96,11,29.2,32.9,11,54.5,45.6,32,0,0.0,7,3.50,19.1,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
101,David Raya,es ESP,GK,Arsenal,eng Premier League,30-072,1995,12.0,6,0,1,1,0,4.7,0.20,-1.3,-0.11,60,178,33.7,366,48,40.4,35.7,39,76.9,56.8,101,10,9.9,20,1.67,19.4,Matches
102,Álex Remiro,es ESP,GK,Real Sociedad,es La Liga,30-247,1995,13.0,18,1,0,2,1,14.8,0.31,-2.2,-0.17,79,177,44.6,397,47,33.0,32.1,83,55.4,47.8,145,6,4.1,23,1.77,17.5,Matches
103,Guillaume Restes,fr FRA,GK,Toulouse,fr Ligue 1,20-260,2005,13.0,17,4,0,3,0,17.0,0.33,0.0,0.00,58,147,39.5,311,37,38.9,34.0,47,55.3,42.6,157,11,7.0,14,1.08,14.1,Matches
104,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24-122,2001,2.2,8,1,0,0,0,5.8,0.30,-2.2,-0.98,8,26,30.8,58,6,39.7,36.1,13,23.1,30.2,11,0,0.0,4,1.78,18.7,Matches
105,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20-359,2004,13.0,11,2,0,2,0,14.2,0.27,+3.2,+0.25,45,123,36.6,342,43,26.6,32.5,65,49.2,41.2,177,8,4.5,8,0.62,14.6,Matches
106,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22-313,2003,12.0,11,0,0,1,0,12.9,0.24,+1.9,+0.16,63,231,27.3,424,39,38.9,36.0,71,93.0,66.6,202,20,9.9,13,1.08,11.8,Matches
107,Leo Román,es ESP,GK,Mallorca,es La Liga,25-143,2000,10.0,15,2,0,2,0,16.7,0.31,+1.7,+0.17,58,161,36.0,277,31,45.5,38.4,58,60.3,47.0,145,8,5.5,5,0.50,10.8,Matches
108,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-190,1992,10.0,9,1,0,1,1,10.8,0.26,+2.8,+0.28,42,95,44.2,300,37,25.3,29.3,42,45.2,38.9,110,22,20.0,34,3.40,17.9,Matches
109,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-232,1992,11.0,19,1,0,3,1,19.0,0.33,+1.0,+0.09,60,160,37.5,269,49,37.5,36.0,99,59.6,48.1,192,10,5.2,10,0.91,11.6,Matches
110,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-114,1992,11.0,17,3,0,1,0,18.4,0.29,+1.4,+0.13,72,240,30.0,296,39,57.8,40.9,77,89.6,59.7,185,16,8.6,6,0.55,10.7,Matches
111,José Sá,pt POR,GK,Wolves,eng Premier League,32-313,1993,4.0,11,0,1,1,0,7.1,0.44,-3.9,-0.99,23,60,38.3,108,14,41.7,37.0,23,65.2,53.5,46,4,8.7,4,1.00,14.2,Matches
112,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-215,1994,13.0,18,3,0,1,0,17.7,0.30,-0.3,-0.02,46,157,29.3,471,55,28.5,31.5,73,31.5,32.3,190,9,4.7,14,1.08,17.0,Matches
113,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28-008,1997,11.0,9,0,0,1,0,8.1,0.29,-0.9,-0.08,45,174,25.9,415,54,34.7,34.0,43,69.8,55.0,119,19,16.0,9,0.81,12.5,Matches
114,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-229,2003,4.0,13,0,1,2,0,9.2,0.45,-3.8,-0.94,7,53,13.2,142,19,31.0,31.9,20,45.0,39.9,38,3,7.9,5,1.25,15.3,Matches
115,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23-158,2002,6.0,9,0,0,1,0,6.9,0.33,-2.1,-0.35,14,47,29.8,141,20,24.8,29.4,31,38.7,37.2,71,1,1.4,6,1.00,18.2,Matches
116,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30-215,1995,11.0,19,3,2,5,0,20.4,0.32,+1.4,+0.13,102,251,40.6,426,33,40.8,36.4,95,81.1,58.2,195,4,2.1,9,0.82,14.5,Matches
117,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-273,1992,12.0,20,3,1,5,0,19.7,0.29,-0.3,-0.02,53,181,29.3,266,42,54.9,40.6,78,44.9,38.7,172,8,4.7,11,0.92,13.8,Matches
118,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27-318,1998,12.0,16,0,1,2,0,14.9,0.26,-1.1,-0.09,92,220,41.8,337,41,51.0,39.2,68,70.6,51.7,182,12,6.6,2,0.17,8.3,Matches
119,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34-269,1991,4.0,7,0,0,1,0,7.0,0.32,0.0,+0.01,21,72,29.2,113,17,44.2,36.9,44,50.0,43.5,70,2,2.9,3,0.75,12.5,Matches
120,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28-168,1997,13.0,17,0,0,2,1,15.7,0.34,-0.3,-0.02,52,185,28.1,367,57,37.6,34.3,62,75.8,57.0,148,11,7.4,30,2.31,18.4,Matches
121,Antonio Sivera,es ESP,GK,Alavés,es La Liga,29-107,1996,13.0,12,1,0,0,0,12.6,0.30,+0.6,+0.05,101,237,42.6,265,36,59.6,44.3,94,84.0,60.3,172,8,4.7,5,0.38,10.1,Matches
122,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34-205,1991,9.1,8,2,0,1,0,8.2,0.25,+0.2,+0.02,36,111,32.4,378,43,24.3,30.9,44,43.2,40.7,87,6,6.9,7,0.77,11.9,Matches
123,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-344,1988,10.0,12,2,0,1,0,10.3,0.28,-1.7,-0.17,31,74,41.9,338,37,18.6,27.5,41,26.8,28.5,94,2,2.1,11,1.10,22.0,Matches
124,David Soria,es ESP,GK,Getafe,es La Liga,32-236,1993,13.0,15,1,0,3,2,14.8,0.26,+1.8,+0.14,108,310,34.8,273,13,83.9,51.6,88,92.0,61.0,138,4,2.9,14,1.08,16.6,Matches
125,Zion Suzuki,jp JPN,GK,Parma,it Serie A,23-097,2002,11.0,14,1,0,3,0,12.6,0.22,-1.4,-0.13,98,249,39.4,355,43,48.7,41.9,91,83.5,61.4,168,11,6.5,19,1.73,17.0,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
126,Mile Svilar,rs SRB,GK,Roma,it Serie A,26-091,1999,12.0,6,0,0,1,0,10.4,0.26,+4.4,+0.37,53,156,34.0,364,66,29.1,33.0,82,61.0,49.0,123,10,8.1,7,0.58,13.2,Matches
127,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35-222,1990,6.0,11,1,0,1,0,12.7,0.40,+1.7,+0.29,10,41,24.4,184,29,19.0,25.9,30,20.0,30.2,54,1,1.9,25,4.17,23.3,Matches
128,Arnau Tenas,es ESP,GK,Villarreal,es La Liga,24-180,2001,3.0,6,1,0,0,0,4.3,0.29,-1.7,-0.58,10,50,20.0,64,6,46.9,37.8,26,76.9,58.2,52,3,5.8,4,1.33,12.3,Matches
129,Pietro Terracciano,it ITA,GK,Milan,it Serie A,35-263,1990,1.4,0,0,0,0,0,0.2,0.05,+0.2,+0.13,7,9,77.8,30,5,20.0,30.6,6,50.0,43.3,19,1,5.3,0,0.00,8.3,Matches
130,James Trafford,eng ENG,GK,Manchester City,eng Premier League,23-047,2002,3.0,4,1,0,0,0,5.9,0.34,+1.9,+0.62,10,36,27.8,103,11,27.2,29.6,15,53.3,44.9,26,2,7.7,14,4.67,18.1,Matches
131,Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35-141,1990,3.0,6,2,0,2,0,6.9,0.39,+0.9,+0.30,10,46,21.7,112,12,34.8,34.2,24,29.2,34.4,38,3,7.9,4,1.33,13.9,Matches
132,Stefano Turati,it ITA,GK,Sassuolo,it Serie A,24-082,2001,1.0,2,0,1,0,0,1.2,0.31,-0.8,-0.76,0,16,0.0,23,4,56.5,40.7,3,100.0,67.3,9,1,11.1,1,1.00,10.0,Matches
133,Jonas Urbig,de GER,GK,Bayern Munich,de Bundesliga,22-110,2003,1.0,0,0,0,0,0,0.0,,0.0,0.00,1,2,50.0,28,4,7.1,22.3,0,,,3,1,33.3,7,7.00,22.3,Matches
134,Álvaro Vallés,es ESP,GK,Betis,es La Liga,28-124,1997,6.0,7,0,0,3,1,6.1,0.28,+0.1,+0.01,15,56,26.8,182,24,26.4,30.6,34,23.5,32.4,76,3,3.9,7,1.17,13.3,Matches
135,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29-359,1995,11.0,21,0,0,1,0,22.1,0.34,+1.1,+0.10,26,91,28.6,398,46,22.1,27.8,12,25.0,30.4,74,9,12.2,14,1.27,14.1,Matches
136,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,23-100,2002,12.0,16,2,0,1,2,16.4,0.34,+2.4,+0.20,32,137,23.4,455,46,25.1,29.9,31,74.2,52.4,148,7,4.7,10,0.83,14.2,Matches
137,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,29-050,1996,12.0,14,0,0,2,0,16.8,0.34,+2.8,+0.23,44,149,29.5,449,62,28.3,30.8,55,40.0,35.7,147,5,3.4,24,2.00,16.9,Matches
138,Odysseas Vlachodimos,gr GRE,GK,Sevilla,es La Liga,31-214,1994,9.0,14,3,0,0,0,16.0,0.30,+2.0,+0.22,44,121,36.4,260,47,36.2,34.6,48,56.3,44.8,118,4,3.4,5,0.56,11.1,Matches
139,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,31-029,1994,8.7,11,0,0,1,1,9.1,0.26,-0.9,-0.10,71,226,31.4,293,18,62.5,45.2,63,68.3,54.9,111,9,8.1,16,1.83,14.9,Matches
140,Michael Zetterer,de GER,GK,Eint Frankfurt,de Bundesliga,30-137,1995,7.0,9,1,2,0,0,7.4,0.25,-1.6,-0.22,32,83,38.6,249,46,28.1,31.5,31,41.9,40.6,83,7,8.4,10,1.43,15.3,Matches
