Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Unnamed: 34_level_0_Matches
23,Karl Darlow,wls WAL,GK,Leeds United,eng Premier League,35-049,1990,5.0,8,0,1,0,1,5.2,0.26,-1.8,-0.37,30,100,30.0,181,28,43.6,37.7,26,80.8,56.9,82,5,6.1,4,0.80,11.4,Matches
24,Jeffrey De Lange,nl NED,GK,Marseille,fr Ligue 1,27-239,1998,3.0,3,0,0,0,0,3.3,0.30,+0.3,+0.09,4,15,26.7,82,7,14.6,23.2,7,42.9,36.6,33,0,0.0,2,0.67,14.6,Matches
25,Théo De Percin,mq MTQ,GK,Auxerre,fr Ligue 1,24-297,2001,2.5,4,0,0,0,0,3.0,0.28,-1.0,-0.42,16,52,30.8,73,6,56.2,42.4,12,91.7,60.5,41,3,7.3,5,1.99,16.6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Rémy Descamps,fr FRA,GK,Lyon,fr Ligue 1,29-154,1996,4.0,3,0,0,1,1,4.8,0.40,+2.8,+0.71,5,27,18.5,112,15,19.6,28.4,13,38.5,38.7,59,2,3.4,3,0.75,12.9,Matches
27,Michele Di Gregorio,it ITA,GK,Juventus,it Serie A,28-122,1997,11.0,10,1,0,2,0,9.6,0.28,-0.4,-0.04,32,85,37.6,302,47,22.2,30.1,43,41.9,38.0,152,10,6.6,9,0.82,12.7,Matches
28,Mory Diaw,sn SEN,GK,Le Havre,fr Ligue 1,32-157,1993,13.0,20,3,0,2,1,16.6,0.27,-2.4,-0.19,64,175,36.6,418,65,32.3,31.7,92,43.5,36.5,203,22,10.8,15,1.15,13.2,Matches
29,Yehvann Diouf,sn SEN,GK,Nice,fr Ligue 1,26-010,1999,13.0,23,4,0,4,0,23.8,0.27,+0.8,+0.06,43,123,35.0,370,69,25.4,29.4,49,59.2,42.3,229,17,7.4,8,0.62,10.9,Matches
30,Matías Dituro,ar ARG,GK,Elche,es La Liga,38-202,1987,6.0,6,1,0,0,0,5.5,0.23,-0.5,-0.08,55,123,44.7,341,20,31.4,30.9,28,57.1,46.2,75,9,12.0,22,3.67,16.9,Matches
31,Marko Dmitrović,rs SRB,GK,Espanyol,es La Liga,33-306,1992,13.0,16,1,1,2,0,14.9,0.26,-1.1,-0.08,66,203,32.5,314,51,50.6,40.0,70,62.9,51.8,178,12,6.7,12,0.92,13.4,Matches
