Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
36,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,33-286,1992,7,7,582,6.5,11,1.70,35,24,71.4,1,3,3,1,14.3,1,1,0,0,Matches
37,David de Gea,es ESP,GK,Fiorentina,it Serie A,34-342,1990,6,6,540,6.0,8,1.33,28,20,75.0,0,3,3,2,33.3,1,1,0,0,Matches
38,Kamil Grabara,pl POL,GK,Wolfsburg,de Bundesliga,26-280,1999,6,6,540,6.0,10,1.67,28,18,67.9,1,2,3,0,0.0,2,1,0,1,Matches
39,Dominik Greif,sk SVK,GK,Lyon,fr Ligue 1,28-192,1997,3,3,270,3.0,2,0.67,8,7,75.0,2,0,1,2,66.7,0,0,0,0,Matches
40,Péter Gulácsi,hu HUN,GK,RB Leipzig,de Bundesliga,35-162,1990,6,6,540,6.0,8,1.33,22,14,63.6,4,1,1,3,50.0,0,0,0,0,Matches
41,Dean Henderson,eng ENG,GK,Crystal Palace,eng Premier League,28-217,1997,7,7,630,7.0,5,0.71,21,16,81.0,3,3,1,3,42.9,1,1,0,0,Matches
42,Mads Hermansen,dk DEN,GK,West Ham,eng Premier League,25-096,2000,4,4,360,4.0,11,2.75,20,9,45.0,1,0,3,1,25.0,0,0,0,0,Matches
43,Sergio Herrera,es ESP,GK,Osasuna,es La Liga,32-132,1993,8,8,720,8.0,8,1.00,36,28,80.6,3,1,4,2,25.0,1,1,0,0,Matches
44,Daniel Heuer Fernandes,pt POR,GK,Hamburger SV,de Bundesliga,32-336,1992,6,6,540,6.0,8,1.33,35,26,80.0,2,2,2,3,50.0,2,1,1,0,Matches
45,Lukáš Hrádecký,fi FIN,GK,Monaco,fr Ligue 1,35-325,1989,3,3,258,2.9,4,1.40,8,4,62.5,2,0,1,0,0.0,2,1,0,1,Matches
46,Franco Israel,uy URU,GK,Torino,it Serie A,25-176,2000,6,6,540,6.0,13,2.17,28,15,60.7,1,2,3,2,33.3,2,2,0,0,Matches
47,Karl Jakob Hein,ee EST,GK,Werder Bremen,de Bundesliga,23-185,2002,2,2,180,2.0,4,2.00,15,11,80.0,1,0,1,1,50.0,1,1,0,0,Matches
48,Karl-Johan Johnsson,se SWE,GK,Strasbourg,fr Ligue 1,35-260,1990,1,1,90,1.0,0,0.00,2,2,100.0,1,0,0,1,100.0,0,0,0,0,Matches
49,Sam Johnstone,eng ENG,GK,Wolves,eng Premier League,32-204,1993,3,3,270,3.0,3,1.00,13,10,76.9,0,2,1,0,0.0,0,0,0,0,Matches
50,Luiz Lúcio Reis Júnior,br BRA,GK,Villarreal,es La Liga,24-274,2001,6,6,540,6.0,4,0.67,18,13,83.3,4,1,1,3,50.0,2,1,1,0,Matches
51,Filip Jørgensen,dk DEN,GK,Chelsea,eng Premier League,23-182,2002,1,0,84,0.9,2,2.14,3,1,33.3,0,0,0,0,,0,0,0,0,Matches
