Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
39,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-258,1995,4.1,20,15,17,3,0,11,72.7,3,0,0,0,4,24,12,0,Matches
40,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-007,1996,3.0,6,3,2,2,2,4,100.0,0,1,0,1,5,11,14,0,Matches
41,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-182,2006,0.8,1,1,0,1,0,1,100.0,0,1,1,0,2,3,2,0,Matches
42,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-131,2001,2.2,9,6,7,2,0,7,42.9,4,4,0,4,5,14,9,0,Matches
43,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-111,1998,4.4,3,3,2,1,0,4,75.0,1,2,0,2,1,4,0,0,Matches
44,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-004,2004,0.0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
45,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-181,1998,1.3,4,3,0,3,1,3,100.0,0,1,1,0,1,5,4,0,Matches
46,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-232,1994,6.9,6,4,2,4,0,5,20.0,4,2,1,1,1,7,11,0,Matches
47,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-088,1995,4.0,6,4,2,2,2,3,33.3,2,1,0,1,4,10,15,0,Matches
48,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-239,1995,1.3,1,1,1,0,0,1,100.0,0,1,0,1,1,2,5,0,Matches
49,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-182,2004,1.5,5,2,1,4,0,1,100.0,0,5,2,3,0,5,1,0,Matches
50,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,20-324,2004,4.3,11,8,5,5,1,4,25.0,3,3,1,2,3,14,3,0,Matches
51,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,23-232,2002,6.0,10,7,1,4,5,11,18.2,9,5,0,5,4,14,6,0,Matches
52,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,23-325,2001,5.0,10,4,7,1,2,9,55.6,4,7,3,4,5,15,22,1,Matches
53,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-004,1992,2.2,2,1,1,1,0,3,33.3,2,5,1,4,6,8,6,0,Matches
54,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,30-179,1995,0.3,1,0,1,0,0,1,100.0,0,0,0,0,1,2,3,0,Matches
55,David Alaba,at AUT,DF,Real Madrid,es La Liga,33-113,1992,0.1,0,0,0,0,0,0,,0,2,2,0,0,0,1,0,Matches
56,Carlos Alcaraz,ar ARG,"MF,FW",Everton,eng Premier League,22-319,2002,1.8,6,3,1,3,2,8,62.5,3,3,1,2,0,6,0,1,Matches
57,Omar Alderete,py PAR,DF,Sunderland,eng Premier League,28-293,1996,6.4,11,4,6,5,0,9,77.8,2,6,6,0,10,21,37,0,Matches
58,Alexandre Alemão,br BRA,FW,Rayo Vallecano,es La Liga,27-197,1998,3.1,1,0,1,0,0,5,20.0,4,1,1,0,0,1,3,0,Matches
59,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,27-283,1998,5.7,9,6,3,6,0,6,66.7,2,4,1,3,2,11,8,1,Matches
60,Trent Alexander-Arnold,eng ENG,DF,Real Madrid,es La Liga,27-008,1998,1.7,2,1,1,1,0,4,50.0,2,2,1,1,3,5,1,0,Matches
61,Alfon,es ESP,"FW,DF",Sevilla,es La Liga,26-164,1999,1.8,1,0,0,0,1,2,50.0,1,0,0,0,1,2,5,0,Matches
62,Mohamed Ali Cho,fr FRA,FW,Nice,fr Ligue 1,21-269,2004,1.7,1,0,0,1,0,0,,0,2,0,2,0,1,0,0,Matches
63,Alisson,br BRA,GK,Liverpool,eng Premier League,33-013,1992,6.0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
64,Jim Allevinah,ga GAB,"FW,DF",Angers,fr Ligue 1,30-230,1995,0.9,1,0,1,0,0,1,100.0,0,2,1,1,0,1,1,0,Matches
65,Thiago Almada,ar ARG,"MF,FW",Atlético Madrid,es La Liga,24-172,2001,2.3,3,2,0,3,0,3,33.3,2,1,1,0,1,4,0,0,Matches
66,Domingos André Ribeiro Almeida,pt POR,"FW,MF",Valencia,es La Liga,25-138,2000,1.0,1,0,0,1,0,2,50.0,1,1,0,1,1,2,0,0,Matches
67,Pontus Almqvist,se SWE,"DF,MF",Parma,it Serie A,26-097,1999,3.2,7,5,4,3,0,6,33.3,4,5,0,5,2,9,1,0,Matches
68,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,34-291,1990,4.3,9,4,4,2,3,5,60.0,2,2,1,1,5,14,32,0,Matches
69,Adrià Altimira,es ESP,DF,Villarreal,es La Liga,24-201,2001,0.1,1,1,1,0,0,1,100.0,0,0,0,0,0,1,0,0,Matches
70,Sergi Altimira,es ESP,MF,Betis,es La Liga,24-051,2001,5.0,22,11,8,13,1,14,64.3,5,5,3,2,11,33,8,0,Matches
71,Carlos Álvarez,es ESP,MF,Levante,es La Liga,22-070,2003,5.4,11,4,3,7,1,11,36.4,7,0,0,0,2,13,2,1,Matches
72,Hugo Álvarez,es ESP,"FW,DF",Celta Vigo,es La Liga,22-105,2003,3.4,7,5,3,2,2,3,66.7,1,3,0,3,3,10,5,0,Matches
73,Julián Álvarez,ar ARG,FW,Atlético Madrid,es La Liga,25-257,2000,6.9,3,1,0,3,0,5,20.0,4,5,0,5,2,5,1,0,Matches
74,Skelly Alvero,fr FRA,DF,Werder Bremen,de Bundesliga,23-164,2002,0.4,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Matches
