Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Unnamed: 9_level_0_Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Unnamed: 24_level_0_Matches
36,Pablo Agudín,es ESP,"MF,FW",Oviedo,es La Liga,18-023,2007,0.6,10,10,0,0,0,0,0,0,0,0,0,0,4,0,0,Matches
37,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,29-246,1996,2.0,119,113,6,2,0,3,2,2,0,0,0,0,106,0,1,Matches
38,Nayef Aguerd,ma MAR,DF,Marseille,fr Ligue 1,29-246,1996,8.7,835,807,27,14,0,4,0,1,0,0,0,0,793,1,1,Matches
39,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,32-219,1993,11.8,653,552,95,2,0,0,59,93,0,0,0,0,517,6,16,Matches
40,Honest Ahanor,it ITA,DF,Atalanta,it Serie A,17-281,2008,5.7,289,283,6,5,0,1,1,0,0,0,0,0,261,0,2,Matches
41,Lucas Ahijado,es ESP,DF,Oviedo,es La Liga,30-305,1995,4.1,193,149,43,0,2,2,4,43,0,0,0,0,146,1,5,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,30-063,1995,1.2,41,39,2,1,0,0,0,0,0,0,0,0,37,0,1,Matches
43,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,29-054,1996,3.0,157,131,26,5,0,1,13,20,1,0,0,0,125,0,5,Matches
44,Abdelhamid Ait Boudlal,ma MAR,DF,Rennes,fr Ligue 1,19-229,2006,5.2,236,222,14,13,0,5,2,1,0,0,0,0,202,0,2,Matches
45,Rayan Aït-Nouri,dz ALG,DF,Manchester City,eng Premier League,24-178,2001,2.3,125,104,21,2,0,0,2,19,0,0,0,0,109,0,6,Matches
46,Tosin Aiyegun,bj BEN,"MF,FW",Lorient,fr Ligue 1,27-158,1998,7.9,134,127,6,0,1,0,4,4,0,0,0,0,100,1,6,Matches
47,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,21-051,2004,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
48,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,27-228,1998,5.2,171,152,18,0,0,1,2,18,0,0,0,0,121,1,3,Matches
49,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,31-279,1994,13.9,349,343,6,1,1,7,4,0,0,0,0,0,243,0,3,Matches
50,Manuel Akanji,ch SUI,DF,Inter,it Serie A,30-135,1995,11.0,829,778,49,23,0,10,3,26,0,0,0,0,754,2,6,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
51,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,30-286,1995,2.3,171,157,14,6,0,2,2,5,0,0,0,0,155,0,0,Matches
52,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,21-229,2004,2.0,64,56,6,3,1,0,9,0,3,2,0,0,48,2,1,Matches
53,Ebenezer Akinsanmiro,ng NGA,MF,Pisa,it Serie A,21-006,2004,8.3,239,226,9,3,2,2,7,1,0,0,0,0,200,4,1,Matches
54,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,23-279,2002,11.4,509,486,21,4,7,4,21,9,6,1,4,0,415,2,10,Matches
55,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,24-007,2001,12.0,659,595,62,38,0,8,23,3,11,1,9,0,530,2,6,Matches
56,Jean-Daniel Akpa-Akpro,ci CIV,MF,Hellas Verona,it Serie A,33-051,1992,5.5,121,116,4,2,0,0,3,2,0,0,0,0,84,1,6,Matches
