Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
253,Mika Biereth,dk DEN,"FW,MF",Monaco,fr Ligue 1,22-291,2003,7.2,75,124,60.5,1084,234,42,66,63.6,27,37,73.0,1,2,50.0,0,0.4,0.6,-0.4,6,4,6,1,9,Matches
254,Pedro Bigas,es ESP,DF,Elche,es La Liga,35-072,1990,9.3,620,698,88.8,10683,3841,278,287,96.9,289,308,93.8,45,86,52.3,1,0.2,0.2,+0.8,3,62,4,2,41,Matches
255,Jaka Bijol,si SVN,DF,Leeds United,eng Premier League,26-294,1999,2.9,199,214,93.0,3670,1225,68,69,98.6,113,115,98.3,16,25,64.0,0,0.1,0.0,-0.1,1,9,0,0,5,Matches
256,Cristiano Biraghi,it ITA,"DF,MF",Torino,it Serie A,33-086,1992,5.1,158,224,70.5,3077,1482,58,66,87.9,72,97,74.2,24,49,49.0,0,0.5,0.7,-0.5,7,14,9,4,22,Matches
257,Tom Bischof,de GER,"DF,MF",Bayern Munich,de Bundesliga,20-151,2005,4.5,375,407,92.1,5213,1326,230,236,97.5,123,133,92.5,10,16,62.5,3,1.2,1.0,+1.8,11,26,7,2,29,Matches
258,Leonardo Bittencourt,de GER,MF,Werder Bremen,de Bundesliga,31-342,1993,2.0,117,139,84.2,1887,504,54,61,88.5,53,56,94.6,5,14,35.7,0,0.2,0.4,-0.2,2,14,1,0,11,Matches
259,Emmanuel Biumla,fr FRA,DF,Angers,fr Ligue 1,20-202,2005,1.5,61,73,83.6,1054,419,22,26,84.6,37,38,97.4,2,6,33.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
260,Marco Bizot,nl NED,GK,Aston Villa,eng Premier League,34-261,1991,2.0,46,67,68.7,1272,836,10,10,100.0,22,22,100.0,14,35,40.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
261,Antonio Blanco,es ESP,MF,Alavés,es La Liga,25-126,2000,11.4,586,706,83.0,9962,2989,273,305,89.5,243,285,85.3,50,74,67.6,0,0.2,0.5,-0.2,5,66,3,0,71,Matches
262,Ludovic Blas,fr FRA,"MF,DF",Rennes,fr Ligue 1,27-330,1997,6.7,229,279,82.1,3956,830,119,127,93.7,81,96,84.4,23,38,60.5,1,1.7,0.9,-0.7,14,17,14,3,40,Matches
263,Daley Blind,nl NED,DF,Girona,es La Liga,35-262,1990,10.6,608,682,89.1,11234,3978,264,273,96.7,282,296,95.3,59,99,59.6,0,0.2,0.4,-0.2,5,55,6,1,54,Matches
264,Adam Boayar,ma MAR,MF,Elche,es La Liga,20-044,2005,0.1,9,9,100.0,160,31,4,4,100.0,3,3,100.0,2,2,100.0,0,0.0,0.0,0.0,0,3,1,0,2,Matches
265,Oscar Bobb,no NOR,"MF,FW",Manchester City,eng Premier League,22-137,2003,5.2,195,218,89.4,2572,565,134,141,95.0,52,58,89.7,4,8,50.0,1,0.7,1.2,+0.3,10,6,16,2,18,Matches
266,Ben Bobzien,de GER,FW,Mainz 05,de Bundesliga,22-211,2003,0.1,9,11,81.8,126,15,6,7,85.7,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
267,Arnaud Bodart,be BEL,GK,Lille,fr Ligue 1,27-260,1998,2.0,62,77,80.5,1613,1167,14,15,93.3,30,31,96.8,17,30,56.7,0,0.0,0.0,0.0,0,4,0,0,0,Matches
268,Sacha Boey,fr FRA,DF,Bayern Munich,de Bundesliga,25-074,2000,5.1,287,338,84.9,3661,779,175,193,90.7,85,98,86.7,5,13,38.5,0,0.2,0.3,-0.2,4,23,1,1,22,Matches
269,Jeremie Boga,ci CIV,"FW,MF",Nice,fr Ligue 1,28-327,1997,7.0,163,203,80.3,2372,451,94,109,86.2,52,60,86.7,12,18,66.7,2,1.0,0.6,+1.0,12,13,5,0,19,Matches
270,Lamare Bogarde,nl NED,MF,Aston Villa,eng Premier League,21-325,2004,3.3,157,170,92.4,2443,612,75,79,94.9,71,76,93.4,6,7,85.7,0,0.0,0.1,0.0,2,14,1,0,9,Matches
271,Jayden Bogle,eng ENG,DF,Leeds United,eng Premier League,25-122,2000,11.6,329,445,73.9,5564,1936,159,181,87.8,130,168,77.4,28,59,47.5,0,0.3,0.5,-0.3,4,28,12,5,34,Matches
272,Adama Boiro,es ESP,"DF,MF",Athletic Club,es La Liga,23-157,2002,0.8,43,47,91.5,691,123,17,18,94.4,23,25,92.0,1,2,50.0,0,0.1,0.0,-0.1,1,3,1,1,6,Matches
273,Morgan Bokelé Mputu,cm CMR,"FW,DF",Metz,fr Ligue 1,21-258,2004,2.3,72,90,80.0,1129,317,45,52,86.5,19,25,76.0,7,10,70.0,0,0.1,0.2,-0.1,2,4,3,2,9,Matches
