Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Unnamed: 8_level_0_90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Unnamed: 23_level_0_Ast,Unnamed: 24_level_0_xAG,Expected_xA,Expected_A-xAG,Unnamed: 27_level_0_KP,Unnamed: 28_level_0_1/3,Unnamed: 29_level_0_PPA,Unnamed: 30_level_0_CrsPA,Unnamed: 31_level_0_PrgP,Unnamed: 32_level_0_Matches
350,Dominic Calvert-Lewin,eng ENG,FW,Leeds United,eng Premier League,28-255,1997,7.0,72,106,67.9,865,167,46,64,71.9,17,25,68.0,2,4,50.0,0,0.9,0.5,-0.9,8,7,3,0,7,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
351,Dani Calvo,es ESP,DF,Oviedo,es La Liga,31-239,1994,7.0,285,318,89.6,5477,1905,88,93,94.6,171,177,96.6,23,39,59.0,0,0.0,0.0,0.0,0,12,0,0,11,Matches
352,Adama Camara,fr FRA,"MF,DF",Paris FC,fr Ligue 1,29-039,1996,9.0,290,339,85.5,4956,1048,133,152,87.5,128,145,88.3,22,27,81.5,0,0.3,0.3,-0.3,6,16,4,0,23,Matches
353,Amady Camara,ml MLI,"FW,MF",Nantes,fr Ligue 1,20-182,2005,1.7,32,54,59.3,553,137,18,24,75.0,10,18,55.6,4,8,50.0,0,0.1,0.1,-0.1,2,1,3,1,2,Matches
354,Dawda Camara,mr MTN,FW,Girona,es La Liga,23-022,2002,0.8,7,10,70.0,148,10,2,3,66.7,4,4,100.0,1,2,50.0,0,0.2,0.0,-0.2,2,1,1,0,2,Matches
355,Lamine Camara,sn SEN,MF,Monaco,fr Ligue 1,21-329,2004,3.9,215,258,83.3,3480,927,109,117,93.2,84,94,89.4,17,36,47.2,3,1.5,1.1,+1.5,9,27,3,1,26,Matches
356,Mahdi Camara,fr FRA,MF,Rennes,fr Ligue 1,27-149,1998,9.0,306,355,86.2,4256,923,176,193,91.2,114,132,86.4,4,7,57.1,1,1.5,1.0,-0.5,9,28,6,1,33,Matches
357,Ousmane Camara,ml MLI,DF,Angers,fr Ligue 1,22-265,2003,11.7,426,484,88.0,8116,2661,130,139,93.5,263,277,94.9,31,64,48.4,0,0.1,0.0,-0.1,2,6,0,0,9,Matches
358,Francesco Camarda,it ITA,FW,Lecce,it Serie A,17-261,2008,4.4,37,53,69.8,555,80,19,28,67.9,13,15,86.7,2,3,66.7,0,0.0,0.0,0.0,0,3,0,0,5,Matches
359,Eduardo Camavinga,fr FRA,MF,Real Madrid,es La Liga,23-016,2002,4.2,233,251,92.8,4001,959,115,120,95.8,96,99,97.0,18,26,69.2,0,0.7,0.8,-0.7,4,39,4,0,25,Matches
360,Nicolò Cambiaghi,it ITA,FW,Bologna,it Serie A,24-333,2000,6.9,131,166,78.9,2139,466,72,82,87.8,53,66,80.3,5,12,41.7,4,1.9,1.4,+2.1,13,10,11,5,24,Matches
361,Andrea Cambiaso,it ITA,"DF,FW",Juventus,it Serie A,25-279,2000,9.2,457,539,84.8,7707,1934,240,267,89.9,164,191,85.9,44,60,73.3,1,1.6,1.6,-0.6,18,26,13,9,32,Matches
362,Axel Camblan,fr FRA,"FW,MF",Brest,fr Ligue 1,22-088,2003,0.1,3,3,100.0,38,0,2,2,100.0,1,1,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
363,Sergio Camello,es ESP,"FW,MF",Rayo Vallecano,es La Liga,24-289,2001,2.4,51,61,83.6,664,78,31,36,86.1,16,20,80.0,2,2,100.0,0,0.1,0.0,-0.1,3,4,0,0,3,Matches
364,Cole Campbell,us USA,FW,Dortmund,de Bundesliga,19-279,2006,0.2,4,7,57.1,54,8,3,3,100.0,1,2,50.0,0,0,,0,0.1,0.2,-0.1,1,0,0,0,0,Matches
365,Emre Can,de GER,DF,Dortmund,de Bundesliga,31-318,1994,2.0,110,131,84.0,2092,902,35,39,89.7,64,70,91.4,10,20,50.0,0,0.0,0.2,0.0,0,12,1,0,12,Matches
366,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,23-287,2002,4.6,91,121,75.2,1209,317,56,69,81.2,33,41,80.5,0,3,0.0,0,0.3,0.8,-0.3,4,4,2,0,14,Matches
367,Fali Candé,gw GNB,DF,Sassuolo,it Serie A,27-306,1998,4.1,126,161,78.3,2050,759,54,58,93.1,61,68,89.7,6,23,26.1,0,0.0,0.0,0.0,1,8,0,0,8,Matches
368,Simone Canestrelli,it ITA,DF,Pisa,it Serie A,25-076,2000,12.0,356,446,79.8,6484,2492,131,151,86.8,182,211,86.3,32,63,50.8,0,0.1,0.1,-0.1,4,20,0,0,38,Matches
369,Jaydee Canvot,fr FRA,DF,Crystal Palace,eng Premier League,19-120,2006,1.1,46,51,90.2,848,346,18,19,94.7,25,26,96.2,3,4,75.0,0,0.0,0.1,0.0,0,1,1,0,3,Matches
370,Jaydee Canvot,fr FRA,"MF,DF",Toulouse,fr Ligue 1,19-120,2006,2.0,97,106,91.5,1732,439,33,38,86.8,60,62,96.8,4,6,66.7,0,0.0,0.0,0.0,0,3,0,0,3,Matches
371,Nicolás Capaldo,ar ARG,"DF,MF",Hamburger SV,de Bundesliga,28-073,1997,7.2,237,304,78.0,4041,1344,103,116,88.8,112,138,81.2,15,30,50.0,1,0.3,0.8,+0.7,4,19,4,1,31,Matches
372,Pierrick Capelle,fr FRA,MF,Angers,fr Ligue 1,38-225,1987,0.6,17,23,73.9,302,142,8,8,100.0,7,9,77.8,1,3,33.3,0,0.2,0.2,-0.2,2,1,2,1,2,Matches
373,Elia Caprile,it ITA,GK,Cagliari,it Serie A,24-093,2001,12.0,273,399,68.4,7665,5477,54,54,100.0,127,128,99.2,90,214,42.1,0,0.0,0.0,0.0,0,8,0,0,0,Matches
374,Maxence Caqueret,fr FRA,"MF,FW",Como,it Serie A,25-284,2000,5.2,268,312,85.9,4030,1339,138,151,91.4,108,121,89.3,13,23,56.5,1,0.8,1.0,+0.2,10,29,8,2,32,Matches
375,Antonio Caracciolo,it ITA,DF,Pisa,it Serie A,35-149,1990,12.0,360,435,82.8,6707,2477,120,135,88.9,194,216,89.8,35,64,54.7,0,0.0,0.0,0.0,0,13,1,0,19,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
376,Valentin Carboni,ar ARG,"MF,FW",Genoa,it Serie A,20-266,2005,3.9,109,144,75.7,1604,481,61,72,84.7,39,47,83.0,5,9,55.6,0,0.2,0.3,-0.2,4,6,8,0,17,Matches
377,Sergi Cardona,es ESP,DF,Villarreal,es La Liga,26-141,1999,8.1,323,407,79.4,5172,1633,170,188,90.4,127,162,78.4,20,40,50.0,2,1.1,1.7,+0.9,9,17,13,7,24,Matches
378,Fábio Cardoso,pt POR,DF,Sevilla,es La Liga,31-221,1994,1.4,26,32,81.3,613,229,5,6,83.3,14,15,93.3,6,10,60.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
379,Johnny Cardoso,us USA,MF,Atlético Madrid,es La Liga,24-067,2001,2.0,94,111,84.7,1708,457,39,43,90.7,47,52,90.4,7,11,63.6,0,0.0,0.1,0.0,1,7,1,1,10,Matches
380,Igor Carioca,br BRA,DF,Lorient,fr Ligue 1,29-097,1996,6.5,278,329,84.5,4520,1183,138,149,92.6,117,134,87.3,16,34,47.1,0,0.3,0.4,-0.3,6,10,5,1,23,Matches
381,Patrik Carlgren,se SWE,GK,Nantes,fr Ligue 1,33-322,1992,1.0,20,38,52.6,584,347,2,2,100.0,9,9,100.0,9,27,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches
382,Diego Carlos,br BRA,DF,Como,it Serie A,32-256,1993,8.4,470,508,92.5,9011,3106,147,153,96.1,275,285,96.5,43,64,67.2,0,0.0,0.1,0.0,1,19,0,0,24,Matches
383,Kevin Carlos,es ESP,FW,Nice,fr Ligue 1,24-230,2001,5.2,50,79,63.3,609,82,35,47,74.5,10,20,50.0,1,2,50.0,0,0.1,0.1,-0.1,1,3,1,1,4,Matches
384,David Carmo,ao ANG,DF,Oviedo,es La Liga,26-130,1999,8.1,402,468,85.9,9396,3071,72,76,94.7,257,269,95.5,72,114,63.2,0,0.0,0.1,0.0,1,34,1,0,30,Matches
385,Carmona,es ESP,"DF,MF",Sevilla,es La Liga,23-301,2002,10.2,428,529,80.9,7160,2370,211,232,90.9,172,203,84.7,35,63,55.6,3,1.2,0.6,+1.8,7,31,4,2,27,Matches
386,Marco Carnesecchi,it ITA,GK,Atalanta,it Serie A,25-148,2000,12.0,339,445,76.2,9504,6829,53,53,100.0,183,184,99.5,103,206,50.0,0,0.0,0.0,0.0,0,5,0,0,0,Matches
387,Sergio Carreira,es ESP,"MF,DF",Celta Vigo,es La Liga,25-044,2000,9.9,490,591,82.9,8259,2769,221,246,89.8,229,261,87.7,31,53,58.5,1,0.3,0.4,+0.7,4,33,14,0,55,Matches
388,Álvaro Carreras,es ESP,DF,Real Madrid,es La Liga,22-248,2003,12.9,869,981,88.6,13224,4234,489,514,95.1,312,349,89.4,45,72,62.5,0,0.8,0.9,-0.8,15,104,7,0,118,Matches
389,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,33-319,1992,4.2,232,261,88.9,3794,1025,107,116,92.2,97,105,92.4,20,22,90.9,0,0.5,0.7,-0.5,2,12,5,0,18,Matches
390,Fabio Carvalho,pt POR,"FW,MF",Brentford,eng Premier League,23-088,2002,1.1,21,31,67.7,339,105,12,15,80.0,3,5,60.0,5,8,62.5,0,0.0,0.0,0.0,0,0,1,0,2,Matches
391,Cesare Casadei,it ITA,MF,Torino,it Serie A,22-320,2003,10.9,300,382,78.5,4771,1242,152,178,85.4,127,150,84.7,14,29,48.3,0,0.6,0.8,-0.6,8,39,2,0,47,Matches
392,Marc Casado,es ESP,MF,Barcelona,es La Liga,22-073,2003,4.7,374,403,92.8,5878,1552,195,202,96.5,153,162,94.4,17,24,70.8,1,0.1,0.4,+0.9,7,34,4,1,26,Matches
393,Nicolò Casale,it ITA,DF,Bologna,it Serie A,27-285,1998,1.7,49,65,75.4,962,339,15,17,88.2,27,36,75.0,6,11,54.5,0,0.0,0.0,0.0,0,1,0,0,3,Matches
394,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,33-276,1992,7.5,335,408,82.1,5947,1720,156,174,89.7,129,146,88.4,42,63,66.7,1,0.7,0.5,+0.3,7,35,2,0,38,Matches
395,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,28-111,1997,11.7,472,605,78.0,8327,2352,198,215,92.1,217,253,85.8,45,110,40.9,0,1.0,1.0,-1.0,10,40,10,4,41,Matches
396,Josué Casimir,ht HAI,"MF,DF",Auxerre,fr Ligue 1,24-063,2001,9.4,236,329,71.7,3742,1087,129,158,81.6,77,106,72.6,20,43,46.5,0,0.3,0.7,-0.3,4,12,6,3,20,Matches
397,Cristian Cásseres Jr.,ve VEN,MF,Toulouse,fr Ligue 1,25-310,2000,11.0,406,527,77.0,7542,2611,164,192,85.4,187,230,81.3,49,80,61.3,0,1.2,1.4,-1.2,16,55,5,2,63,Matches
398,Timothy Castagne,be BEL,"DF,FW",Fulham,eng Premier League,29-356,1995,4.4,138,170,81.2,2162,638,69,77,89.6,58,71,81.7,7,14,50.0,0,0.2,0.1,-0.2,3,2,5,2,9,Matches
399,Valentín Castellanos,ar ARG,FW,Lazio,it Serie A,27-054,1998,4.8,57,93,61.3,806,230,39,54,72.2,10,21,47.6,5,8,62.5,3,1.4,0.8,+1.6,5,7,3,0,11,Matches
400,Castrin,es ESP,DF,Sevilla,es La Liga,22-329,2003,4.7,286,317,90.2,6169,1998,64,71,90.1,189,199,95.0,33,46,71.7,0,0.0,0.1,0.0,1,25,0,0,15,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
401,Jonny Castro,es ESP,DF,Alavés,es La Liga,31-268,1994,12.8,718,829,86.6,11020,4288,377,417,90.4,284,317,89.6,34,58,58.6,0,0.5,0.7,-0.5,9,58,6,2,58,Matches
402,Santiago Castro,ar ARG,FW,Bologna,it Serie A,21-058,2004,7.6,73,106,68.9,1371,185,33,44,75.0,27,38,71.1,11,15,73.3,1,0.8,0.5,+0.2,10,6,3,0,10,Matches
403,Alessio Castro-Montes,be BEL,"DF,MF",Köln,de Bundesliga,28-193,1997,0.5,40,54,74.1,638,172,22,25,88.0,16,19,84.2,2,8,25.0,0,0.0,0.0,0.0,1,2,0,0,3,Matches
404,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,31-112,1994,9.0,355,445,79.8,5630,1938,192,214,89.7,121,149,81.2,31,55,56.4,1,0.7,0.4,+0.3,7,34,1,0,34,Matches
405,Catena,es ESP,DF,Osasuna,es La Liga,31-029,1994,13.0,532,632,84.2,10298,4085,175,196,89.3,292,321,91.0,57,99,57.6,1,0.3,0.4,+0.7,7,22,4,0,30,Matches
406,Nicolò Cavuoti,it ITA,DF,Cagliari,it Serie A,22-236,2003,0.1,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
407,Santi Cazorla,es ESP,"MF,FW",Oviedo,es La Liga,40-348,1984,2.9,133,168,79.2,2393,805,62,72,86.1,48,54,88.9,20,35,57.1,0,0.4,0.5,-0.4,4,19,3,1,19,Matches
408,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,29-111,1996,4.0,286,313,91.4,4628,1253,147,154,95.5,119,127,93.7,16,18,88.9,0,0.3,0.3,-0.3,7,42,4,0,40,Matches
409,Federico Ceccherini,it ITA,DF,Cremonese,it Serie A,33-199,1992,1.2,39,47,83.0,631,189,21,23,91.3,13,15,86.7,3,6,50.0,0,0.0,0.0,0.0,0,2,0,0,3,Matches
410,Abdoulie Ceesay,gm GAM,"FW,MF",St. Pauli,de Bundesliga,21-325,2004,1.8,24,35,68.6,295,54,16,22,72.7,7,9,77.8,0,0,,0,0.0,0.1,0.0,0,0,0,0,1,Matches
411,Zeki Çelik,tr TUR,DF,Roma,it Serie A,28-282,1997,9.1,397,498,79.7,5788,1908,224,248,90.3,142,168,84.5,16,41,39.0,1,0.9,0.5,+0.1,9,25,9,4,36,Matches
412,Fabien Centonze,fr FRA,"DF,FW",Nantes,fr Ligue 1,29-314,1996,0.2,8,14,57.1,154,88,4,5,80.0,3,6,50.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
413,Václav Černý,cz CZE,FW,Wolfsburg,de Bundesliga,28-040,1997,0.5,6,10,60.0,124,32,2,3,66.7,3,5,60.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
414,Julian Chabot,de GER,DF,Stuttgart,de Bundesliga,27-287,1998,8.1,560,635,88.2,10740,4551,187,208,89.9,307,332,92.5,60,83,72.3,0,0.0,0.3,0.0,1,50,3,0,43,Matches
415,El Chadaille Bitshiabu,fr FRA,DF,RB Leipzig,de Bundesliga,20-194,2005,1.2,72,81,88.9,1260,307,25,27,92.6,40,42,95.2,5,8,62.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
416,Fares Chaïbi,dz ALG,MF,Eint Frankfurt,de Bundesliga,22-363,2002,8.1,286,392,73.0,4453,1171,156,181,86.2,92,129,71.3,24,50,48.0,6,1.8,1.1,+4.2,20,36,9,1,38,Matches
417,Ilyas Chaira,ma MAR,"FW,MF",Oviedo,es La Liga,24-297,2001,7.5,177,213,83.1,2534,389,105,116,90.5,57,69,82.6,9,13,69.2,0,0.1,0.4,-0.1,3,13,3,2,22,Matches
418,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,26-144,1999,10.3,710,779,91.1,12638,3229,282,295,95.6,380,399,95.2,42,70,60.0,0,0.1,0.6,-0.1,2,53,4,1,34,Matches
419,Fallou Cham,gm GAM,DF,Hellas Verona,it Serie A,19-285,2006,2.4,56,87,64.4,894,399,26,34,76.5,24,32,75.0,4,10,40.0,0,0.6,0.1,-0.6,4,5,1,1,6,Matches
420,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,30-339,1994,10.8,496,581,85.4,10668,3440,119,128,93.0,310,329,94.2,63,112,56.3,1,0.2,0.4,+0.8,4,30,1,0,28,Matches
421,Pep Chavarría,es ESP,DF,Rayo Vallecano,es La Liga,27-230,1998,12.2,584,721,81.0,10079,3333,268,290,92.4,269,314,85.7,44,79,55.7,2,1.6,1.5,+0.4,12,40,19,8,61,Matches
422,Arthur Chaves,br BRA,DF,Hoffenheim,de Bundesliga,24-301,2001,2.7,112,133,84.2,1984,591,43,45,95.6,57,66,86.4,8,16,50.0,0,0.1,0.0,-0.1,1,4,0,0,4,Matches
423,Walid Cheddira,ma MAR,FW,Sassuolo,it Serie A,27-308,1998,0.9,16,23,69.6,228,64,11,13,84.6,4,6,66.7,1,2,50.0,0,0.1,0.0,-0.1,2,1,0,0,1,Matches
424,Chema,es ESP,MF,Stuttgart,de Bundesliga,20-215,2005,5.3,237,279,84.9,3802,1142,123,137,89.8,100,111,90.1,11,20,55.0,0,0.1,0.2,-0.1,4,30,2,0,39,Matches
425,Samir Chergui,dz ALG,DF,Paris FC,fr Ligue 1,26-293,1999,10.8,484,544,89.0,7785,2261,234,253,92.5,212,232,91.4,27,38,71.1,0,0.2,0.3,-0.2,2,21,2,1,22,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
426,Sidiki Cherif,fr FRA,FW,Angers,fr Ligue 1,18-346,2006,8.3,106,145,73.1,1458,239,57,70,81.4,32,44,72.7,6,10,60.0,0,0.1,0.2,-0.1,3,7,0,0,10,Matches
427,Rayan Cherki,fr FRA,"MF,FW",Manchester City,eng Premier League,22-101,2003,3.2,167,205,81.5,2346,646,94,107,87.9,61,69,88.4,4,15,26.7,2,2.0,1.0,0.0,8,13,10,1,17,Matches
428,Lucas Chevalier,fr FRA,GK,Paris S-G,fr Ligue 1,24-020,2001,13.0,316,345,91.6,7088,3888,70,70,100.0,188,190,98.9,57,82,69.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
429,Fabio Chiarodia,it ITA,DF,Gladbach,de Bundesliga,20-174,2005,3.1,181,202,89.6,3177,1057,67,69,97.1,105,113,92.9,8,17,47.1,0,0.0,0.1,0.0,0,15,2,0,18,Matches
430,Federico Chiesa,it ITA,"FW,MF",Liverpool,eng Premier League,28-032,1997,1.6,41,66,62.1,532,184,25,29,86.2,15,26,57.7,0,5,0.0,1,0.9,0.1,+0.1,1,4,2,0,8,Matches
431,Ben Chilwell,eng ENG,DF,Strasbourg,fr Ligue 1,28-340,1996,6.8,280,346,80.9,4377,1842,144,157,91.7,115,132,87.1,15,37,40.5,0,0.1,0.3,-0.1,2,12,2,1,20,Matches
432,Joris Chotard,fr FRA,MF,Brest,fr Ligue 1,24-063,2001,11.1,357,442,80.8,6794,2126,137,156,87.8,176,207,85.0,39,61,63.9,0,0.0,0.3,0.0,1,49,3,0,51,Matches
433,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,29-230,1996,3.6,280,291,96.2,4735,1620,115,119,96.6,153,157,97.5,7,8,87.5,0,0.0,0.1,0.0,1,28,0,0,16,Matches
434,Ryan Christie,sct SCO,MF,Bournemouth,eng Premier League,30-277,1995,3.1,138,183,75.4,2328,526,67,78,85.9,58,71,81.7,10,20,50.0,0,0.1,0.2,-0.1,2,25,3,1,23,Matches
435,Carney Chukwuemeka,eng ENG,"MF,FW",Dortmund,de Bundesliga,22-037,2003,4.2,135,157,86.0,1729,484,95,109,87.2,34,35,97.1,2,2,100.0,0,0.3,0.8,-0.3,6,11,4,0,18,Matches
436,Samuel Chukwueze,ng NGA,"FW,MF",Fulham,eng Premier League,26-188,1999,1.2,41,61,67.2,696,222,21,26,80.8,13,20,65.0,6,9,66.7,2,1.3,1.0,+0.7,7,2,6,1,7,Matches
437,Samuel Chukwueze,ng NGA,FW,Milan,it Serie A,26-188,1999,0.3,12,16,75.0,174,41,7,8,87.5,5,6,83.3,0,2,0.0,0,0.0,0.1,0.0,0,2,1,0,2,Matches
438,Víctor Chust,es ESP,DF,Elche,es La Liga,25-266,2000,7.6,403,459,87.8,6638,1795,169,180,93.9,199,214,93.0,22,45,48.9,0,0.1,0.1,-0.1,2,37,1,0,19,Matches
439,Alessandro Circati,au AUS,DF,Parma,it Serie A,22-047,2003,9.4,372,439,84.7,7010,2516,127,146,87.0,220,238,92.4,23,46,50.0,0,0.1,0.1,-0.1,3,18,2,0,20,Matches
440,Pathé Ciss,sn SEN,"MF,DF",Rayo Vallecano,es La Liga,31-255,1994,9.7,526,586,89.8,10157,3603,179,194,92.3,289,305,94.8,53,75,70.7,0,0.2,0.2,-0.2,5,81,1,0,67,Matches
441,Djaoui Cissé,fr FRA,MF,Rennes,fr Ligue 1,21-299,2004,6.1,226,298,75.8,3816,1138,108,128,84.4,88,99,88.9,24,50,48.0,0,0.4,0.4,-0.4,5,30,3,0,39,Matches
442,Alexis Claude-Maurice,fr FRA,"MF,FW",Augsburg,de Bundesliga,27-173,1998,5.5,162,194,83.5,2249,366,97,103,94.2,58,70,82.9,2,9,22.2,0,0.2,0.5,-0.2,2,16,2,1,18,Matches
443,Jonathan Clauss,fr FRA,"DF,MF",Nice,fr Ligue 1,33-062,1992,8.8,394,526,74.9,6421,2458,209,234,89.3,143,192,74.5,34,75,45.3,2,1.7,2.1,+0.3,22,27,19,11,47,Matches
444,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,34-235,1991,0.1,3,3,100.0,28,7,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
445,Saúl Coco,gq EQG,DF,Torino,it Serie A,26-290,1999,11.0,403,451,89.4,7681,2595,134,141,95.0,228,243,93.8,36,57,63.2,1,0.1,0.2,+0.9,3,23,1,1,23,Matches
446,Séamus Coleman,ie IRL,"DF,FW",Everton,eng Premier League,37-046,1988,0.1,4,5,80.0,50,31,3,3,100.0,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
447,Maxime Colin,fr FRA,DF,Metz,fr Ligue 1,34-011,1991,5.9,260,299,87.0,3975,1248,135,145,93.1,110,126,87.3,11,19,57.9,0,0.0,0.1,0.0,1,7,1,0,13,Matches
448,Nathan Collins,ie IRL,DF,Brentford,eng Premier League,24-210,2001,12.0,443,541,81.9,8863,3808,127,151,84.1,267,284,94.0,46,94,48.9,0,0.9,0.6,-0.9,3,20,2,0,27,Matches
449,Nnamdi Collins,de GER,DF,Eint Frankfurt,de Bundesliga,21-320,2004,6.1,343,406,84.5,6028,2039,146,159,91.8,166,188,88.3,29,41,70.7,1,0.2,0.2,+0.8,1,34,0,0,34,Matches
450,Michele Collocolo,it ITA,MF,Cremonese,it Serie A,26-018,1999,3.2,85,106,80.2,1168,226,59,64,92.2,20,25,80.0,4,11,36.4,0,0.1,0.0,-0.1,2,5,1,0,4,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
451,Santiago Colombatto,ar ARG,MF,Oviedo,es La Liga,28-313,1997,7.0,260,329,79.0,4569,1276,123,133,92.5,110,131,84.0,25,52,48.1,1,1.2,0.8,-0.2,9,28,8,2,33,Matches
452,Lorenzo Colombo,it ITA,"FW,MF",Genoa,it Serie A,23-263,2002,7.1,85,134,63.4,1142,142,45,60,75.0,30,48,62.5,2,10,20.0,1,0.1,0.1,+0.9,2,6,1,0,6,Matches
453,Eray Cömert,ch SUI,DF,Valencia,es La Liga,27-295,1998,0.5,19,22,86.4,270,115,11,11,100.0,6,9,66.7,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
454,Santi Comesaña,es ESP,MF,Villarreal,es La Liga,29-052,1996,8.8,370,449,82.4,6006,1626,196,220,89.1,139,156,89.1,29,50,58.0,2,1.1,1.5,+0.9,11,42,9,1,42,Matches
455,Pietro Comuzzo,it ITA,DF,Fiorentina,it Serie A,20-279,2005,4.1,153,175,87.4,2860,701,47,54,87.0,98,107,91.6,7,8,87.5,0,0.0,0.0,0.0,1,5,0,0,6,Matches
456,Francisco Conceição,pt POR,"MF,FW",Juventus,it Serie A,22-347,2002,6.5,206,253,81.4,3280,468,112,120,93.3,78,98,79.6,13,24,54.2,0,0.7,1.4,-0.7,9,11,5,2,14,Matches
457,Sirlord Conteh,de GER,"FW,MF",Heidenheim,de Bundesliga,29-140,1996,2.6,34,45,75.6,559,156,20,23,87.0,11,15,73.3,3,4,75.0,1,0.6,0.5,+0.4,6,1,3,1,3,Matches
458,Lewis Cook,eng ENG,"DF,MF",Bournemouth,eng Premier League,28-296,1997,1.9,144,177,81.4,2305,671,70,79,88.6,65,72,90.3,5,18,27.8,0,0.2,0.1,-0.2,6,16,2,2,19,Matches
459,Copete,es ESP,DF,Valencia,es La Liga,26-047,1999,8.8,369,422,87.4,6830,2222,134,138,97.1,199,218,91.3,33,55,60.0,0,0.0,0.1,0.0,1,16,1,1,23,Matches
460,Diego Coppola,it ITA,DF,Brighton,eng Premier League,21-333,2003,0.2,5,5,100.0,105,68,2,2,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
461,Francis Coquelin,fr FRA,MF,Nantes,fr Ligue 1,34-197,1991,1.7,59,69,85.5,958,212,28,33,84.8,26,28,92.9,3,5,60.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
462,Derek Cornelius,ca CAN,DF,Marseille,fr Ligue 1,28-001,1997,0.6,12,14,85.7,222,53,4,4,100.0,7,8,87.5,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
463,Maxwel Cornet,ci CIV,"FW,DF",Genoa,it Serie A,29-060,1996,0.8,16,28,57.1,209,45,11,14,78.6,2,2,100.0,2,7,28.6,0,0.1,0.1,-0.1,3,0,1,0,1,Matches
464,Félix Correia,pt POR,FW,Lille,fr Ligue 1,24-308,2001,10.6,346,465,74.4,5985,2129,165,195,84.6,120,154,77.9,45,66,68.2,4,3.2,2.7,+0.8,19,38,29,6,65,Matches
465,Thierry Correia,pt POR,DF,Valencia,es La Liga,26-262,1999,5.7,240,295,81.4,3820,1263,122,137,89.1,104,124,83.9,9,23,39.1,0,0.2,0.5,-0.2,3,20,9,2,25,Matches
