Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
94,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,20-317,2004,7.0,6,0,0,2,0,7.3,0.32,+1.3,+0.18,30,81,37.0,189,21,30.7,33.5,94,5,5.3,3,0.43,12.7,Matches
95,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22-271,2003,7.0,6,0,0,1,0,8.3,0.28,+2.3,+0.33,34,119,28.6,235,23,36.6,35.4,115,11,9.6,11,1.57,13.2,Matches
96,Leo Román,es ESP,GK,Mallorca,es La Liga,25-101,2000,8.0,13,2,0,2,0,14.1,0.32,+1.1,+0.14,49,137,35.8,219,22,47.5,39.0,116,7,6.0,5,0.63,11.2,Matches
97,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-148,1992,6.0,5,0,0,0,0,6.2,0.30,+1.2,+0.20,27,65,41.5,187,19,29.4,31.6,70,13,18.6,16,2.67,16.6,Matches
98,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-190,1992,6.0,9,1,0,1,0,9.7,0.28,+0.7,+0.12,32,85,37.6,147,24,38.8,37.4,97,3,3.1,8,1.33,12.7,Matches
99,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-072,1992,6.0,13,3,0,1,0,14.0,0.30,+1.0,+0.16,37,123,30.1,156,19,54.5,40.4,93,10,10.8,3,0.50,10.2,Matches
100,José Sá,pt POR,GK,Wolves,eng Premier League,32-271,1993,4.0,11,0,1,1,0,7.1,0.44,-3.9,-0.99,23,60,38.3,108,14,41.7,37.0,46,4,8.7,4,1.00,14.2,Matches
101,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-173,1994,7.0,10,1,0,1,0,11.9,0.36,+1.9,+0.27,29,94,30.9,289,33,28.0,32.0,112,7,6.3,5,0.71,15.8,Matches
102,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,27-331,1997,6.0,7,0,0,1,0,5.8,0.31,-1.2,-0.20,19,92,20.7,220,30,35.0,35.2,69,10,14.5,5,0.83,11.8,Matches
103,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-187,2003,3.0,11,0,0,2,0,8.4,0.54,-2.6,-0.85,5,43,11.6,107,14,34.6,32.5,22,3,13.6,4,1.33,15.4,Matches
104,Razvan Sava,ro ROU,GK,Udinese,it Serie A,23-116,2002,6.0,9,0,0,1,0,6.9,0.33,-2.1,-0.35,14,47,29.8,141,20,24.8,29.4,71,1,1.4,6,1.00,18.2,Matches
105,Marvin Schwäbe,de GER,GK,Köln,de Bundesliga,30-173,1995,6.0,9,1,2,2,0,9.9,0.37,+0.9,+0.15,50,144,34.7,225,15,42.7,37.2,122,2,1.6,6,1.00,15.6,Matches
106,Matz Sels,be BEL,GK,Nott'ham Forest,eng Premier League,33-231,1992,7.0,12,3,0,1,0,13.7,0.31,+1.7,+0.25,20,71,28.2,150,26,41.3,35.3,105,4,3.8,5,0.71,13.5,Matches
107,Adrian Šemper,hr CRO,GK,Pisa,it Serie A,27-276,1998,6.0,10,0,1,0,0,8.8,0.30,-1.2,-0.21,48,111,43.2,168,22,55.4,41.8,83,8,9.6,0,0.00,6.4,Matches
108,Marco Silvestri,it ITA,GK,Cremonese,it Serie A,34-227,1991,2.0,5,0,0,1,0,5.1,0.34,+0.1,+0.05,10,34,29.4,56,13,35.7,33.0,34,1,2.9,1,0.50,11.5,Matches
109,Unai Simón,es ESP,GK,Athletic Club,es La Liga,28-126,1997,8.0,9,0,0,1,1,8.6,0.33,+0.6,+0.07,24,99,24.2,208,36,34.6,33.4,81,6,7.4,18,2.25,19.8,Matches
110,Antonio Sivera,es ESP,GK,Alavés,es La Liga,29-065,1996,8.0,8,0,0,0,0,8.5,0.34,+0.5,+0.06,63,139,45.3,144,17,61.8,44.7,106,4,3.8,3,0.38,9.3,Matches
111,Łukasz Skorupski,pl POL,GK,Bologna,it Serie A,34-163,1991,6.0,5,0,0,1,0,4.8,0.28,-0.2,-0.04,31,77,40.3,270,33,24.8,31.0,57,4,7.0,4,0.67,11.4,Matches
112,Yann Sommer,ch SUI,GK,Inter,it Serie A,36-302,1988,4.0,7,1,0,1,0,4.4,0.27,-2.6,-0.65,8,18,44.4,104,14,14.4,25.7,37,1,2.7,3,0.75,18.6,Matches
113,David Soria,es ESP,GK,Getafe,es La Liga,32-194,1993,8.0,11,0,0,3,1,8.0,0.29,-2.0,-0.25,62,187,33.2,163,9,81.0,50.6,95,4,4.2,7,0.88,15.0,Matches
114,Zion Suzuki,jp JPN,GK,Parma,it Serie A,23-055,2002,6.0,7,0,0,2,0,5.9,0.25,-1.1,-0.18,39,116,33.6,186,22,45.2,40.1,78,6,7.7,11,1.83,17.0,Matches
115,Mile Svilar,rs SRB,GK,Roma,it Serie A,26-049,1999,6.0,2,0,0,0,0,3.7,0.22,+1.7,+0.29,29,86,33.7,199,31,29.1,33.1,66,3,4.5,4,0.67,14.0,Matches
116,Wojciech Szczęsny,pl POL,GK,Barcelona,es La Liga,35-180,1990,2.0,5,1,0,0,0,4.2,0.46,-0.8,-0.42,2,12,16.7,64,7,18.8,25.3,18,0,0.0,5,2.50,25.4,Matches
117,Arnau Tenas,es ESP,GK,Villarreal,es La Liga,24-138,2001,2.0,4,1,0,0,0,3.1,0.26,-0.9,-0.47,6,32,18.8,38,2,42.1,39.0,29,1,3.4,1,0.50,11.0,Matches
118,Pietro Terracciano,it ITA,GK,Milan,it Serie A,35-221,1990,1.4,0,0,0,0,0,0.2,0.05,+0.2,+0.13,7,9,77.8,30,5,20.0,30.6,19,1,5.3,0,0.00,8.3,Matches
119,James Trafford,eng ENG,GK,Manchester City,eng Premier League,23-005,2002,3.0,4,1,0,0,0,5.9,0.34,+1.9,+0.62,10,36,27.8,103,11,27.2,29.6,26,2,7.7,14,4.67,18.1,Matches
120,Kevin Trapp,de GER,GK,Paris FC,fr Ligue 1,35-099,1990,1.0,2,0,0,1,0,1.5,0.75,-0.5,-0.50,1,8,12.5,28,4,28.6,32.3,13,1,7.7,3,3.00,22.0,Matches
121,Stefano Turati,it ITA,GK,Sassuolo,it Serie A,24-040,2001,1.0,2,0,1,0,0,1.2,0.31,-0.8,-0.76,0,16,0.0,23,4,56.5,40.7,9,1,11.1,1,1.00,10.0,Matches
122,Álvaro Vallés,es ESP,GK,Betis,es La Liga,28-082,1997,3.0,5,0,0,2,1,2.6,0.20,-1.4,-0.46,6,22,27.3,89,13,21.3,29.3,36,1,2.8,5,1.67,13.4,Matches
123,Nikola Vasilj,ba BIH,GK,St. Pauli,de Bundesliga,29-317,1995,6.0,9,0,0,0,0,10.3,0.28,+1.3,+0.21,15,58,25.9,239,26,23.8,28.6,39,4,10.3,7,1.17,14.6,Matches
124,Bart Verbruggen,nl NED,GK,Brighton,eng Premier League,23-058,2002,7.0,10,1,0,1,2,8.7,0.36,+0.7,+0.10,18,86,20.9,253,33,28.9,31.8,85,3,3.5,7,1.00,15.2,Matches
125,Guglielmo Vicario,it ITA,GK,Tottenham,eng Premier League,29-008,1996,7.0,5,0,0,1,0,7.2,0.27,+2.2,+0.31,24,74,32.4,265,35,22.6,28.7,78,3,3.8,13,1.86,16.7,Matches
126,Odysseas Vlachodimos,gr GRE,GK,Sevilla,es La Liga,31-172,1994,4.0,4,1,0,0,0,6.8,0.25,+2.8,+0.69,26,59,44.1,116,21,37.9,35.5,57,2,3.5,2,0.50,10.8,Matches
127,Robin Zentner,de GER,GK,Mainz 05,de Bundesliga,30-352,1994,4.7,6,0,0,1,0,4.5,0.28,-1.5,-0.32,27,95,28.4,140,14,51.4,42.0,61,7,11.5,9,1.90,15.0,Matches
128,Michael Zetterer,de GER,GK,Eint Frankfurt,de Bundesliga,30-095,1995,3.0,5,1,2,0,0,4.5,0.22,-0.5,-0.17,12,30,40.0,101,17,23.8,31.7,34,1,2.9,5,1.67,15.4,Matches
