Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Comp,Unnamed: 6_level_0_Age,Unnamed: 7_level_0_Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 30_level_0_Matches
1,Brenden Aaronson,us USA,"FW,MF",Leeds United,eng Premier League,25-035,2000,12,790,66,73.1,8.8,9,79,1,3,27,0,0.92,11,13,-2,-0.23,+2.57,10.0,11.6,-1.7,-0.19,-0.15,Matches
2,Zach Abbott,eng ENG,DF,Nott'ham Forest,eng Premier League,19-197,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
3,Keyliane Abdallah,fr FRA,FW,Marseille,fr Ligue 1,19-235,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
4,Jones El-Abdellaoui,ma MAR,"MF,FW",Celta Vigo,es La Liga,19-318,2006,6,118,20,10.1,1.3,0,,0,6,20,7,1.67,3,2,+1,+0.76,+1.02,3.4,2.9,+0.5,+0.40,+0.59,Matches
5,Himad Abdelli,dz ALG,MF,Angers,fr Ligue 1,26-009,1999,10,707,71,60.4,7.9,8,82,3,2,25,0,1.20,8,11,-3,-0.38,-0.19,7.6,16.4,-8.8,-1.12,-0.57,Matches
6,Ali Abdi,tn TUN,"DF,MF",Nice,fr Ligue 1,31-341,1993,6,323,54,27.6,3.6,5,60,1,1,23,1,0.83,5,3,+2,+0.56,+1.30,2.6,4.8,-2.3,-0.66,+0.11,Matches
7,Salis Abdul Samed,gh GHA,MF,Nice,fr Ligue 1,25-245,2000,9,418,46,35.7,4.6,6,63,0,3,14,4,1.22,8,9,-1,-0.22,+0.26,4.8,7.7,-2.9,-0.62,+0.18,Matches
8,Saud Abdulhamid,sa KSA,DF,Lens,fr Ligue 1,26-131,1999,9,204,23,17.4,2.3,1,90,1,8,14,3,1.78,3,2,+1,+0.44,-0.49,4.7,4.6,+0.2,+0.07,-0.40,Matches
9,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,32-298,1993,12,1036,86,88.5,11.5,12,86,10,0,,0,0.83,14,25,-11,-0.96,-0.28,15.0,17.7,-2.7,-0.23,+0.42,Matches
10,Matthis Abline,fr FRA,"FW,MF",Nantes,fr Ligue 1,22-243,2003,13,978,75,83.6,10.9,10,89,8,3,29,0,0.85,11,18,-7,-0.64,-0.64,9.0,19.2,-10.2,-0.94,-0.72,Matches
