rank,player_name,nation,position,squad,competition,age,birth_year,matches_played,starts,minutes,nineties_played,goals_against,goals_against_per_90,shots_on_target_against,saves,save_pct,wins,draws,losses,clean_sheets,clean_sheet_pct,penalty_attempts,penalty_goals_against,penalty_saves,penalty_missed,MP,Starts,Min,penalty_kicks_allowed,season,table_type,processed_at
1,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,0,0,0,2.6,4,1.51,12,8,66.7,1,0,1,2,100.0,0,0,0,0,4,2,238,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
2,Alisson,BRA,GK,Liverpool,Premier League,30,1992,0,0,0,28.0,30,1.07,109,80,73.4,16,8,4,8,28.6,1,0,0,0,28,28,2520,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
3,Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,0,0,0,30.0,53,1.77,188,136,74.5,11,9,11,4,12.9,7,0,2,0,31,31,2699,5,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
4,Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0,0,0,0.0,1,90.0,1,0,100.0,0,0,0,0,0.0,1,0,0,0,1,0,1,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
5,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,0,0,0,13.3,9,0.68,38,30,76.3,10,2,1,8,61.5,0,0,0,0,14,13,1198,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
6,Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,0,0,0,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,0,2,0,34,34,3060,3,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
7,Emil Audero,IDN,GK,Inter,Serie A,26,1997,0,0,0,3.7,3,0.8,11,8,72.7,2,1,1,2,50.0,0,0,0,0,4,4,337,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
8,Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,2004,0,0,0,0.1,0,0.0,1,1,100.0,0,0,0,0,0.0,0,0,0,0,1,0,5,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
9,Augusto Batalla,ARG,GK,Granada,La Liga,27,1996,0,0,0,17.0,28,1.65,86,58,67.4,3,4,10,3,17.6,0,0,0,0,17,17,1530,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
10,Daniel Batz,GER,GK,Mainz 05,Bundesliga,32,1991,0,0,0,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,4,4,360,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,33,1990,0,0,0,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,0,3,0,34,34,3060,2,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
12,Alaa Bellaarouch,MAR,GK,Strasbourg,Ligue 1,21,2002,0,0,0,15.0,26,1.73,63,37,63.5,4,2,9,2,13.3,4,0,1,0,15,15,1350,3,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
13,Daniel Bentley,ENG,GK,Wolves,Premier League,30,1993,0,0,0,4.3,7,1.64,15,8,53.3,1,0,2,1,33.3,0,0,0,0,5,3,383,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
14,Etrit Berisha,ALB,GK,Empoli,Serie A,34,1989,0,0,0,14.0,25,1.79,74,49,68.9,3,3,8,4,28.6,3,0,1,0,14,14,1260,2,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
15,Dimitry Bertaud,COD,GK,Montpellier,Ligue 1,25,1998,0,0,0,4.0,11,2.75,34,23,67.6,1,1,2,0,0.0,0,0,0,0,4,4,360,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
16,Marco Bizot,NED,GK,Brest,Ligue 1,32,1991,0,0,0,32.0,34,1.06,129,94,75.2,15,10,7,13,40.6,3,0,1,0,32,32,2876,2,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
17,Rubén Blanco,ESP,GK,Marseille,Ligue 1,28,1995,0,0,0,1.3,2,1.49,6,4,66.7,0,0,1,0,0.0,0,0,0,0,2,1,121,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
18,Janis Blaswich,GER,GK,RB Leipzig,Bundesliga,32,1991,0,0,0,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,0,0,0,21,21,1890,4,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
19,Yassine Bounou,MAR,GK,Sevilla,La Liga,32,1991,0,0,0,1.0,2,2.0,3,1,33.3,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
20,Claudio Bravo,CHI,GK,Betis,La Liga,40,1983,0,0,0,7.0,5,0.71,20,16,75.0,3,4,0,2,28.6,0,0,0,0,7,7,630,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
21,Fabian Bredlow,GER,GK,Stuttgart,Bundesliga,28,1995,0,0,0,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,4,4,360,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
22,Alexander Brunst,GER,GK,Darmstadt 98,Bundesliga,28,1995,0,0,0,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,3,3,270,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
23,Marcin Bułka,POL,GK,Nice,Ligue 1,23,1999,0,0,0,34.0,29,0.85,105,74,77.1,15,10,9,17,50.0,8,0,3,0,34,34,3060,5,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
24,Elia Caprile,ITA,GK,Empoli,Serie A,21,2001,0,0,0,23.0,27,1.17,106,78,78.3,6,6,11,5,21.7,5,0,1,0,23,23,2070,4,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
25,Dani Cárdenas,ESP,GK,Rayo Vallecano,La Liga,26,1997,0,0,0,1.0,1,1.0,1,0,0.0,0,0,1,0,0.0,0,0,0,0,1,1,90,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
26,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,23,2000,0,0,0,26.9,30,1.11,107,75,75.7,15,5,7,8,29.6,7,0,2,1,27,27,2425,4,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
27,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,31,1992,0,0,0,25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,0,0,1,25,25,2250,2,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
28,Michele Cerofolini,ITA,GK,Frosinone,Serie A,24,1999,0,0,0,7.5,11,1.47,28,18,60.7,2,2,3,3,42.9,1,0,0,1,8,7,675,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
29,Lucas Chevalier,FRA,GK,Lille,Ligue 1,21,2001,0,0,0,33.0,32,0.97,123,91,76.4,16,10,7,15,45.5,5,0,2,0,33,33,2969,3,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
30,Oliver Christensen,DEN,GK,Fiorentina,Serie A,24,1999,0,0,0,4.0,9,2.25,19,10,63.2,1,1,2,0,0.0,2,0,0,0,4,4,360,2,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
31,Andrea Consigli,ITA,GK,Sassuolo,Serie A,36,1987,0,0,0,35.0,68,1.94,159,93,61.6,6,8,21,3,8.6,10,0,1,2,35,35,3150,7,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
32,Nikita Contini Baranovsky,ITA,GK,Napoli,Serie A,27,1996,0,0,0,0.2,0,0.0,0,0,0.0,0,0,0,1,0.0,0,0,0,0,1,0,17,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
33,Benoît Costil,FRA,GK,Salernitana,Serie A,36,1987,0,0,0,13.0,29,2.23,66,38,60.6,2,3,8,1,7.7,3,0,0,0,13,13,1170,3,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
34,Grégoire Coudert,FRA,GK,Brest,Ligue 1,24,1999,0,0,0,2.0,0,0.0,4,4,100.0,2,0,0,2,100.0,0,0,0,0,3,2,181,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
35,Thibaut Courtois,BEL,GK,Real Madrid,La Liga,31,1992,0,0,0,3.7,0,0.0,15,15,100.0,3,1,0,3,75.0,0,0,0,0,4,4,332,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
36,Alessio Cragno,ITA,GK,Sassuolo,Serie A,29,1994,0,0,0,3.0,7,2.33,14,8,57.1,1,1,1,0,0.0,1,0,0,0,3,3,270,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
37,Cristian,ESP,GK,Valencia,La Liga,25,1998,0,0,0,0.6,1,1.58,3,2,66.7,0,0,0,0,0.0,0,0,0,0,1,0,57,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
38,Iván Cuéllar,ESP,GK,Mallorca,La Liga,39,1984,0,0,0,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,1,1,90,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
39,Finn Dahmen,GER,GK,Augsburg,Bundesliga,25,1998,0,0,0,31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,0,2,1,31,31,2790,7,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
40,Rémy Descamps,FRA,GK,Nantes,Ligue 1,27,1996,0,0,0,6.0,11,1.83,37,26,73.0,2,2,2,1,16.7,2,0,0,1,6,6,540,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
41,Arthur Desmas,FRA,GK,Le Havre,Ligue 1,29,1994,0,0,0,33.0,43,1.3,153,111,72.5,7,11,15,7,21.2,3,0,1,1,33,33,2970,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
42,Raffaele Di Gennaro,ITA,GK,Inter,Serie A,29,1993,0,0,0,0.3,0,0.0,4,4,100.0,0,0,0,0,0.0,0,0,0,0,1,0,23,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
43,Michele Di Gregorio,ITA,GK,Monza,Serie A,26,1997,0,0,0,31.9,35,1.1,159,122,79.9,11,11,11,12,36.4,5,0,2,0,33,33,2872,3,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
44,Mory Diaw,SEN,GK,Clermont Foot,Ligue 1,30,1993,0,0,0,30.0,54,1.8,188,134,74.5,4,8,18,5,16.7,8,0,1,1,30,30,2700,6,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
45,Guillaume Dietsch,FRA,GK,Metz,Ligue 1,22,2001,0,0,0,0.8,1,1.23,3,2,66.7,0,0,0,0,0.0,0,0,0,0,1,0,73,0,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
46,Stole Dimitrievski,MKD,GK,Rayo Vallecano,La Liga,29,1993,0,0,0,37.0,47,1.27,150,104,69.3,8,14,15,13,35.1,2,0,1,0,37,37,3330,1,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
47,Yehvann Diouf,SEN,GK,Reims,Ligue 1,23,1999,0,0,0,34.0,47,1.38,137,90,70.1,13,8,13,8,23.5,7,0,1,0,34,34,3060,6,2023-2024,stats_keeper,2025-10-18 04:36:47.867001
