rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_completed,passes_attempted,pass_completion_pct,total_distance,progressive_distance,assists,expected_assists,expected_assists_minus_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,expected_assists_xa,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,450,581,77.5,7402,2789,1,0.8,0.2,7,25,13,2,43,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,365,472,77.3,4890,1506,2,1.9,0.1,22,30,14,3,56,2.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,41,50,82.0,576,71,1,0.1,0.9,1,4,2,0,5,0.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,1,100.0,8,0,0,0.0,0.0,0,0,0,0,0,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,1552,1836,84.5,29618,9672,0,0.3,-0.3,8,129,3,0,137,0.6,2023-2024,stats_passing,2025-10-18 04:36:48.434403
6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,796,895,88.9,12470,3008,0,0.5,-0.5,6,87,5,2,78,1.1,2023-2024,stats_passing,2025-10-18 04:36:48.434403
7,Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,60,79,75.9,1159,426,0,0.0,0.0,0,4,0,0,7,0.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,1551,1836,84.5,27382,8613,1,2.1,-1.1,30,188,23,3,194,1.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,162,231,70.1,2410,448,0,2.0,-2.0,17,6,7,2,20,0.9,2023-2024,stats_passing,2025-10-18 04:36:48.434403
10,Abner,BRA,DF,Betis,La Liga,23,2000,15.6,615,797,77.2,9211,4552,1,1.0,0.0,8,20,7,2,33,1.0,2023-2024,stats_passing,2025-10-18 04:36:48.434403
