rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,passes_attempted,passes_live,passes_dead,passes_free_kick,passes_through_ball,passes_switched,passes_crosses,passes_throw_in,passes_corner_kick,passes_in,passes_out,passes_straight,passes_completed,passes_offsides,passes_blocks,season,table_type,processed_at
1,Max Aarons,ENG,DF,Bournemouth,Premier League,23,2000,13.7,581,453,127,11,2,3,13,116,0,0,0,0,450,1,23,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
2,Brenden Aaronson,USA,"MF,FW",Union Berlin,Bundesliga,22,2000,14.1,472,439,29,3,5,1,22,12,6,2,3,0,365,4,21,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
3,Paxten Aaronson,USA,MF,Eint Frankfurt,Bundesliga,19,2003,1.1,50,48,2,1,0,0,0,1,0,0,0,0,41,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
4,Keyliane Abdallah,FRA,FW,Marseille,Ligue 1,17,2006,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
5,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,30.9,1836,1650,178,75,2,13,3,29,0,0,0,0,1552,8,20,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
6,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,23,2000,16.9,895,875,18,17,0,1,3,1,0,0,0,0,796,2,17,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
7,Nabil Aberdin,FRA,DF,Getafe,La Liga,20,2002,2.0,79,75,4,4,0,1,0,0,0,0,0,0,60,0,0,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
8,Laurent Abergel,FRA,MF,Lorient,Ligue 1,30,1993,31.8,1836,1743,88,68,6,13,34,14,0,0,0,0,1551,5,25,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
9,Matthis Abline,FRA,FW,Nantes,Ligue 1,20,2003,11.6,231,218,12,0,2,1,7,1,0,0,0,0,162,1,11,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
10,Abner,BRA,DF,Betis,La Liga,23,2000,15.6,797,628,165,7,0,3,26,158,0,0,0,0,615,4,23,2023-2024,stats_passing_types,2025-10-18 04:36:48.649035
