rank,player_name,nation,position,squad,competition,age,birth_year,nineties_played,goals_against,penalty_kicks_allowed,free_kick_goals_against,corner_kick_goals_against,own_goals_against,post_shot_expected_goals,post_shot_expected_goals_per_shot,post_shot_expected_goals_plus_minus,post_shot_expected_goals_plus_minus_per_90,launches,launch_pct,avg_launch_distance,goal_kicks,crosses_faced,crosses_stopped,cross_stop_pct,defensive_actions_outside_penalty_area,defensive_actions_outside_penalty_area_per_90,avg_distance_defensive_actions,opponent_penalty_area_entries_stopped,keeper_stops,keeper_stop_pct,keeper_opa,keeper_opa_per_90,keeper_avg_distance,season,table_type,processed_at
1,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,2.6,4,0,0,0,0,2.4,0.2,-1.6,-0.61,18,49,36.7,78,20,35.9,32.4,0,0,0,41,2,4.9,3,1.13,15.3,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
2,Alisson,BRA,GK,Liverpool,Premier League,30,1992,28.0,30,1,0,4,1,28.7,0.26,-0.3,-0.01,60,183,32.8,1021,140,14.1,24.7,0,0,0,299,13,4.3,33,1.18,17.7,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
3,Alphonse Areola,FRA,GK,West Ham,Premier League,30,1993,30.0,53,5,0,3,3,52.1,0.24,2.1,0.07,160,430,37.2,643,144,43.9,36.8,0,0,0,468,27,5.8,7,0.23,8.9,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
4,Simone Aresti,ITA,GK,Cagliari,Serie A,37,1986,0.0,1,1,0,0,0,1.0,0.0,0.0,-1.21,0,1,0.0,1,0,100.0,64.0,0,0,0,3,0,0.0,0,0.0,0.0,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
5,Kepa Arrizabalaga,ESP,GK,Real Madrid,La Liga,28,1994,13.3,9,0,0,0,1,10.0,0.28,2.0,0.15,34,92,37.0,386,57,19.2,27.0,0,0,0,157,6,3.8,10,0.75,14.7,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
6,Noah Atubolu,GER,GK,Freiburg,Bundesliga,21,2002,34.0,58,3,1,5,1,50.0,0.3,-7.0,-0.21,193,568,34.0,1148,160,35.4,34.2,0,0,0,485,31,6.4,30,0.88,13.6,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
7,Emil Audero,IDN,GK,Inter,Serie A,26,1997,3.7,3,0,0,0,0,3.1,0.28,0.1,0.02,6,24,25.0,177,28,11.9,24.6,0,0,0,54,6,11.1,2,0.53,10.2,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
8,Nicola Bagnolini,ITA,GK,Bologna,Serie A,19,2004,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,0,0,0,0,0,0.0,0,0.0,0.0,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
9,Augusto Batalla,ARG,GK,Granada,La Liga,27,1996,17.0,28,0,0,6,0,22.6,0.27,-5.4,-0.32,127,354,35.9,566,78,45.8,39.4,0,0,0,275,23,8.4,18,1.06,14.2,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
10,Daniel Batz,GER,GK,Mainz 05,Bundesliga,32,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,0,0,0,38,4,10.5,2,0.5,11.3,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
11,Oliver Baumann,GER,GK,Hoffenheim,Bundesliga,33,1990,34.0,66,2,3,9,1,68.6,0.31,3.6,0.11,208,529,39.3,1159,165,33.7,32.7,0,0,0,545,31,5.7,73,2.15,16.7,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
12,Alaa Bellaarouch,MAR,GK,Strasbourg,Ligue 1,21,2002,15.0,26,3,0,1,1,19.9,0.25,-5.1,-0.34,56,183,30.6,440,57,36.4,34.4,0,0,0,203,19,9.4,21,1.4,13.4,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
13,Daniel Bentley,ENG,GK,Wolves,Premier League,30,1993,4.3,7,0,0,0,0,5.8,0.39,-1.2,-0.28,13,56,23.2,111,9,36.0,33.8,0,0,0,50,0,0.0,3,0.7,13.3,2023-2024,stats_keeper_adv,2025-10-18 04:36:46.636449
